Tweet ID,Content,Date,clean_tweet,language,tokens
1924977866988474715,"Mas o que Haraway faz é um gesto de resistência: ela não tenta restaurar an aura perdida. E ela a reconfigura no contato simbiótico com o outro, mesmo que esse outro seja máquina, bactéria ou cão.Enquanto Benjamin vê a perda da aura como tragédia, Haraway vê o surgimento de redes","May 20, 2025 at 11:57 PM",mas o que haraway faz é um gesto de resistência ela não tenta restaurar an aura perdida e ela a reconfigura no contato simbiótico com o outro mesmo que esse outro seja máquina bactéria ou cão enquanto benjamin vê a perda da aura como tragédia haraway vê o surgimento de redes,pt,haraway gesto tentar restaurar aura perder reconfigura contato simbiótico outro outro ser máquina cão benjamin perda aura tragédia haraway surgimento rede
1924899297000099852,"Probióticos em foco!

A bebida de #maracujá com isolado proteico do soro não só mantém a viabilidade da bactéria probiótica Lacticaseibacillus rhamnosus GG por 28 dias, como também fortalece sua resistência ao trato gastrointestinal. https://t.co/NkYYT2JTUO

@ufvbroficial https://t.co/5USU1Hh2UU","May 20, 2025 at 06:45 PM",probióticos em foco a bebida de á com isolado proteico do soro não só mantém a viabilidade da bactéria probiótica lacticaseibacillus rhamnosus gg por  dias como também fortalece sua resistência ao trato gastrointestinal ,pt,probiótico foco beber isolar proteico soro manter viabilidade probiótico lacticaseibacillus rhamnosusr dia fortalecer trato gastrointestinal
1923214484623012019,"@filhosdeosler Internar p medicação venosa. Imuno diz q tem receio de resistência da bactéria após antibiótico venoso, a não ser q seja só pra combater um possível biofilme (a confirmar com otorrino) otorrino quer tratar com antibiótico tópico e Imuno quer repetir pela milésima vez oral","May 16, 2025 at 03:10 AM", internar p medicação venosa imuno diz q tem receio de resistência da bactéria após antibiótico venoso a não ser q seja só pra combater um possível biofilme a confirmar com otorrino otorrino quer tratar com antibiótico tópico e imuno quer repetir pela milésima vez ora,pt,internar medicação venoso imuno receio venoso ser combater biofilme confirmar otorrino otorrino tratar tópico imuno repetir milésima
1922638207868387676,mds a resistencia desse homem em falar em foucault é impressionante pq ele realmente consegue sustentar com outras referencias mas smp fica um elefante na sala e devo dizer q o elefante do panoptico foucaltiano está pesando cada vez mais,"May 14, 2025 at 01:00 PM",mds a resistencia desse homem em falar em foucault é impressionante pq ele realmente consegue sustentar com outras referencias mas smp fica um elefante na sala e devo dizer q o elefante do panoptico foucaltiano está pesando cada vez mais,pt,mds homem falar foucault impressionante realmente conseguir sustentar referencia smp ficar elefante sala dever elefante panoptico foucaltiano pesar
1919902539358634069,"@rnndnts @butzgabana @jothinho fico assustado com qualquer resistência bactéria, só de pensar numa VRSA me tremo todinho","May 6, 2025 at 11:50 PM", fico assustado com qualquer resistência bactéria só de pensar numa vrsa me tremo todinho,pt,fico assustar pensar vrsa tremo todinho
1919520212589658578,"@luiz55018239713 @Felipe218680 Tá bom ent, no dia q vc pegar uma bactéria e essa bactéria criar resistência manda um abraço pra Darwin, vc vai estar mais próximo dele. 
Afinal, o mesmo não compreende os mecanismos que regem a variabilidade genética, e o papel da deriva genética nisso","May 5, 2025 at 10:30 PM", tá bom ent no dia q vc pegar uma bactéria e essa bactéria criar resistência manda um abraço pra darwin vc vai estar mais próximo dele afinal o mesmo não compreende os mecanismos que regem a variabilidade genética e o papel da deriva genética nisso,pt,ent criar mandar abraço darwin de ele afinal compreender mecanismo regemr variabilidade genético papel deriva genético em isso
1916384298669593061,"@minhopepekinha primeiro pq as chances de ter uma infecção são gigante pq a boca é cheia de bactéria e a cicatrização completa demora pra caralho, além de q qualquer problema q vc tiver q venha a diminuir sua resistência imunológica isso daí vira uma porta de bactérias pra infecção generalizada","April 27, 2025 at 06:49 AM", primeiro pq as chances de ter uma infecção são gigante pq a boca é cheia de bactéria e a cicatrização completa demora pra caralho além de q qualquer problema q vc tiver q venha a diminuir sua resistência imunológica isso daí vira uma porta de bactérias pra infecção generalizada,pt,chance infecção gigante boca cheio cicatrização completo demora caralho problema ter vir diminuir imunológico de aí vira porta infecção generalizar
1916307631666274765,"https://t.co/ws4a0r9D6V,, Lógico que  essa mulher levou algum vírus , alguma bactéria sei lá ,, Bolsonaro com baixa resistência etc foi infectado etc ,,,, Xandão tem que ser preso por tentativa de homicídio","April 27, 2025 at 01:45 AM", lógico que essa mulher levou algum vírus alguma bactéria sei lá bolsonaro com baixa resistência etc foi infectado etc xandão tem que ser preso por tentativa de homicídio,pt,lógico mulher levar algum vírus algum bolsonaro baixo etc infectar etc xandão prender tentativa homicídio
1914739429605810426,"A estrela mudou de antibiótico 4x esse ano, praticamente muda de bactéria a cada 25 dias e elas fazem rodízio pra ver qual tem mais resistência","April 22, 2025 at 05:53 PM",a estrela mudou de antibiótico x esse ano praticamente muda de bactéria a cada  dias e elas fazem rodízio pra ver qual tem mais resistência,pt,estrela mudar ano praticamente mudar dia rodízio
1913850121084694579,"🗣️“Avui dia és pràcticament impossible no adquirir una bactèria multiresistent.” – Dra. Lluïsa Pedro-Botet

⚠️ La resistència antimicrobiana és un repte global i la recerca és clau per avançar.

🔗 https://t.co/pQHy7KvuVx

#Recerca #SalutGlobal #Infeccions https://t.co/I1WKz2gV1P","April 20, 2025 at 07:00 AM",️“avui dia és pràcticament impossible no adquirir una bactèria multiresistent – dra lluïsa pedro botet ️ la resistència antimicrobiana és un repte global i la recerca és clau per avançar ,ca,pràcticament impossible adquirir una bactèrio multiresistent dra lluïsa pedro botet resistència antimicrobiano repte global recerca clau per avançar
1913240743230972037,"@grok @TiagooHr @EndriusPolenta @astronomiaum A resistência a antibióticos não é ""evolução"", o que acontece são mutações degenerativas que em um determinado ambiente é benéfico, não existe ""mutação evolutiva"", a bactéria mutada em um ambiente sem antibiótico é defeituosa e perderia para a bactéria anterior.","April 18, 2025 at 02:38 PM"," a resistência a antibióticos não é ""evolução"" o que acontece são mutações degenerativas que em um determinado ambiente é benéfico não existe ""mutação evolutiva"" a bactéria mutada em um ambiente sem antibiótico é defeituosa e perderia para a bactéria anterior ",pt,evolução acontecer mutação degenerativo determinado ambiente benéfico existir mutação evolutivo mutar ambiente defeituoso perder anterior
1911615229068292132,passei um monte de nebacetin em acne nessa semana e só agora lembrei que fazer isso aumenta a resistência da bactéria https://t.co/yo9AsFCcvx,"April 14, 2025 at 02:59 AM",passei um monte de nebacetin em acne nessa semana e só agora lembrei que fazer isso aumenta a resistência da bactéria ,pt,passar monte nebacetin acne semana lembrar aumentar
1911168803175874662,"A bactéria Bacillus anthracis existe em duas formas: forma vegetativa (dentro do corpo dos hospedeiros de sangue quente) e a forma de esporos (que é a sua forma de resistência, presente no ambiente). https://t.co/8vtLYw2pnD","April 12, 2025 at 09:25 PM",a bactéria bacillus anthracis existe em duas formas forma vegetativa dentro do corpo dos hospedeiros de sangue quente e a forma de esporos que é a sua forma de resistência presente no ambiente ,pt,bacillus anthracis existir forma vegetativo corpo hospedeiro sangue quente esporo presente ambiente
1907813267579285630,"@abysschainz @WILD0UTL4W Se a bactéria já tiver células resistentes dentro da composição dela,as que não são resistentes vão morrer e as outras vão continuar vivas e criar mais resistência,por isso é necessário recomendar antibiótico que mate tudo que tá te afetando","April 3, 2025 at 03:11 PM", se a bactéria já tiver células resistentes dentro da composição dela as que não são resistentes vão morrer e as outras vão continuar vivas e criar mais resistência por isso é necessário recomendar antibiótico que mate tudo que tá te afetando,pt,ter célula composição de ela morrer continuar viva criar necessário recomendar mater afetar
1907327547034980410,"El portal de notícies @TheObjective_es es fa ressò sobre el recent estudi de l’#hbellvitge i l’@idibell_cat que demostra un augment de casos de la bactèria Streptococcus disgalactiae subespecie equisimilis (SDSE) i el problema de la resistència antibiótica.
👇👇👇
https://t.co/1NRRQ1f9TI
#BellvitgeInvestiga #SocialmentResponsables","April 2, 2025 at 07:01 AM",el portal de notícies es fa ressò sobre el recent estudi de l i l que demostra un augment de casos de la bactèria streptococcus disgalactiae subespecie equisimilis sdse i el problema de la resistència antibiótica ,ca,portal notícies ressò recent estudi demostrar augment caso bactèria streptococcus disgalactiae subespecie equisimilis sdse problema resistència antibiótico
1907053508328624214,"“Antibiótico fraco não pega nada.”
Errado. Antibiótico não é “forte” ou “fraco” — ele é adequado ou inadequado. Quanto mais específico o espectro, melhor. Usar “canhão” pra bactéria sensível é ineficaz, tóxico e ajuda a selecionar resistência. Terapia dirigida é sinal de inteligência, não de covardia.","April 1, 2025 at 12:52 PM",“antibiótico fraco não pega nada errado antibiótico não é “forte ou “fraco — ele é adequado ou inadequado quanto mais específico o espectro melhor usar “canhão pra bactéria sensível é ineficaz tóxico e ajuda a selecionar resistência terapia dirigida é sinal de inteligência não de covardia ,pt,fraco pegar errar forte fraco adequado inadequar específico espectro melhor canhão sensível ineficaz tóxico ajudar selecionar terapia dirigir sinal inteligência covardia
