;Titulo;Corpo;Link
0;Cientistas americanos desenvolvem antibiótico 'revolucionário';08/01/2015 07h36- Atualizado em08/01/2015 07h37 Da BBC Há décadas não foram registradas grandes descobertas no que diz respeitos a antibióticos. Mas essa “seca” pode ter chegado ao fim com uma descoberta feita por cientistas americanos, que vem sendo considerada revolucionária. Uma equipe de especialistas da Universidade Northeastern, em Boston, desenvolveram um medicamento capaz de combater diversas infecções bacterianas que são resistentes aos antibióticos atuais. Chamado de teixobactin, o remédio foi testado em ratos de laboratório e pode levar de cinco a seis anos para que seja testado em humanos. TuberculoseEm um artigo publicado na revista científica Nature, os cientistas explicam que o teixobactin se provou efetivo contra bactérias que causam a tuberculose e outras ‘superbactérias’ resistentes à meticilina, mais conhecidas pela sigla em inglês MRSA. Os cientistas também desenvolveram outros 24 antibióticos, que também foram considerados “promissores”. Nada de relevante foi descoberto no campo dos antibióticos desde 1987. Segundo a equipe de Northeastern, liderada pelo cientista Kim Lewis, o método foi desenvolvido após uma análise de compostos de bactérias provenientes do solo. Eles foram, depois, cultivados em laboratório, em uma espécie de câmara colocada dentro da terra durante algumas semanas. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=1&r=1747897056336&u=https%3A%2F%2Fg1.globo.com%2Fciencia-e-saude%2Fnoticia%2F2015%2F01%2Fcientistas-americanos-desenvolvem-antibiotico-revolucionario.html&syn=False&key=efec41806735fece9932cf3ebf5d0f48
1;Médicos retiram antibiótico de Niemeyer;"10/05/2012 16h03- Atualizado em10/05/2012 16h03 Reuters  RIO DE JANEIRO, 10 Mai (Reuters) - Os antibióticos para tratar a pneumonia do arquiteto Oscar Niemeyer, de 104 anos, foram suspensos pelos médicos nesta quinta-feira, indicando uma melhora no estado de saúde do paciente.  ""Hoje o tratamento com antibiótico foi suspenso"", informa o último boletim médico do Hospital Samaritano, no Rio de Janeiro. ""O quadro de saúde do paciente continua estável.""  O arquiteto foi internado na semana passada com um quadro de pneumonia e desidratação. Desde então, ele vinha sendo tratado com antibióticos e soro.  Segundo os médicos, Niemeyer está internado na unidade intermediária do hospital e se encontra lúcido. Ele respira sem a ajuda de aparelhos.  Na terça-feira, o boletim médico indicou uma ""pequena melhora na desidratação"". No entanto, ainda não há previsão de alta, de acordo com os médicos. Um novo boletim será divulgado na sexta-feira.  (Reportagem de Rodrigo Viga Gaier)  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=2&r=1747897056337&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2012%2F05%2Fmedicos-retiram-antibiotico-de-niemeyer.html&syn=False&key=37f63cf3712d32bb1faaadf6178f3d72
2;Quando e como usar o antibiótico?;08/06/2015 10h38- Atualizado em08/06/2015 11h48 Do G1, em São Paulo  OBem Estardesta segunda-feira (8) tirou as dúvidas sobre o antibiótico. O antibiótico corta o efeito da pílula anticoncepcional? Esqueci de tomar na hora, posso tomar depois? Álcool corta o efeito do medicamento? Para ajudar a responder essas perguntas, convidamos o consultor e infectologistaCaio Rosenthale o farmacêutico Fernando de Sá Del Fiol. Por que temos que tomar o antibiótico na hora certa? Segundo os especialistas, quando a pessoa deixa de tomar o medicamento na hora determinada, a concentração de antibiótico que deveria estar presente no sangue sofre uma queda, deixando de agir no combate à infecção. Além do horário, é preciso respeitar o prazo do tratamento. Quando ele é interrompido antes do tempo, as bactérias não são eliminadas completamente. Os sintomas desaparecem em quatro dias, mas o tratamento dura uma semana? Continue a tomar o medicamento! E de preferência com água. Nada de leite, suco, refrigerante. Muita gente acredita que o álcool corta o efeito do antibiótico, mas não é por isso que devemos evitar o consumo. O álcool não corta o efeito, mas pode aumentar a irritação na mucosa do estômago e você pode ficar bêbado e esquecer de tomar o próximo comprimido. O único antibiótico que jamais deve ser consumido com o álcool é o ‘metronidaz’.  Antibiótico e anticoncepcional: pode? Sim. “Estudos mais recentes mostram que não existe nenhuma relação entre você usar o antibiótico e ter um risco maior de engravidar”, explica a infectologista Rosana Richtmann. Só tem duas exceções: a rifampicina, usada para tratar a tuberculose, e as drogas antirretrovirais, usadas contra O HIV.      Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=3&r=1747897056338&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2015%2F06%2Fquando-e-como-usar-o-antibiotico.html&syn=False&key=04fbd56be3adb19f177a40673dcebf62
3;Anvisa suspende venda de lote de antibiótico;01/03/2013 12h08- Atualizado em01/03/2013 12h08 Do G1, em São Paulo A Agência Nacional de Vigilância Sanitária determinou, nesta sexta-feira (1º), a suspensão da distribuição e do comércio de um lote do medicamento Ampicilina Sódica 500mg, pó injetável DPC/50+50, ampola diluente de 2ml, produzido pelo Laboratório Teuto Brasileiro. A medida foi publicada no Diário Oficial da União. A restrição vale apenas para o lote 2864017, fabricado em março de 2011 e com validade até março de 2013, no qual foi detectado um desvio de qualidade. O produto estava interditado cautelarmente desde novembro de 2012, e a contraprova mostrou resultado insatisfatório quanto ao teor de ampicilina sódica. A ampicilina é um antibiótico e, portanto, é usada para controlar infecções causadas por bactérias – e jamais deve ser tomada sem prescrição médica. A Anvisa indicou que a empresa responsável pela produção deve realizar o recolhimento de todo o estoque no mercado e que quem já tiver adquirido o medicamento deve interromper o uso. Procurado peloG1, o Laboratório Teuto Brasileiro ainda não comentou a decisão da Anvisa. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=4&r=1747897056339&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2013%2F03%2Fanvisa-suspende-venda-de-lote-de-antibiotico.html&syn=False&key=4ee4239639627be51eb95d05cd7d7bb0
4;Farmácias terão que reter receita de antibiótico;"23/10/2010 13h16- Atualizado em23/10/2010 13h16 Agencia Estado Farmácias e drogarias brasileiras terão de reter a receita médica de antibióticos, segundo decisão da Agência Nacional de Vigilância Sanitária (Anvisa). Os estabelecimentos terão um prazo de 30 dias para se adaptarem à nova regra, que deve ser publicada nesta semana no Diário Oficial da União. Caso não cumpram a resolução da Anvisa, estarão sujeitos a interdição e multas que podem chegar a R$ 1,5 milhão. O uso indiscriminado de antibióticos é um dos fatores que contribuem para o surgimento de bactérias multirresistentes como a KPC, informou o diretor da agência Dirceu Barbano. Em outra resolução, a Anvisa determinou que clínicas e hospitais contenham dispensadores (frascos) de álcool gel; o prazo de adaptação nesse caso é de 60 dias após publicação no D.O.U.. Com a nova regra na compra de antibióticos, médicos terão de fazer duas vias de receita - uma para o paciente, outra para a farmácia. Desde o início do ano a agência discutia o assunto, que foi colocado para consulta pública. As embalagens dos antibióticos também deverão sofrer ajustes, com aviso de que a venda está condicionada à retenção da receita. ""Tem de passar a ficar escrito lá na tarja vermelha que, além de venda sob prescrição, que a venda vai ser feita sob a retenção da receita"", disse Barbano. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=5&r=1747897056340&u=https%3A%2F%2Fg1.globo.com%2Fbrasil%2Fnoticia%2F2010%2F10%2Ffarmacias-terao-que-reter-receita-de-antibiotico.html&syn=False&key=d6d3d90bf7f83ebeb679deb4865b723b
5;Tem dúvidas sobre antibiótico? Manda pra cá!;08/06/2015 08h23- Atualizado em08/06/2015 08h23 Do G1, em São Paulo  Quando é o momento de usar o antibiótico? Qual faz efeito mais rápido: comprimido, gotas, injeção? O Bem Estar desta segunda-feira (8) fala sobre mitos e verdades do antibiótico. Participam do programa o nosso consultor e infectologista Caio Rosenthal e o farmacêutico Fernando de Sá Del Fiol. Tem alguma dúvida sobre o assunto? Participe enviando a sua mensagem pelapágina de interatividadedo Bem Estar. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=6&r=1747897056341&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2015%2F06%2Ftem-duvidas-sobre-antibiotico-manda-pra-ca.html&syn=False&key=f7c2aaee035014b47583ad80bbe54079
6;Título não encontrado;"fique pordentro Por BBC 11/11/2017 08h00Atualizadohá 7 anos Persiste no Brasil uma ""cultura do antibiótico"", em que pacientes esperam receber o remédio e em que médicos banalizam sua prescrição. No entanto, o uso excessivo desses medicamentos deve ser contido se quisermos frear a expansão de bactérias resistentes, que já matam 23 mil pessoas no Brasil por ano, afirmam especialistas. Para diminuir seu uso, médicos e pacientes precisam restringir seu uso a casos graves e não para ""tratar qualquer sintoma"", argumentam. ""Existe uma tendência enorme à medicalização no Brasil. As pessoas têm qualquer sintoma e querem um remédio. Sabemos que uma gripe vai demorar cerca de sete dias para passar, mas as pessoas querem remédio para encurtar isso"", afirma Ana Escobar, médica do Instituto da Criança do Hospital das Clínicas e livre docente em Pediatria da Faculdade de Medicina da Universidade de São Paulo. Em outubro, o Ministério da Saúde do Reino Unido recomendou aos médicos do país que receitassem mais descanso e menos antibióticos aos pacientes. De acordo com o órgão, cerca de um quinto dos antibióticos naquele país são usados desnecessariamente, para doenças que seriam curadas sozinhas. No Brasil, um dos países que mais contribuiu para o aumento global do consumo de antibióticos na última década, ainda não há uma recomendação oficial do tipo, mas médicos alertam para a importância de frear o consumo desses remédios para evitar a expansão de superbactérias. ""Os números referentes à evolução da resistência antimicrobiana são assustadores"", diz Luiz Henrique Melo, médico infectologista e consultor da empresa farmacêutica MSD, que gere programas para a racionalização no uso de antibióticos. ""A resistência a antibióticos é um dos fenômenos que pode levar a um colapso econômico. Parece banal, mas há um custo enorme no uso extensivo dos antibióticos"", complementa Melo. Um estudo encomendado pelo governo britânico no ano passado aponta que 700 mil pessoas morrem todos os anos vítimas de bactérias resistentes no mundo e que, se nada for feito nas próximas décadas, esse número pode saltar para 10 milhões.   Pacientes não devem esperar sempre pela prescrição de antibióticos, e os médicos têm o papel de explicar ao enfermo o porquê da prescrição ou não, afirma Melo. ""Precisa munir o paciente de todos os argumentos necessários para ele entender que não prescrever trará benefícios no curto e longo prazo"", diz o infectologista. Se a resistência antimicrobiana não for contida, cirurgias de alta complexidade, transplantes e quimioterapia, por exemplo, podem se tornar impraticáveis. ""A grande questão é que se você usar antibiótico de uma forma inadequada você irá perdê-lo, porque as bactérias ficarão resistentes com o tempo. Isso se reflete em doenças mais difíceis de curar, em mais internação e em mais custos de saúde"", afirma. Por isso, pacientes podem contribuir para a solução do problema ao não buscar por antibióticos sem necessidade. ""São constante as ligações no consultório de pessoas que reclamam de gripe e, porque irão viajar, querem remédio"", relata Escobar. Do lado dos médicos, há uma ""pressão"" para que receitem antibióticos, principalmente em postos de saúde, onde os profissionais tratam emergências e não fazem um acompanhamento periódico do paciente. ""O médico nessa situação trata caso a caso, e há uma tendência exagerada à prescrição. Se o paciente está com secreção purulenta, o médico já dá antibiótico"", diz Escobar. A falta de estrutura adequada dos postos e hospitais, onde nem sempre há a possibilidade de diagnóstico rápido por exames laboratoriais para checar se há uma infecção bacteriana, também dificulta a vida dos médicos. De acordo com um levantamento preliminar da Agência Nacional de Vigilância Sanitária (Anvisa) de 2015, o Brasil tem praticamente um laboratório de microbiologia para cada dez hospitais. Esses laboratórios são essenciais para identificar as causas de uma infecção e municiar médicos com informações sobre que remédios receitar ao paciente. Sem tais laboratórios e exames, médicos tomam decisões no escuro e podem errar na prescrição.   Para auxiliar os profissionais de saúde no uso racional desses remédios, seriam necessários protocolos mais claros e rígidos, afirma Escobar. De acordo com a médica, em muitos casos, há critérios bem definidos para o uso de antibióticos – como no tratamento de pneumonia, amigdalite e otite –, mas seriam necessárias recomendações mais abrangentes. ""Esse respaldo precisaria vir de diretrizes universais. Um critério, por exemplo, é a recomendação de antibiótico para amigdalite apenas se houver infecções por bactérias estreptococos do grupo A (GAS)"", afirma. ""Temos algumas diretrizes, mas não temos uma divulgação disso."" Em maio, o governo brasileiro anunciou a elaboração de um plano nacional de combate a bactérias resistentes a pedido da Organização Mundial de Saúde (OMS). O governo diz que pretende educar melhor profissionais e pacientes sobre a urgência do tema. A previsão é que o plano seja colocado em prática a partir de 2018. O Ministério da Saúde disse por meio de nota que o Brasil se destaca no combate à resistência antimicrobiana na América do Sul. ""Entre os esforços [nacionais], está a experiência brasileira de obrigatoriedade e retenção de prescrição para antibióticos em farmácias, que contribuiu para a contenção da resistência"", afirmou. ""Este é um tema prioritário para a saúde pública devido ao crescimento no número de bactérias resistentes, com comprometimento ou, até mesmo, impossibilidade de cura com os antibióticos existentes, de doenças como tuberculose e malária"", declarou.   Desde a descoberta do primeiro antibiótico, a penicilina, bactérias e medicamentos travam uma disputa em que um busca vencer o outro. A resistência a antibióticos é um processo natural – as bactérias, ao serem atacadas pelos remédios, criam mecanismos de defesa para sobreviver. Os organismos não exterminados por medicamentos são chamados de resistentes e passam o gene da resistência à sua prole, gerando uma nova linhagem de bactérias resistentes. O uso abusivo de antibióticos contribui para esse processo e, por isso, sua utilização racional é importante para controlar a expansão de bacterias mais fortes que os medicamentos disponíveis. Quando o ritmo de inovação da indústria farmacêutica na área de antibióticos era alto, a resistência não apresentava grandes desafios. Porém, nas últimas três décadas, o número de antibióticos desenvolvidos desacelerou, enquanto as bactérias continuaram com suas mutações naturais e passaram à frente nessa corrida. A redução no número de novos antibióticos aprovados nos Estados Unidos nos últimos 30 anos ilustra essa desaceleração: enquanto na década de 1980, 30 novos antibióticos foram aprovados pela Food and Drug Administration (FDA), a Anvisa americana, apenas sete foram registrados entre 2000 e 2009. ""Ao longo dos anos a indústria farmacêutica se desinteressou pelo setor de antibióticos. Os governos estão estimulando as empresas a voltar a produzir, principalmente para cobrir esses medicamentos que estamos perdendo"", afirma Melo. Veja também  G1 RJ Irmãos são presos em flagrante por manter corpo de pai há meses dentro de casa no Rio O cadáver era mantido dentro de casa na Ilha do Governador pelos próprios filhos da vítima, que foram presos em flagrante, pelo crime de ocultação de cadáver. As causas da morte ainda estão sendo apuradas pela perícia técnica. 21 de mai de 2025 às 13:51 Senado aprova lei com novas regras para licenciamento ambiental CPI das Bets convoca Carlinhos Maia e pede análise de finanças de Virgínia Maratonas sexuais de Diddy tinham drogas e óleos de bebê, diz ex-assistente INSS autorizou sistemas paralelos para descontos em massa mesmo após denúncias 5 min BMW apreendida com filho do 'Careca do INSS' era de esposa de ministro do TCU Ministro diz que veículo foi vendido em março, em negociação 'intermediada por terceiro'. O ASSUNTO: como o Brasil virou uma fábrica de espiões russos; OUÇA Câmara aprova reajuste de salários de servidores; impacto é de R$ 18 bilhões Desinfecção em granja onde surgiu foco da gripe aviária é concluída ";https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=7&r=1747897056341&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2Fmais-descanso-e-menos-antibiotico-a-receita-para-evitar-superbacterias.ghtml&syn=False&key=234c9146bdef6ce8cf5c0765d523c4df
7;Cientistas descobrem antibiótico para tratar infecções resistentes;Edição do dia 08/01/2015 08/01/2015 14h17- Atualizado em08/01/2015 14h46  Um grupo de cientistas descobriu um antibiótico que promete revolucionar o tratamento contra infecções bacterianas resistentes. Segundo os pesquisadores, é improvável que as bactérias se tornem resistentes ao novo antibiótico. Isso por que, em vez de atacar as proteínas da bactéria como a maioria dos antibióticos faz - e as proteínas podem ser facilmente modificadas - a pesquisa publicada na Revista Nature mostra que ateixobactinabloqueia as moléculas de gordura necessárias para construir as paredes das células, o que exigiria uma energia enorme para que a célula pudesse se modificar. A nova droga foi testada em ratos e matou diversas bactérias resistentes como as que causam a tuberculose. Os testes em humanos devem começar em dois anos.  ;https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=8&r=1747897056342&u=https%3A%2F%2Fg1.globo.com%2Fjornal-hoje%2Fnoticia%2F2015%2F01%2Fcientistas-descobrem-antibiotico-para-tratar-infeccoes-resistentes.html&syn=False&key=bca7c5f6b9893f5c35d76137b19e219e
8;Antibiótico azitromicina aumenta risco de problemas cardíacos;"16/05/2012 19h18- Atualizado em16/05/2012 19h18 France Presse WASHINGTON, 16 Mai 2012 (AFP) -Um popular antibiótico, a azitromicina, utilizado para tratar bronquite, pneumonia, infecções do ouvido e doenças sexualmente transmissíveis, pode aumentar o risco de problemas cardíacos, segundo afirma um estudo americano nesta quarta-feira. A azitromicina está disponível no mercado mundial desde 1980, mas o estudo na revista New England Journal of Medicine é o primeiro a documentar um sério risco cardíaco, um aumento de 2,5 vezes das possibilidades de ocorrer acidentes cardiovasculares nos primeiros cinco dias de tratamento comparado com outro antibiótico ou com um tratamento sem antibióticos. A comparação baseia-se no estudo dos históricos médicos de pacientes no estado do Tennessee (sul dos EUA) de 1992 a 2006. Os pesquisadores da Universidade de Vanderbilt compararam 348.000 casos nos quais se prescreveu azitromicina com milhões de históricos de pacientes que não foram tratados com antibióticos ou que receberam amoxicilina, outro antibiótico considerado seguro para o coração. A análise concluiu que havia 47 mortes a mais por cada milhão entre aqueles que tomavam azitromicina comparados aos que receberam amoxicilina. Quando os pesquisadores examinaram pacientes com alto risco de problemas cardíacos, as possibilidades aumentaram para 245 mortes cardiovasculares adicionais por milhão no grupo de azitromicina comparado aos da amoxicilina. Enquanto o número de mortes relativo é baixo, os pesquisadores afirmam que suas conclusões oferecem nova informação sobre possíveis perigos que os pacientes e os médicos devem considerar. ""Acreditamos que este estudo oferece importante informação sobre o perfil de risco da azitromicina"", afirma o principal autor, Wayne Ray, professor de medicina preventiva da Universidade de Vanderbilt. ""Para pacientes com risco cardiovascular elevado e infecções para as quais não há alternativa aos antibióticos, os efeitos cardiovasculares da azitromicina poderão ser uma importante consideração clínica"", afirmou. ksh/jkb/pl/lb Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=9&r=1747897056343&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2012%2F05%2Fantibiotico-azitromicina-aumenta-risco-de-problemas-cardiacos.html&syn=False&key=eae0c242429914429cca3e4968d15bc5
9;Título não encontrado;"Por G1 30/05/2017 12h57Atualizadohá 7 anos Imagem gerada por computador em 3D mostra aglomerado de bactéria Enterococcus resistente à vancomicina — Foto: CDC/ James Archer Pesquisadores do Instituto de Pesquisa Scripps, nos Estados Unidos, conseguiram modificar um antibiótico já existente para ""turbiná-lo"" em sua ação contra as bactérias, transformando-o em uma importante arma contra a resistência bacteriana. Este antibiótico é a vancomicina, que vem sendo utilizada há cerca de 60 anos na medicina. Durante esse período, o medicamento já demonstrou ser uma boa alternativa contra as bactérias, já que só recentemente foram observados casos de bactérias resistentes a ele. A vancomicina atua modificando a forma como as bactérias compõe sua parede celular. Os pesquisadores conseguiram fazer três modificações no antibiótico, de modo a aumentar em mil vezes sua atividade. Os resultados foram publicados na revista ""Proceedings of the National Academy of Sciences"".  Pesquisadores turbinam antibiótico, que fica mil vezes mais forte Desta forma, a vancomicina modificada se torna o primeiro antibiótico a ter três mecanismos de ação independentes. ""Os médicos podem usar essa forma modificada de vancomicina sem medo de provocar resistência"", diz Dale Boger, do Instituto de Pesquisa Scripps. Em teste com a bacteria Enterococcus, a vancomicina turbinada foi eficaz contra a bactéria original e contra a bactéria que já apresentava resistência contra a vancomicina comum. ""Organismos não podem trabalhar simultaneamente para driblar três mecanismos diferentes de ação. Mesmo se acharem uma solução para um deles, eesses organismosserão mortos pelos outros dois"", diz Boger. O pesquisador enfatiza a importância de alternativas contra bactérias resistentes em um momento em que os antibióticos tradicionais Veja também     Senado aprova lei com novas regras para licenciamento ambiental CPI das Bets convoca Carlinhos Maia e pede análise de finanças de Virgínia Maratonas sexuais de Diddy tinham drogas e óleos de bebê, diz ex-assistente CCJ do Senado aprova fim da reeleição para presidente, prefeitos e governadores Proposta também amplia a duração de mandatos e unifica data das eleições municipais e nacionais. Texto vai ao plenário. 'Gravava elas se mutilando peladas': adolescente revela detalhes sobre atuação em grupo que pratica crimes no Discord O Profissão Repórter entrevistou com exclusividade uma adolescente de 14 anos apreendida em uma operação da Polícia Civil do Paraná contra crimes cibernéticos. Trump constrange presidente da África do Sul com supostos vídeos de 'genocídio branco' O presidente dos Estados Unidos recebeu Cyril Ramaphosa na Casa Branca nesta quarta-feira (21) e mostrou supostos vídeos e reportagens de crimes no país contra fazendeiros brancos. Fim da reeleição afeta Lula? Saiba quando regra começa a valer se for aprovada no Congresso Proposta que extingue reeleição no Executivo, muda duração de mandatos e prevê eleição única a partir de 2034 avançou no Senado nesta quarta. Texto ainda vai passar por várias votações. Motta avisa líderes de que não adianta aprovar a anistia: STF vai declarar 'inconstitucional' Parlamentares veem o presidente da Câmara querendo tirar o assunto do caminho. Anistia aos envolvidos na tentativa de golpe é uma bandeira da oposição ao governo Lula. ";https://g1.globo.com/busca/click?q=antibi%C3%B3tico&p=10&r=1747897056344&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2Fcientistas-turbinam-antibiotico-para-combater-resistencia-bacteriana.ghtml&syn=False&key=48628c5e1e88fa5f38b24f76f6b4a60c
