;Titulo;Corpo;Link
0;Presidente colombiano é hospitalizado com infecção urinária;28/12/2012 14h27- Atualizado em28/12/2012 14h27 France Presse BOGOTã, 28 dez 2012 (AFP) - O presidente colombiano, Juan Manuel Santos, foi levado ao hospital nesta sexta-feira em Cartagena (norte), ao que parece por uma infecção urinária, dois meses e meio depois de ter sido operado por um câncer de próstata, informou seu médico pessoal Felipe Gómez. O presidente, de 61 anos, 'apresentou na manhã de hoje (sexta-feira) um quadro compatível com infecção urinária, que exigiu avaliação na cidade de Cartagena', indicou o médico em um comunicado publicado pela Presidência. A situação de Santos 'não tem gravidade alguma', disse Gómez, ao explicar que isto estava previsto dentro do 'pós-operatório da cirurgia de grande porte a qual foi submetido no mês de outubro'. 'Santos continuará desempenhando seu trabalho e cumprindo com sua agenda prevista', acrescentou o comunicado. O presidente colombiano foi operado no dia 3 de outubro em Bogotá para a retirada de um tumor cancerígeno da próstata, cirurgia que, segundo os especialistas, foi bem-sucedida. cop/nn/ll/ma Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=1&r=1748972615639&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2012%2F12%2Fpresidente-colombiano-e-hospitalizado-com-infeccao-urinaria.html&syn=False&key=65e5943bf992984e1fed8ee1a303a1a6
1;Saiba que cuidados tomar contra infecção urinária;16/11/2010 13h15- Atualizado em16/11/2010 13h19 Do RJTV Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. Nesta terça-feira (16), o colunista de saúde doRJTVtirou dúvidas de internautas sobre infecção urinária. Entre os sintomas, ele destaca urgência em urinar e sangue na urina. O tratamento, segundo o médico Luís Fernando Corrêa, é feito através de antibióticos específicos e receitados por um médico após exame de urina. Infecções mal tratadas podem trazer complicações como febre, mal estar e requerer até internação.  Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente.  Assista aos vídeos ao lado para ver, na íntegra, as respostas sobre as tirar dúvidas e saber mais sobre como prevenir e tratar a doença. Há dados que dizem que uma a cada cinco mulheres tem infecção urinária pelo menos uma vez na vida. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=2&r=1748972615641&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2010%2F11%2Fsaiba-que-cuidados-tomar-contra-infeccao-urinaria.html&syn=False&key=0b3a50004bf138eec60e3f5c64cff923
2;Presidente da Colômbia é examinado por infecção urinária;"28/12/2012 16h54- Atualizado em28/12/2012 16h54 Reuters  BOGOTÁ, 28 Dez (Reuters) - O presidente da Colômbia, Juan Manuel Santos, que passou por uma cirurgia para a retirada de um câncer em outubro, está sofrendo de infecção urinária, mas não há gravidade e ele continuará com sua agenda, disse nesta sexta-feira a Presidência.  ""Não tem gravidade alguma. Tudo está previsto dentro do pós-operatório da cirurgia maior à qual ele foi submetido no mês de outubro"", acrescentou em comunicado.  Santos fez uma cirurgia em 3 de outubro para retirar a próstata devido a um pequeno tumor cancerígeno. Segundo a equipe médica, o procedimento foi um sucesso.  ""Fiz exames pós-operatórios e agora estou de volta à minha rotina normal"", escreveu Santos em sua conta no Twitter.  Por outro lado, fontes da Presidência revelaram que após a avaliação médica, o mandatário, um economista de 61 anos, viajou para a casa de hóspedes do governo em Cartagena para passar as festividades de fim de ano.  Santos é o mais recente líder da América Latina diagnosticado com câncer, doença que também atingiu o presidente Venezuelano, Hugo Chávez, a presidente brasileira Dilma Rousseff, e o ex-presidente Luiz Inácio Lula da Silva.  (Reportagem de Nelson Bocanegra)  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=3&r=1748972615643&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2012%2F12%2Fpresidente-da-colombia-e-examinado-por-infeccao-urinaria.html&syn=False&key=6001e6d3de26246c43c8497a0f8de968
3;Título não encontrado;"Por G1— São Paulo 18/04/2017 10h38Atualizadohá 8 anos  Familiares devem redobrar atenção para sintomas de infecção urinária nos idosos Confusão mental nem sempre está relacionada a algum problema de cabeça. A confusão pode ser sinal de que a pessoa está tendo uma infecção sem apresentar sintomas clássicos como febre e dor, ou até mesmo falta de açúcar. O Bem Estar convidou dois especialistas para falar sobre o tema nesta terça-feira (18). O cardiologista e consultor Roberto Kalil lembrou que a confusão pode estar relacionada com um infarto. Isso porque a circulação fica prejudicada, levando à falta de oxigenação no cérebro. Já o neurologista Eduardo Genaro Mutarelli explicou a relação do açúcar e confusão. A glicose é o principal combustível do cérebro. Quando o nível de glicose no sangue cai, o cérebro fica sem energia e isso pode provocar a confusão mental. Quando isso acontece, a pessoa precisa comer açúcar imediatamente, principalmente se for diabética.  Queda de glicose no sangue pode causar confusão mental A confusão mental é mais comum em idosos. Isso porque eles têm menos reserva cerebral por causa do envelhecimento, ou seja, têm um cérebro mais atrofiado, com menos neurônios. Porém, o problema pode acontecer em qualquer idade, inclusive em crianças. Entre as causas de confusão mental que não são relacionadas com problemas neurológicos estão: infecções, infarto do miocárdio, hipoglicemia e hiperglicemia, uso de corticoides, insuficiência hepática, insuficiência renal e auto imunidade. As confusões desaparecem logo que estes problemas são tratados. Os idosos muitas vezes não têm os sintomas clássicos da infecção urinária e a família precisa ficar atenta. “Pessoas com mais idade podem não apresentar os sintomas. Com isso, muitas das vezes, ficam mais sonolentos, mais agitados. Isso é indício de infecção”, alerta o infectologista Jean Gorinchteyn. Os sintomas da confusão são: não reconhecer as pessoas, imaginar que existem inimigos que querem ataca-lo, imaginar que alguém quer envenena-lo, ver coisas que não existem e ouvir vozes.  Veja como cuidar da casa durante o outono  Câncer renal está entre os dez tumores mais frequentes em homens e mulheres Veja a íntegra do programa desta terça-feira (18): Para assistir, tente carregar novamente Bem Estar - Edição de terça-feira, 18/04/2017 Veja também     Carla Zambelli deixa o Brasil após ser condenada a 10 anos de prisão por ataque ao Judiciário Deputada afirmou que foi buscar tratamento médico no exterior e que pedirá licença do mandato. Ela não deixou claro em qual país está. Câmera confirma que garota foi morta após PM dar coronhada e arma disparar VÍDEO: Ucrânia ataca ponte da Crimeia com explosivos instalados na água Polícia do RJ localiza jornalista britânica sumida em SP; mulher disse que não quer contato com a família Amiga do Rio de Janeiro relatou à polícia que Charlotte Alice Peet entrou em contato pela última vez em 8 de fevereiro para informar que estava na capital paulista. Charlotte foi encontrada no bairro dos Jardins. VÍDEO: Cupertino fala por mais de 2 horas em seu julgamento e cita Bolsonaro e Lula Gravações mostram interrogatório do réu e depoimentos da filha e da ex-esposa dele, Isabela e Vanessa Tibcherani. Elas presenciaram quando empresário matou a tiros Rafael Miguel e pais do ator por não aprovar namoro com a filha em 2019. Acusado foi condenado a 98 anos. INFOGRÁFICO: Veja como drones ucranianos infiltrados por agentes secretos destruíram um terço da frota russa Ucrânia escondeu drones em contêineres e os levou de caminhão para perto das bases aéreas, atingindo parte da artilharia aérea russa de longo alcance. Rússia exige 20% do território da Ucrânia para cessar-fogo; veja demais condições Memorando com a proposta de paz foi entregue pelos russos à Ucrânia em segunda rodada de negociações diretas para encerrar o conflito. Encontro ocorreu nesta segunda (2), um dia após troca de ataques em larga escala e inéditos. 1 min Menos de R$ 3 mil, adaptado do uso civil: como é o drone ucraniano que impôs prejuízo de US$ 7 bilhões à Rússia A escolha por drones FPV, sigla para Visão em Primeira Pessoa (First Person View), se deve à sua capacidade de realizar ataques precisos com baixo custo, além de serem difíceis de detectar e neutralizar. ";https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=4&r=1748972615644&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2Finfeccao-urinaria-e-hipoglicemia-podem-provocar-confusao-mental.ghtml&syn=False&key=275fb9bca309b066f255a62b9e52e608
4;Infecção urinária: Bem Estar investiga sintomas, causas e tratamento;Edição do dia 09/06/2016 09/06/2016 10h43- Atualizado em09/06/2016 12h00 Do G1, em São Paulo  Infecção urinária, você já teve? É mais comum nas mulheres do que nos homens e 50% delas vão ter, pelo menos, uma vez na vida. Mas tem como evitar e oBem Estardesta quinta-feira (9) mostrou isso. Uma em cada 10 mulheres sofre com a infecção urinária durante a gestação, um problema que pode ser muito grave para os bebês, se não for tratado. DoutorJosé Bento, ginecologista e consultor do Bem Estar, e Marair Sartori, uroginecologista da Unifesp, foram convidados para falar sobre o assunto.      Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=5&r=1748972615645&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2016%2F06%2Finfeccao-urinaria-bem-estar-investiga-sintomas-causas-e-tratamento.html&syn=False&key=6b7c74ef922e954696f38e33aca0ec22
5;Como evitar infecção urinária, dor e ardência genital? Envie perguntas;20/02/2014 08h00- Atualizado em20/02/2014 08h00 Do G1, em São Paulo  Você já viu alguém fazendo xixi na rua? Além de ser ruim para a saúde pública, será que também faz mal? O Bem Estar desta quinta-feira (20) fala sobre isso e também sobre infecção urinária, dor e ardência genital, um incômodo que muitas mulheres já sentiram em algum momento da vida. Dá para evitar? Pode ser sintoma de quê? No estúdio, participam o ginecologista José Bento e o urologista Leonardo Lima Borges. Você pode participar do programa enviando sua pergunta, pelo campo de comentários logo abaixo do texto ou pela página doVC no Bem Estar, onde você pode enviar também uma foto ou um vídeo. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=6&r=1748972615646&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2014%2F02%2Fcomo-evitar-infeccao-urinaria-dor-e-ardencia-genital-envie-perguntas.html&syn=False&key=e84fe35dcca69cc20fab02ef1322a56f
6;Chico Anysio está com infecção urinária, diz assessoria do humorista;"05/12/2011 12h09- Atualizado em05/12/2011 12h10 Do G1 RJ Uma infecção urinária levou o humoristaChico Anysio, de 80 anos, a ser internado na quarta-feira (30) no Hospital Samaritano, em Botafogo, na Zona Sul do Rio. As informações são da assessoria do artista. Segundo sua assessoria, Chico deu entrada na unidade com febre. No hospital, os médicos descobriram uma contaminação por fungos que está sendo tratada com antibióticos. Desde então, ele está internado porque a  administração da medicação é por via venosa. Segundo sua assessoria, o humorista está lúcido, bem disposto e respondendo bem aos medicamentos. Seu quadro de saúde não é considerado grave. No dia 11 de novembro, Chico Anysio deixou o hospital depois de cinco dias internado por causa de fortes dores nas costas. Na ocasião, segundo sua assessoria de imprensa, o que o levou ao hospital foi “uma vértebra que ele fraturou há uns seis ou sete anos e que às vezes volta a doer"".  Quando isso acontece, ele precisa ficar em repouso absoluto e receber um analgésico na veia. Por isso, fica internado no hospital. Essa não é a primeira vez que Chico é hospitalizado por esse motivo. No início do ano, o humorista tevecomplicações cardiorrespiratóriasque o deixaram internado por quase quatro meses. No domingo (4), oFantásticoprestou uma homenagem ao humorista num quadro em que misturou jornalismo e dramaturgia para mostrar um pouco dos 60 anos de carreira de Chico e seus 209 personagens. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=7&r=1748972615650&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2011%2F12%2Fchico-anysio-esta-com-infeccao-urinaria-diz-assessoria-do-humorista.html&syn=False&key=6248ead27466a70324ba2be7955e7d15
7;Niemeyer é diagnosticado com infecção urinária, afirma hospital;26/04/2010 16h25- Atualizado em26/04/2010 17h26 Do G1 RJ O Hospital Samaritano, ondeOscar Niemeyer, de 102 anos, está internado, informou nesta segunda-feira (26) que o arquiteto foi diagnosticado com infecção urinária. Segundo Vera Lúcia Cabreira, esposa de Niemeyer, ele passa bem e não tem previsão de alta. “Os médicos acharam melhor interná-lo, mas ele está bem. Não sabemos o dia que ele vai ter alta”, contou. A internação ocorreu na tarde do último domingo (25) e, segundo a assessoria de imprensa do hospital, em Botafogo, na Zona Sul do Rio, o arquiteto passa por exames. O arquitetojá ficou internado por 24 dias nesse mesmo hospital, em setembro e outubro de 2009, após dores abdominais. O arquiteto chegou a passar por uma cirurgia para retirar um tumor no intestino grosso, uma semana depois de ter sido operado para a retirada de um cálculo na vesícula. Por causa da internação do arquiteto, o lançamento da revista Nosso Caminho, em comemoração aos 50 anos de Brasília, foi cancelado. O lançamento aconteceria nesta segunda-feira, na Avenida Atlântica, em Copacabana, na Zona Sul. Histórico médico No dia 11 de junho de 2009, o arquiteto foi internado no hospital Cardiotrauma de Ipanema, também na Zona Sul, queixando-se de dores lombares. Ele passou por uma bateria de exames e recebeu alta médica algumas horas depois. Na ocasião, exames de sangue e uma tomografia indicaram que Niemeyer estava apenas com uma lombalgia.Em 2006, o arquiteto chegou a ficar 11 dias internado, após sofrer uma queda e passar por uma cirurgia. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=8&r=1748972615653&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2010%2F04%2Fniemeyer-e-diagnosticado-com-infeccao-urinaria-afirma-hospital.html&syn=False&key=712bbb6f50a71059e588fad4bef49fd5
8;Título não encontrado;"Por G1— São Paulo 02/03/2017 10h32Atualizadohá 8 anos O Bem Estar desta quinta-feira (2) fala sobre a infecção urinária e explica que ela também acomete as crianças e é mais frequente no verão. O ginecologista e consultor do programa Dr. José Bento explica porque a gente deve evitar ficar com as roupas molhadas e o urologista Marco Arap conta porque segurar o xixi aumenta a chance de infecção.  Número de casos de infecção urinária aumenta 25% no verão Saiba mais A infecção urinária é muito frequente na população, principalmente nas mulheres, após a puberdade. Como qualquer infecção, está ligada à má higiene e baixa imunidade, mas podem existir outras causas que desencadeiam, como a relação sexual desprotegida ou não urinar após a relação, o uso de roupas úmidas por muito tempo, a anatomia, o pós-operatório ou segurar muito o xixi. Por que é mais comum entre as mulheres? –O primeiro motivo é o tamanho da uretra masculina e feminina, enquanto a das mulheres é de 3 cm, a dos homens possui 6 ou 7 cm, em média, ou seja, o acesso das bactérias é mais fácil e rápido nas mulheres. O segundo motivo é que as mulheres urinam com menos frequência e isso faz com que a uretra seja lavada menos vezes e as bactérias tem tempo de ""escalar"" a uretra. Quando o xixi passa, ele ""lava"" aquela região. Outro motivo é que a próstata dos homens produz uma substância que os protege contra infecções e por último, algumas mulheres têm o hábito de se limpar no sentido errado (do ânus para a vagina), o que leva as bactérias para a região. A forma correta é no sentido vagina-ânus. Tipos de infecção e sintomas –A infecção urinária pode ocorrer na uretra, na bexiga ou no rim. Dependendo da região, os sintomas e a gravidade são diferentes. Quando ocorre na uretra e na bexiga, os sintomas são os mesmos: aumento na frequência e urgência para urinar, mesmo sem sair muito xixi, e ardência. Se a infecção é no rim, o quadro é mais grave e os sintomas são: febre, dor nas costas, fraqueza, vômito, alterações no hábito intestinal e perda de apetite. Em casos extremos, a pessoa pode entrar em coma e até morrer. Em todos os casos, pode haver mudança na coloração da urina, além de sangue e resíduos. Tratamento –O tratamento para infecção urinária é sempre com antibiótico. Quando há tempo, o correto é fazer um exame de urina para descobrir o tipo de bactéria e, então, usar o medicamento correto. Porém, na maioria das vezes, os pacientes estão sofrendo muito com os sintomas e não há tempo para isso. Quando a infecção é recorrente é importante fazer uma investigação para descobrir a causa. Não segurar o xixi é uma das dicas para evitar a infecção urinária Prevenção –Urinar sempre que tiver vontade, tomar bastante água, fazer xixi depois da relação sexual e se limpar no sentido correto, não trazer o papel higiênico do ânus para a vagina. Gestante –É muito comum as gestantes terem infecção urinária e a diferença é que boa parte delas não tem sintomas, por isso é importante o exame de urina no pré-natal. Se não tratada, a infecção pode evoluir, ir para o rim e comprometer as funções do órgão levando ao nascimento prematuro do bebê ou até abortamento. Tomar bastante água e não segurar o xixi são as principais dicas de prevenção. É preciso conhecer e ficar atento aos sintomas da infecção urinária nos bebês Incontinência fecal atinge 20% das mulheres com mais de 50 anos Veja também     Carla Zambelli deixa o Brasil após ser condenada a 10 anos de prisão por ataque ao Judiciário Deputada afirmou que foi buscar tratamento médico no exterior e que pedirá licença do mandato. Ela não deixou claro em qual país está. Câmera confirma que garota foi morta após PM dar coronhada e arma disparar VÍDEO: Ucrânia ataca ponte da Crimeia com explosivos instalados na água Polícia do RJ localiza jornalista britânica sumida em SP; mulher disse que não quer contato com a família Amiga do Rio de Janeiro relatou à polícia que Charlotte Alice Peet entrou em contato pela última vez em 8 de fevereiro para informar que estava na capital paulista. Charlotte foi encontrada no bairro dos Jardins. VÍDEO: Cupertino fala por mais de 2 horas em seu julgamento e cita Bolsonaro e Lula Gravações mostram interrogatório do réu e depoimentos da filha e da ex-esposa dele, Isabela e Vanessa Tibcherani. Elas presenciaram quando empresário matou a tiros Rafael Miguel e pais do ator por não aprovar namoro com a filha em 2019. Acusado foi condenado a 98 anos. INFOGRÁFICO: Veja como drones ucranianos infiltrados por agentes secretos destruíram um terço da frota russa Ucrânia escondeu drones em contêineres e os levou de caminhão para perto das bases aéreas, atingindo parte da artilharia aérea russa de longo alcance. Rússia exige 20% do território da Ucrânia para cessar-fogo; veja demais condições Memorando com a proposta de paz foi entregue pelos russos à Ucrânia em segunda rodada de negociações diretas para encerrar o conflito. Encontro ocorreu nesta segunda (2), um dia após troca de ataques em larga escala e inéditos. 1 min Menos de R$ 3 mil, adaptado do uso civil: como é o drone ucraniano que impôs prejuízo de US$ 7 bilhões à Rússia A escolha por drones FPV, sigla para Visão em Primeira Pessoa (First Person View), se deve à sua capacidade de realizar ataques precisos com baixo custo, além de serem difíceis de detectar e neutralizar. ";https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=9&r=1748972615654&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2Ffalta-de-higiene-e-baixa-imunidade-podem-provocar-infeccao-urinaria.ghtml&syn=False&key=a5c8ee0aa16e07cd8110a540ce478e35
9;Título não encontrado;"Por G1— São Paulo 26/07/2019 11h44Atualizadohá 5 anos  Infecção urinária em bebês é silenciosa; veja como identificar Pais de primeira viagem mergulham em um novo universo. Quando o bebê chora é preciso identificar o que ele está precisando. Fome? Sono? Fralda suja? Nos primeiros meses, tudo é mistério. E uma das dúvidas é em relação a higiene correta dos bebês. Por exemplo: você sabe identificar a infecção urinária em bebê? E como prevenir? A limpeza correta dos órgãos genitais evita a infecção. A consultora do Bem Estar e pediatra Ana Escobar mostrou como deve ser feita a higienização. “O cocô não pode entrar em contato com a uretra. Por isso, limpe primeiro o cocô, sempre no sentido da região genital para o ânus e tenha certeza que não sobrou nenhum resíduo”. Lembre-se de limpar o bumbum do bebê antes do banho para evitar levar sujeira para a água da banheira. A infecção urinária em bebês tem alguns sinais. Febre, diminuição do apetite e estabilidade no peso (deixar de ganhar peso) podem indicar a infecção. Sempre que um recém-nascido tem febre, a primeira indicação do pediatra é fazer exame de urina. A partir de um ano, os sintomas ficam mais definidos: dor para fazer xixi, necessidade urgente de fazer xixi com frequência, febre e desconforto.  Rede de apoio é importante para os pais Veja também     Carla Zambelli deixa o Brasil após ser condenada a 10 anos de prisão por ataque ao Judiciário Deputada afirmou que foi buscar tratamento médico no exterior e que pedirá licença do mandato. Ela não deixou claro em qual país está. Câmera confirma que garota foi morta após PM dar coronhada e arma disparar VÍDEO: Ucrânia ataca ponte da Crimeia com explosivos instalados na água Polícia do RJ localiza jornalista britânica sumida em SP; mulher disse que não quer contato com a família Amiga do Rio de Janeiro relatou à polícia que Charlotte Alice Peet entrou em contato pela última vez em 8 de fevereiro para informar que estava na capital paulista. Charlotte foi encontrada no bairro dos Jardins. VÍDEO: Cupertino fala por mais de 2 horas em seu julgamento e cita Bolsonaro e Lula Gravações mostram interrogatório do réu e depoimentos da filha e da ex-esposa dele, Isabela e Vanessa Tibcherani. Elas presenciaram quando empresário matou a tiros Rafael Miguel e pais do ator por não aprovar namoro com a filha em 2019. Acusado foi condenado a 98 anos. INFOGRÁFICO: Veja como drones ucranianos infiltrados por agentes secretos destruíram um terço da frota russa Ucrânia escondeu drones em contêineres e os levou de caminhão para perto das bases aéreas, atingindo parte da artilharia aérea russa de longo alcance. Rússia exige 20% do território da Ucrânia para cessar-fogo; veja demais condições Memorando com a proposta de paz foi entregue pelos russos à Ucrânia em segunda rodada de negociações diretas para encerrar o conflito. Encontro ocorreu nesta segunda (2), um dia após troca de ataques em larga escala e inéditos. 1 min Menos de R$ 3 mil, adaptado do uso civil: como é o drone ucraniano que impôs prejuízo de US$ 7 bilhões à Rússia A escolha por drones FPV, sigla para Visão em Primeira Pessoa (First Person View), se deve à sua capacidade de realizar ataques precisos com baixo custo, além de serem difíceis de detectar e neutralizar. ";https://g1.globo.com/busca/click?q=infec%C3%A7%C3%A3o+urin%C3%A1ria&p=10&r=1748972615655&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2019%2F07%2F26%2Finfeccao-urinaria-em-bebes-e-silenciosa-veja-como-identificar.ghtml&syn=False&key=3901bb99e489e5aa447cf371bc9087ae
