Titulo;Corpo;Link;
Anvisa suspende amoxicilina e rifamicina da farmacêutica EMS;"04/02/2015 20h31- Atualizado em04/02/2015 20h31 Do G1, em São Paulo A Anvisa anunciou nesta quarta-feira (4) a suspensão de dois antibióticos da farmacêutica EMS. Um deles é a amoxicilina + clavulanato de potássio 50 mg/ml + 12,5 mg/ml pó para suspensão oral. O outro é a rifamicina 10 mg/ml solução tópica spray. No caso da amoxicilina, a suspensão se aplica à distribuição e venda de todos os lotes do produto fabricados a partir de fevereiro de 2013. Segundo a determinação da agência, o produto deve parar de ser fabricado e os estoques restantes no mercado devem ser recolhidos pela empresa. A suspensão foi determinada porque o produto estava sendo fabricado com excipiente diferente do que foi aprovado pela Anvisa. Os excipientes são substâncias presentes nos medicamentos para dar características como volume, forma e consistência ao produto. Além disso, um insumo farmacêutico usado no medicamento estava sendo sintetizado de forma diferente do que consta no registro. ""As duas mudanças podem levar a alterações no resultado final do produto"", diz nota divulgada pela agência. No caso da rifamicina, a suspensão ocorreu porque a empresa aumentou o tamanho do lote em 10 vezes sem a aprovação da Anvisa. Em nota, a EMS afirma que ""já está tomando todas as providências necessárias"". ""A empresa ressalta que sempre manteve os mais rigorosos padrões de produção e qualidade em seus medicamentos"", acresentou a farmacêutica, que colocou à disposição dos consumidores o telefone 0800-191914 (de segunda a sexta-feira, das 9h às 17h). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=amoxicilina&p=1&r=1749139948288&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2015%2F02%2Fanvisa-suspende-amoxicilina-e-rifamicina-da-farmaceutica-ems.html&syn=False&key=61b936e54d66db45ba3aaa54cbb21497;
Lotes de amoxicilina são proibidos de serem comercializados;11/05/2010 13h34- Atualizado em11/05/2010 13h34 Do RJTV Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. A comercialização de  lotes de amoxicilina comercializados pela Farmanguinhos está suspensa. Esses lotes são vendidos pelo laboratório para as prefeituras, que colocam o medicamento em farmácias populares ou nos postos de saúde. Não há problemas para quem comprou o remédio em uma farmácia comercial comum. Já quem recebeu a amoxicilina do posto de saúde, de outubro do ano passado até o momento, e ainda tem o medicamento em casa deve verificar a cartela do remédio. Caso ele tenha sido fabricado por Farmanguinhos (pode estar escrito Fundação Oswaldo Cruz), a orientação da Secretaria de Saúde é para que a pessoa procure um posto de saúde para trocar o medicamento. Segundo o diretor técnico da instituição, o motivo para a suspensão foi uma mudança no processamento e isso não traz risco nenhum para saúde, mas essa modificação não foi aprovada pela Agência Nacional de Vigilância Sanitária (Anvisa). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=amoxicilina&p=2&r=1749139948290&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2010%2F05%2Flotes-de-amoxicilina-sao-proibidos-de-serem-comercializados.html&syn=False&key=f66832d40dcb2250823ed5678d71d1e9;
Título não encontrado;"Por Kleber Tomaz, G1 SP— São Paulo 05/11/2019 11h54Atualizadohá 5 anos Antibióticos e dinheiro roubados de farmácia que foram recuperados pela PM. Eles estavam com criminosos; dois suspeitos foram presos em São Caetano do Sul — Foto: Divulgação/ Polícia Militar A Polícia Militar (PM) prendeu na manhã desta terça-feira (5) dois homens por suspeita de usarem uma arma falsa para roubar antibióticos e mais de R$ 2 mil em dinheiro de uma farmácia emSão Caetano do Sul, na GrandeSão Paulo. De acordo com a PM, o crime ocorreu por volta das 9h numa drogaria da Avenida Goiás. Um assaltante roubou dez caixas de Amoxicilina e R$ 2.029 do estabelecimento. Policiais militares que patrulhavam a região souberam do roubo e prenderam um homem suspeito do crime. Segundo a PM, ele levava os antibióticos e dinheiro para um carro, onde estava seu comparsa, que também foi detido. Os objetos e dinheiro roubados foram recuperados e serão devolvidos à farmácia. Segundo a PM, a dupla presa é suspeita de roubar outras seis drogarias da cidade. O caso será registrado na delegacia central de São Caetano do Sul. Veja também     Eleição de 2026: Quaest mostra Lula empatado com Bolsonaro e mais 4 nomes no 2º turno Presidente e ex-presidente têm 41% das intenções de voto. Lula também aparece empatado com Tarcísio, Michelle, Ratinho Jr. e Eduardo Leite. Temporal com granizo cobre ruas de SC com 'bolas' de gelo; VÍDEO Além de sucuri solitária e araras, que animais vivem em buraco de 100 m? Carla Zambelli: como youtuber descobriu localização da deputada nos EUA a partir de um vídeo Criador de conteúdo analisou vídeo da parlamentar, feito em rua não identificada, para determinar coordenadas geográficas exatas de onde ele foi gravado. Zambelli foi para a Flórida após ser condenada a 10 anos de prisão no Brasil. Vídeo mostra como foi o resgate do corpo do empresário encontrado em buraco no Autódromo de Interlagos Adalberto Amarilio dos Santos Junior, de 35 anos, foi localizado quatro dias após desaparecimento. Ele foi retirado do buraco sem calça nem tênis, não tinha marcas aparentes de agressão nem de sangue. Segundo polícia, principal hipótese é que ele tenha sido colocado no local já sem vida. Terrorismo, incompetência governamental e 'overstay': o que Trump argumenta para restringir cidadãos de 19 países nos EUA Documento da Casa Branca afirma que medida visa impedir a entrada de terroristas nos EUA e outras ameaças à segurança nacional. Entenda qual a situação do Brasil neste contexto. Quem é a cantora sertaneja que foi seguida e teve cabelo cortado por criminosos na frente de casa em SC Advogado de Débora Amorim diz que ela foi imobilizada pelos braços e agredida com golpes na cabeça em Blumenau. Polícia Civil investiga o caso. Trump restringe a entrada de cidadãos de 19 países nos EUA Ao menos 12 nações enfrentam um bloqueio total, outras 7 passam por restrições parciais. Segundo o republicano, ação envolve preocupações de segurança nacional, ameaças de terrorismo e questões relacionadas à imigração. ";https://g1.globo.com/busca/click?q=amoxicilina&p=3&r=1749139948294&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-paulo%2Fnoticia%2F2019%2F11%2F05%2Fpm-prende-suspeitos-de-usarem-arma-falsa-para-roubar-antibioticos-e-r-2-mil-de-farmacia-na-grande-sp.ghtml&syn=False&key=1933029c5243ee6485d5faa4ad05532b;
Título não encontrado;"Por g1 PR e RPC Curitiba— Curitiba 04/08/2022 21h40Atualizadohá 2 anos Estado enfrenta problema de abastecimento de determinados remédios — Foto: RPC O Conselho Federal de Farmácia (CFF) divulgou nesta quinta-feira (4) os principais medicamentos em falta no Paraná. O número é fruto de um levantamento do órgão, que ouviu 512 profissionais de várias cidades que atuam nas redes pública e privada. Quase 98% deles disseram que têm dificuldades para encontrar determinados medicamentos. Veja os números reportados:   Segundo o diretor-secretário do Conselho Federal de Farmácia, Gustavo Pires, fatores internacionais interferem na produção de insumos.     Para especialistas, o problema foi agravado pela pandemia e não tem data para acabar. Um dos motivos para o problema foi a mudança de padrão dos laboratórios, uma vez que muitos deixaram de fabricar medicamentos que apresentaram queda de consumo. Além disso, quase todo o insumo para produção de medicamentos no Brasil vem da Índia e da China – e os chineses ainda mantém alta a vigilância contra surtos de Covid, o que prejudica a produção no país. A guerra entre Rússia e Ucrânia também é um agravante por interferir nos preços do petróleo e na logística das importações.  Pesquisa aponta principais remédios que estão em falta no Paraná   Veja mais notícias do estado emg1 Paraná. Veja também     Eleição de 2026: Quaest mostra Lula empatado com Bolsonaro e mais 4 nomes no 2º turno Presidente e ex-presidente têm 41% das intenções de voto. Lula também aparece empatado com Tarcísio, Michelle, Ratinho Jr. e Eduardo Leite. Temporal com granizo cobre ruas de SC com 'bolas' de gelo; VÍDEO Além de sucuri solitária e araras, que animais vivem em buraco de 100 m? Carla Zambelli: como youtuber descobriu localização da deputada nos EUA a partir de um vídeo Criador de conteúdo analisou vídeo da parlamentar, feito em rua não identificada, para determinar coordenadas geográficas exatas de onde ele foi gravado. Zambelli foi para a Flórida após ser condenada a 10 anos de prisão no Brasil. Vídeo mostra como foi o resgate do corpo do empresário encontrado em buraco no Autódromo de Interlagos Adalberto Amarilio dos Santos Junior, de 35 anos, foi localizado quatro dias após desaparecimento. Ele foi retirado do buraco sem calça nem tênis, não tinha marcas aparentes de agressão nem de sangue. Segundo polícia, principal hipótese é que ele tenha sido colocado no local já sem vida. Terrorismo, incompetência governamental e 'overstay': o que Trump argumenta para restringir cidadãos de 19 países nos EUA Documento da Casa Branca afirma que medida visa impedir a entrada de terroristas nos EUA e outras ameaças à segurança nacional. Entenda qual a situação do Brasil neste contexto. Quem é a cantora sertaneja que foi seguida e teve cabelo cortado por criminosos na frente de casa em SC Advogado de Débora Amorim diz que ela foi imobilizada pelos braços e agredida com golpes na cabeça em Blumenau. Polícia Civil investiga o caso. Trump restringe a entrada de cidadãos de 19 países nos EUA Ao menos 12 nações enfrentam um bloqueio total, outras 7 passam por restrições parciais. Segundo o republicano, ação envolve preocupações de segurança nacional, ameaças de terrorismo e questões relacionadas à imigração. ";https://g1.globo.com/busca/click?q=amoxicilina&p=4&r=1749139948298&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fnoticia%2F2022%2F08%2F04%2Ffarmaceuticos-reportam-principais-medicamentos-em-falta-no-parana-veja-lista.ghtml&syn=False&key=d5586ea7b87fa8238f55fc8d70ea3396;
Título não encontrado;"Por EPTV 2 12/07/2022 19h55Atualizadohá 2 anos  Falta de medicamentos afeta redes pública e privada de saúde em Campinas A rede básica de saúde deCampinas (SP)está com ao menos17 remédios em falta, segundo a prefeitura confirmou nesta terça-feira (12). São medicações para tratarinfecções, inflamações, alergias, problemas respiratórios, epilepsia, vermes, depressão, diabetes e esquizofrenia, por exemplo. Alguns remédios estão em falta em todos os centros de saúde, e outros registram desabastecimento parcial.Veja exemplos no vídeo acima. A previsão da administração municipal é de normalização no fornecimento em até quatro meses.Confira abaixo o que dizem prefeitura e Ministério da Saúde. O problema de escassez de medicações também foi noticiado pelog1 e pela EPTV, afiliada da TV Globo,em maio deste ano, e atingia também outras cidades da região de Campinas.     Para saber em quais centros de saúde os remédios estão disponíveis,os moradores podem acessar o site da prefeitura. É possível ir até a unidade com estoque para retirar a medicação. Alguns remédios estão em falta em Campinas — Foto: Reprodução/EPTV   A produção daEPTVquestionou hospitais da cidade, e alguns também confirmaram a dificuldade em adquirir medicações. Os municipais Mário Gatti e Ouro Verde disseram que, apesar da falta, seus pacientes não estão desassistidos. ""Quando o estoque de algum item está baixo, a Rede toma medidas de forma antecipada, como a substituição por outro similar, para garantir que seus pacientes recebam o tratamento adequado"", disse a Rede Mário Gatti. O hospital particular Madre Theodora informou que está com déficit no recebimento de dipirona endovenosa, por conta da falta de insumos para a produção dos fabricantes. A unidade está aplicando alternativas terapêuticas, sem prejuízo ao paciente, disse.   O Ministério disse, em nota, que constatou diversas causas globais para a falta de algumas medicações. Uma resolução foi publicada e libera critérios de estabelecimento e ajuste de preços para medicamentos com risco de desabastecimento no mercado. ""A pasta continua atuando em conjunto com Anvisa, estados e municípios e representantes das indústrias farmacêuticas para articular ações de enfrentamento ao desabastecimento de insumos hospitalares no país."" Já a Prefeitura de Campinas disse que alguns remédios estão em falta não só na cidade, mas em todo o Brasil, como é o caso da Amoxicilina. A medida adotada foi a substituição. ""Os tratamentos que têm indicações de medicamentos que não estão disponíveis são revistos. Dessa forma, há uma troca de medicação e não há desassistência aos pacientes"".   Veja mais notícias da região no g1Campinas Veja também     Eleição de 2026: Quaest mostra Lula empatado com Bolsonaro e mais 4 nomes no 2º turno Presidente e ex-presidente têm 41% das intenções de voto. Lula também aparece empatado com Tarcísio, Michelle, Ratinho Jr. e Eduardo Leite. Temporal com granizo cobre ruas de SC com 'bolas' de gelo; VÍDEO Além de sucuri solitária e araras, que animais vivem em buraco de 100 m? Carla Zambelli: como youtuber descobriu localização da deputada nos EUA a partir de um vídeo Criador de conteúdo analisou vídeo da parlamentar, feito em rua não identificada, para determinar coordenadas geográficas exatas de onde ele foi gravado. Zambelli foi para a Flórida após ser condenada a 10 anos de prisão no Brasil. Vídeo mostra como foi o resgate do corpo do empresário encontrado em buraco no Autódromo de Interlagos Adalberto Amarilio dos Santos Junior, de 35 anos, foi localizado quatro dias após desaparecimento. Ele foi retirado do buraco sem calça nem tênis, não tinha marcas aparentes de agressão nem de sangue. Segundo polícia, principal hipótese é que ele tenha sido colocado no local já sem vida. Terrorismo, incompetência governamental e 'overstay': o que Trump argumenta para restringir cidadãos de 19 países nos EUA Documento da Casa Branca afirma que medida visa impedir a entrada de terroristas nos EUA e outras ameaças à segurança nacional. Entenda qual a situação do Brasil neste contexto. Quem é a cantora sertaneja que foi seguida e teve cabelo cortado por criminosos na frente de casa em SC Advogado de Débora Amorim diz que ela foi imobilizada pelos braços e agredida com golpes na cabeça em Blumenau. Polícia Civil investiga o caso. Trump restringe a entrada de cidadãos de 19 países nos EUA Ao menos 12 nações enfrentam um bloqueio total, outras 7 passam por restrições parciais. Segundo o republicano, ação envolve preocupações de segurança nacional, ameaças de terrorismo e questões relacionadas à imigração. ";https://g1.globo.com/busca/click?q=amoxicilina&p=5&r=1749139948302&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fcampinas-regiao%2Fnoticia%2F2022%2F07%2F12%2Finfeccoes-diabetes-epilepsia-depressao-saude-de-campinas-tem-17-remedios-em-falta-e-previsao-e-normalizar-em-ate-4-meses.ghtml&syn=False&key=5c6a6f55263f8b97512cb6cbee90f225;
Título não encontrado;"Por G1 30/08/2017 08h58Atualizadohá 7 anos Lotes de paracetamol em gotas foram suspensos pela Anvisa — Foto: Divulgação A Anvisa (Agência Nacional de Vigilância Sanitária) recolheu lotes de medicamentos que têm como príncipio ativo o paracetamol e a amoxilina. A informação foi divulgada nesta quarta-feira (30) no Diário Oficial da União. Segundo a agência, estão suspensos em todo o Brasil a distribuição e a comercialização do medicamento genérico ""Paracetamol solução oral 200mg/mL"", lote 0130/16, com validade em março de 2018. O medicamento é fabricado pela Hipolabor Farmacêutica. Também estão suspensos em todo o território nacional o medicamento Amoxil BD, da empresa Glaxosmithkline, nas concentrações 200 mg/5 ml e 400 mg/5 ml. Comum, o paracetamol é utilizado para a redução da dor e da febre em gripes, por exemplo. Já a amoxilina, é um antibiótico recomendado usualmente para infecções das vias respiratórias. A Hipolabor informa que o lote foi retirado do mercado por alteração no aspecto do medicamento. ""Vamos apurar se a mudança foi ocasionada por armazenamento em condições inadequadas"", informa a empresa. Segundo a empresa, o lote já foi recolhido e não está disponível nas drogarias para venda. OG1aguarda um retorno da Glaxosmithkline sobre a suspensão do Amoxil. Veja também     Eleição de 2026: Quaest mostra Lula empatado com Bolsonaro e mais 4 nomes no 2º turno Presidente e ex-presidente têm 41% das intenções de voto. Lula também aparece empatado com Tarcísio, Michelle, Ratinho Jr. e Eduardo Leite. Temporal com granizo cobre ruas de SC com 'bolas' de gelo; VÍDEO Além de sucuri solitária e araras, que animais vivem em buraco de 100 m? 'Guardiã de mundo perdido': a sucuri gigante que vive isolada em buraco milenar de MS; veja vídeo Especialistas explicam que a chegada da cobra ao Buraco das Araras, em Jardim (MS), é um mistério. O primeiro avistamento da sucuri foi feito em 2017, quando um turista viu a cobra por um binóculo. Carla Zambelli: como youtuber descobriu localização da deputada nos EUA a partir de um vídeo Criador de conteúdo analisou vídeo da parlamentar, feito em rua não identificada, para determinar coordenadas geográficas exatas de onde ele foi gravado. Zambelli foi para a Flórida após ser condenada a 10 anos de prisão no Brasil. Quem é Vasyl Malyuk, o arquiteto ucraniano dos ataques que em dois dias humilharam Putin O poderoso chefe do Serviço de Segurança da Ucrânia planejou e executou a operação Teia de Aranha e a explosão da Ponte da Crimeia. 2 min Trump afirma em rede social que Putin irá responder a ataque de drones da Ucrânia, apaga e depois reposta Ataque surpresa da Ucrânia no final de semana utilizou drones escondidos contra aviões de guerra estacionados em bases russas. VÍDEO: Ucrânia divulga imagens inéditas de ataque surpresa de drones a aviões de guerra da Rússia Ucrânia escondeu drones em contêineres e os levou de caminhão para perto das bases aéreas, atingindo parte da artilharia aérea russa de longo alcance. ";https://g1.globo.com/busca/click?q=amoxicilina&p=6&r=1749139948307&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2Fanvisa-suspende-comercializacao-de-lotes-de-paracetamol-e-amoxilina.ghtml&syn=False&key=e844884d35e5d9178b8c379dae1c7e76;
Título não encontrado;"Por Giovani Grizotti, RBS TV 13/03/2023 13h40Atualizadohá 2 anos Hospital da Restinga, em Porto Alegre — Foto: Reprodução/RBS TV Uma paciente de 33 anos morreu no domingo (12) após ter uma reação alérgica rara a um medicamento administrado no Hospital da Restinga, emPorto Alegre, para tratar uma suspeita de pneumonia. Segundo familiares,Karen Stephanie dos Santosera diagnosticada com esquizofrenia e deu entrada no lugar em de 23 de fevereiro. De acordo com o prontuário de atendimento, foi administrado a Karen o antibióticoampicilina.A reação alérgica afetou mais de 70% da superfície corporal da paciente, além de sintomas como febre alta, dor na garganta, tremores e inchaço na boca. A direção do Hospital da Restinga afirma que a paciente foi vítima de uma forte alergia, conhecida como necrólise epidérmica tóxica, provocada pela reação do organismo a certos tipos de medicamentos, vírus ou bactérias. O resultado são queimaduras por todo o corpo. ""Alguns medicamentos podem acarretar essa reação imunológica no paciente. Ela [a reação] é imprevisível, ninguém tem condições de dizer se, ao usar essa medicação no paciente, vai fazer reação ou não. Ela também é provocada por alguns agentes virais ou mesmo bacterianos"", afirma o diretor do Hospital da Restinga, Carlos Casartelli. Com o agravamento do quadro clínico e como a instituição não conta com equipe de cirurgia plástica, necessária para o caso, a paciente foi transferida para o Hospital Conceição. A instituição não confirmou a causa da morte, ocorrida doze dias após a transferência.   Conforme a diretora da Sociedade Brasileira de Dermatologia – Secção RS, Valéria Rossato, a necrose é causada por uma mutação genética, com frequência de um caso para cada milhão de habitantes, e que não há como prevenir. A alternativa é realizar o diagnóstico o mais rápido possível e, a partir da identificação de alguma normalidade, interromper o uso de medicação que causou a reação. ""A nossa pele é a proteção contra todo o meio externo. Então, quando perde 70% dessa camada protetora, a mortalidade acaba sendo alta. E precisa, sim, de um suporte, tanto ventilatório, hermodinâmico, de nutrição, todo o corpo está mais inflamado. Não é só a pele, pulmão, intestino, a questão geniturinária. Quando o paciente interna, a gente precisa de um ataque multidisciplinar"", diz Valéria.   Veja também     Eleição de 2026: Quaest mostra Lula empatado com Bolsonaro e mais 4 nomes no 2º turno Presidente e ex-presidente têm 41% das intenções de voto. Lula também aparece empatado com Tarcísio, Michelle, Ratinho Jr. e Eduardo Leite. Temporal com granizo cobre ruas de SC com 'bolas' de gelo; VÍDEO Além de sucuri solitária e araras, que animais vivem em buraco de 100 m? Carla Zambelli: como youtuber descobriu localização da deputada nos EUA a partir de um vídeo Criador de conteúdo analisou vídeo da parlamentar, feito em rua não identificada, para determinar coordenadas geográficas exatas de onde ele foi gravado. Zambelli foi para a Flórida após ser condenada a 10 anos de prisão no Brasil. Vídeo mostra como foi o resgate do corpo do empresário encontrado em buraco no Autódromo de Interlagos Adalberto Amarilio dos Santos Junior, de 35 anos, foi localizado quatro dias após desaparecimento. Ele foi retirado do buraco sem calça nem tênis, não tinha marcas aparentes de agressão nem de sangue. Segundo polícia, principal hipótese é que ele tenha sido colocado no local já sem vida. Terrorismo, incompetência governamental e 'overstay': o que Trump argumenta para restringir cidadãos de 19 países nos EUA Documento da Casa Branca afirma que medida visa impedir a entrada de terroristas nos EUA e outras ameaças à segurança nacional. Entenda qual a situação do Brasil neste contexto. Quem é a cantora sertaneja que foi seguida e teve cabelo cortado por criminosos na frente de casa em SC Advogado de Débora Amorim diz que ela foi imobilizada pelos braços e agredida com golpes na cabeça em Blumenau. Polícia Civil investiga o caso. Adolescente que morreu após desmaiar em casa teve sangramento vaginal durante relação sexual, diz polícia Vítima, de 16 anos, foi levada ao posto de saúde do Distrito da Varginha, em Itapetininga (SP), após passar mal em casa. Segundo a polícia, a relação era consensual e laudos do IML devem apontar a causa da morte. ";https://g1.globo.com/busca/click?q=amoxicilina&p=7&r=1749139948311&u=https%3A%2F%2Fg1.globo.com%2Frs%2Frio-grande-do-sul%2Fnoticia%2F2023%2F03%2F13%2Fpaciente-morre-apos-alergia-rara-a-medicamento-administrado-em-hospital-de-porto-alegre-dizem-familiares.ghtml&syn=False&key=69603aac54c7d4e1547dc78bb16e5800;
Anvisa suspende por 90 dias venda de antibióticos de três laboratórios;"20/09/2016 17h31- Atualizado em20/09/2016 19h02 Do G1, em São Paulo A Agência Nacional de Vigilância Sanitária (Anvisa) determinou nesta terça-feira (20) a suspensão da venda por 90 dias dos antibióticos em comprimidos compostos por amoxicilina e clavulanato de potássio (nas dosagens de 875 mg + 125 mg) dos fabricantes EMS, Germed e Legrand. O motivo da interdição cautelar é o fato de que esses produtos vêm sendo fabricados sem os estudos de bioequivalência exigidos na regulamentação vigente. Os estudos de bioequivalência servem para demonstrar que são equivalentes produtos apresentados sob a mesma forma farmacêutica, com idêntica composição qualitativa e quantitativa de princípios ativos, e que tenham biodisponibilidade (velocidade e a extensão de absorção de um princípio ativo) comparável. EMS, Legrand e Germed integram o mesmo grupo. Consultada pelo G1, sua assessoria de imprensa assegurou que ""esses medicamentos, atualmente no mercado, são absolutamente seguros e eficazes, cumprindo com os mais altos padrões de qualidade"". Veja abaixo a lista de produtos interditados: - Amoxicilina + clavulanato de potássio comprimidos 875 mg + 125 mg (registro 105830516) e Policlavumoxil bd (amoxicilina + clavulanato de potássio, comprimidos 875 mg + 125 mg - registro 102351146) da Germed Farmacêutica. - Amoxicilina + clavulanato de potássio comprimidos 875 mg + 125 mg (registro 167730075) da Legrand Pharma. - Amoxicilina + clavulanato de potássio comprimidos 875 mg + 125 mg (registro 102350845) da EMS. Marco Aurélio Mello condicionou fornecimento a registro prévio na Anvisa. Fornecimento só ocorreria se imprescindível para família sem condição. Agência trocou obrigações não cumpridas por novas metas, sem punições.
Para TCU, fiscalização da agência não melhora serviço de telefonia celular. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=amoxicilina&p=8&r=1749139948313&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2016%2F09%2Fanvisa-suspende-por-90-dias-venda-de-antibioticos-de-tres-laboratorios.html&syn=False&key=a6f2200b23c56130c641756b57d8ee29;
Remédios e vacinas são encontrados no meio de canavial em Dumont, SP;"21/05/2014 21h40- Atualizado em21/05/2014 21h40 Do G1 Ribeirão e Franca  Jovens entre 6 e 17 anos podem aprender instrumentos, canto e coral.
Interessados devem se inscrever nas unidades entre 3 e 28 de agosto. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=amoxicilina&p=9&r=1749139948318&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fribeirao-preto-franca%2Fnoticia%2F2014%2F05%2Fremedios-e-vacinas-sao-encontrados-no-meio-de-canavial-em-dumont-sp.html&syn=False&key=b62f49d0ccdabc9286151ce312605c87;
Falta benzilpenicilina nos postos de saúde de BH, diz secretaria municipal;20/02/2015 18h02- Atualizado em09/04/2015 17h37 Do G1 MG O antibiótico benzilpenicilina está em falta nos postos e centros de saúde deBelo Horizonte, segundo a secretaria municipal de saúde (SMSA). O motivo seria a escassez de matéria-prima do medicamento no mercado. Ele é usado para combater infecções bacterianas, como as que provocam a faringite. Segundo a SMSA, uma licitação chegou a ser aberta em outubro do ano passado para adquirir a benzilpenicilina, mas nenhum fornecedor apresentou proposta. Um novo processo está sendo estudado pela secretaria. O estoque de benzilpenicilina disponível nas unidades está reservado para o tratamento de gestantes com sífilis. De acordo com a SMSA, nestes casos não existem outras alternativas terapêuticas. Mas as demais doenças tratadas com o medicamento podem ser combatidas com amoxicilina, amoxicilina e clavulanato e azitromicina. Os pacientes não devem usar os remédios por conta própria. Em caso de aparecimento dos sintomas, um médico deve ser consultado. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=amoxicilina&p=10&r=1749139948320&u=https%3A%2F%2Fg1.globo.com%2Fminas-gerais%2Fnoticia%2F2015%2F02%2Ffalta-benzilpenicilina-nos-postos-de-saude-de-bh-diz-secretaria-municipal.html&syn=False&key=445773de6e1536c8ee4bd1fbb5e54e9e;
