;Titulo;Corpo;Link
0;"Bactéria ""E. coli"" contamina 14 nos EUA";"08/06/2012 20h24- Atualizado em08/06/2012 20h24 Reuters  Por David Beasley  ATLANTA, 8 Jun (Reuters) - Uma pessoa morreu e outras adoeceram em seis Estados dos EUA nos últimos dois meses em decorrência de um misterioso surto da bactéria ""E. coli"", disseram autoridades federais de saúde na sexta-feira.  O Centro de Prevenção e Controle de Doenças (CDC) ainda não identificou a fonte da contaminação, que vem ocorrendo desde 15 de abril no Alabama, Flórida, Geórgia, Tennessee, Louisiana e Califórnia.  Uma criança da Louisiana morreu em decorrência da doença, segundo as autoridades.  ""A investigação está examinando tanto fontes alimentares quanto não alimentares"", disse o CDC em nota na sexta-feira.  O último relato de contaminação pela cepa ""Escherichia coli 0145"", que produz a toxina Shiga, ocorreu na segunda-feira passada, segundo a agência.  Na Louisiana, onde novos casos não são relatados desde maio, as autoridades sanitárias inicialmente acharam que a infecção estava relacionada a um zoológico de animais de estimação. Mas essa teoria foi abandonada porque só a criança que morreu havia estado no zoo, e não os adultos que adoeceram, segundo o epidemiologista Raoult Ratard, funcionário do governo estadual da Louisiana.  Cinco casos foram relatados na Geórgia, o Estado com mais casos. Os investigadores ""não detectaram nenhum item alimentar ou exposição ambiental que seja estatisticamente associada à doença nesse período"", segundo nota divulgada na sexta-feira pelo Departamento de Saúde Pública do Estado.  A difusão da ""E. coli"" pode ser evitada se as pessoas lavarem as mãos cuidadosamente após trocarem fraudas ou irem ao banheiro, e após terem contato com animais, segundo o CDC.  A carne deve ser bem cozida, e é aconselhável evitar sucos e laticínios não-pasteurizados. O CDC também alerta contra engolir água ao nadar.  (Reportagem adicional de Lisa Baertlein)  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=1&r=1748934791040&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2012%2F06%2Fbacteria-e-coli-contamina-14-nos-eua.html&syn=False&key=ebe15db1b27a167988e8df394b05eb43
1;Brucelose é causada por bactéria e atinge mamíferos;"Edição do dia 26/11/2017 26/11/2017 08h20- Atualizado em26/11/2017 08h28 Camila MarconatoSão Paulo, SP  Um assunto delicado: a brucelose, doença causada por bactéria. Ela já foi um problema bem sério para o gado de leite e preocupa também os seres humanos - especialmente os que trabalham na lida com os animais: e os casos com pessoas podem ser bem maiores do que imaginávamos. As brucellas são bactérias que causam a brucelose. Existem várias espécies. Algumas com alto poder de contaminação. Caso dabrucella abortus, que se hospeda principalmente em búfalos e bovinos. Na vaca, a brucelose pode causar aborto do feto e retenção de placenta depois do parto. O touro pode ter uma inflamação nos testículos e ficar estéril. Para controlar essa doença, no Brasil, desde 2001, o criador de gado e de búfalo é obrigado a vacinar todas as fêmeas do rebanho entre três e oito meses de vida. Além de abater os animais que estão comprovadamente doentes. O que nem todo mundo sabe é que a brucelose é uma zoonose, ou seja, ela passa dos animais para os seres humanos. Por exemplo: se eu tomar um leite cru ou comer uma carne mal cozida do animal contaminado, eu posso adoecer. Mas essa não é a principal forma de transmissão da brucelose. Quem mais sofre com a doença geralmente são as pessoas que trabalham na lida com o gado. Marcelo de Oliveira sabe bem disso. Ele trabalhava na Casa de Agricultura deParaibuna, em São Paulo, e teve que fazer uma longa peregrinação por médicos da região até encontrar um que perguntou: “'O que você faz?' Aí eu contei pra ele que eu fazia inseminação, fazia parto, que eu mexia com gado, fazia muito tempo, né? Aí ele falou... Vamos fazer uma sorologia? Aí eu falei: brucelose? Ele falou é!” marcelo sentia muita dor na perna e febre.Gotículas de sangue, leite ou urina de animais contaminados já são suficientes para transmitir a bactéria da brucelose para o homem. Basta que ela encontre uma portinha de entrada: alguma lesão ou mesmo uma mucosa - boca, nariz, olho... Em se tratando de saúde humana, até a vacina - obrigatória pro rebanho - vira um complicador. Existem duas: tanto B19 - mais comum no brasil - como a RB51 são produzidas com bactérias vivas, capazes de infectar o homem. O veterinário Geraldo Mancilha pegou a doença assim. ""A gente começou a vacinar um plantel, e eu coloquei a seringa dentro da caixa de isopor num local adequado, só que a agulha ficou para cima, uma bezerra me empurrou, eu bati a mão na agulha... Muitos anos depois, eu comecei a sentir um cansaço e procurei ver o que aconteceu comigo, se foi por causa dessa vacina, aí fizemos os exames, deu positivo."", relembra ele. Hoje em dia existe todo um protocolo de segurança para evitar acidentes como o do Geraldo. Só veterinários habilitados são autorizados a vacinar o rebanho. O problema é que, na prática, muita gente sem habilitação vacina, sem nem saber direito do risco que está correndo... No hospital Emílio Ribas, emSão Paulo, o médico infectologista Marcos Vinícius da Silva recebe todos os meses de dois a três pacientes com a doença. ""Ela é uma doença complexa porque pode ter várias manifestações clínicas, pode ir desde um quadro de fadiga, uma febre que aparece e desaparece, sudorese, perda de ânimo, peso, depois pode localizar, sistema nervoso central, articulações, coluna, acometimento pulmonar, aparecimento de ínguas... O tratamento é feito através de uma combinação de antibióticos.  e o tempo também é problongado"", diz o médico. O Instituto Biológico de São Paulo - ligado à Secretaria de Agricultura do estado - é uma referência no estudo de brucelose. De lá, recentemente saíram duas notícias: uma boa e uma ruim. Vamos começar pela boa: os pesquisadores do instituto conseguiram desenvolver um teste molecular que não só detecta a Brucella em uma amostra de urina, como identifica a espécie da bactéria. O Instituto Biológico já começou a conversar com o Instituto Adolpho Lutz, ligado à Secretaria de Saúde, com a intenção de transferir para eles essa tecnologia de diagnóstico molecular. A ideia é que mais gente, no futuro, tenha acesso a esse exame - hoje - indisponível. Alerta contra queijos clandestinosAgora senta aí para a notícia ruim: a pesquisadora e veterinária Simone Miyashiro - diretora de triagem animal do instituto - analisou cento e noventa e dois queijos clandestinos de Minas e São Paulo. Trinta e sete estavam contaminados com Brucella. Sete deles com estirpes de campo e trinta com B19, ou seja, a bactéria usada na fabricação da vacina das bezerras segue no leite do animal com potencial para contaminar humanos: O centro de doenças de Atlanta nos Estados Unidos também anda emitindo alertas desse tipo. Lá, eles conseguiram comprovar que algumas pessoas se contaminaram ao ingerir leite cru de animal vacinado com RB51, a outra vacina disponível no mercado. Apesar dos problemas para o ser humano, a pesquisadora reconhece que é importante continuar vacinando o rebanho. O jeito, então, segundo ela, é evitar o consumo de leite cru e seus derivados. E sempre usar equipamentos de proteção individual na lida com o gado. Se você costuma fazer queijo de leite cru tem que aguardar o tempo certo de maturação do produto. Esse processo - quando bem feito - elimina a bactéria. O Ministério da Saúde afirmou que não vai comentar o assunto.  ";https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=2&r=1748934791042&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fagronegocios%2Fglobo-rural%2Fnoticia%2F2017%2F11%2Fbrucelose-e-causada-por-bacteria-e-atinge-mamiferos.html&syn=False&key=8077b677cfc80a3446f75f0ee7fe2d21
2;Estudo liga bactéria a doenças provocadas pelo consumo de carne;Edição do dia 08/04/2013 08/04/2013 21h15- Atualizado em08/04/2013 21h15  Pesquisadores americanos descobriram que uma bactéria existente no corpo humano pode ser responsável pela relação entre o consumo excessivo de carne vermelha e doenças do coração. O estudo foi publicado na revista Nature Medicine - uma das mais respeitadas pela comunidade científica internacional. Os pesquisadores acompanharam quase 2.600 pessoas. Dois grupos foram estudados: os vegetarianos e as pessoas que comem carne. Os cientistas queriam descobrir o papel de uma determinada substância nas doenças do coração: a carnitina, que é  produzida pelo próprio corpo em pequenas quantidades. E é encontrada também na carne vermelha, em bebidas energéticas e em suplementos vendidos em lojas de vitaminas. Segundo o estudo, quando a carne é ingerida, bactérias naturais do intestino se alimentam da carnitina. E fabricam OTMA, uma substância que pode provocar o entupimento das artérias do coração. Quanto mais carne a pessoa consumir, mais dessas bactérias ela terá no organismo, que vão produzir ainda mais OTMA. A substância foi encontrada em níveis baixos nos vegetarianos. O estudo sugere que a gordura da carne, sozinha, não seria capaz de fazer tanto mal ao coração. Os pesquisadores, agora querem desenvolver um medicamento que possa controlar as bactérias e evitar doenças cardíacas. O doutor Stanley Hazen, que coordenou o estudo, diz que níveis elevados de OTMA aumentam o acúmulo de colesterol nas artérias e diminuem a  capacidade do organismo de se livrar dessa gordura ruim. Mas ele também avisa: a pesquisa não diz que a carne seja totalmente prejudicial. Afinal, ela tem proteína e vitamina B, essenciais para a nossa saúde. ;https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=3&r=1748934791044&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2013%2F04%2Festudo-liga-bacteria-doencas-provocadas-pelo-consumo-de-carne.html&syn=False&key=d1e5784ff3c31b3e7fdd7e2e539941a2
3;Bactéria 'E. coli' faz Alemanha interditar escola primária;28/06/2011 18h02- Atualizado em28/06/2011 18h02 Reuters BERLIM (Reuters) - Uma escola primária do oeste da Alemanha foi interditada na terça-feira depois que alguns alunos contraíram a infecção causada pela bactéria 'E. coli', responsável por um surto que já matou 48 pessoas. Um novo caso foi notificado também na Suécia. A escola na localidade de Altenbeken passará uma semana fechada, o que é mais ou menos o período de incubação da bactéria, segundo autoridades locais. Até agora, mais de 4.000 pessoas na Europa e América do Norte foram contaminadas pela cepa rara da 'E. coli', e todos os casos envolvem pessoas que viajaram para o norte da Alemanha ou consumiram produtos de lá. O ritmo do surto diminuiu consideravelmente desde o seu auge, em maio. As autoridades sanitárias atribuem a epidemia a brotos comestíveis produzidos em uma fazenda orgânica de Hamburgo. No caso da escola de Altenbeken, as autoridades acreditam que a falta de higiene entre alunos ou funcionários da cantina causaram a doença, e não os brotos contaminados. (Por Eric Kelsey, reportagem adicional de Anna Ringstrom, em Estocolmo) Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=4&r=1748934791045&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2011%2F06%2Fbacteria-e-coli-faz-alemanha-interditar-escola-primaria.html&syn=False&key=5c3fab77b0e0def777bb5a9be8d3f8bf
4;Surto da bactéria E. coli começa a estabilizar na Alemanha;Edição do dia 03/06/2011 03/06/2011 21h14- Atualizado em03/06/2011 21h14 Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. Nos últimos dois dias, autoridades da Alemanha registraram 200 novos casos de infecção pela variante superagressiva da bactéria E.coli. Mas disseram que o surto começa a dar sinais de estabilidade. Doze países na Europa e os Estados Unidos já notificaram casos. São mais de 1,7 mil infectados e 19 mortos. As causas ainda são um mistério. ;https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=5&r=1748934791047&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2011%2F06%2Fsurto-da-bacteria-e-coli-comeca-estabilizar-na-alemanha.html&syn=False&key=c91e3683a408321cc66a731fc18a28cc
5;Alemanha declara fim do surto de bactéria 'E. coli';26/07/2011 17h04- Atualizado em26/07/2011 17h04 Reuters BERLIM (Reuters) - As autoridades sanitárias alemãs declararam na terça-feira o fim do surto da bactéria 'E. coli', após mais de três semanas sem o registro de novos casos da doença, que matou mais de 50 pessoas neste ano. 'O maior surto da 'E. coli' na Alemanha agora está terminado', disse Reinhard Burger, presidente do Instituto Robert Koch, agência oficial de controle de doenças do país. Mais de 4.400 pessoas na Europa e América do Norte foram contaminadas em dois focos da doença -- um mais grave, centrado no norte da Alemanha, e outro menor, ao redor de Bordéus, na França. Acredita-se que a doença foi trazida para a Europa em sementes de feno-grego importadas do Egito. O Instituto Koch disse que vai desativar seu centro de monitoramento da doença, mas que manterá uma vigilância intensiva caso a bactéria reapareça. (Reportagem de David Milliken) Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=6&r=1748934791048&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2011%2F07%2Falemanha-declara-fim-do-surto-de-bacteria-e-coli.html&syn=False&key=63b6e0b402270e6852ee015b048d8ecd
6;Surto da bactéria 'E. coli' já matou 14 na Alemanha;"30/05/2011 19h07- Atualizado em30/05/2011 19h07 Da Reuters Já chegou a 14 o número de mortos pelo surto da bactériaEscherichia coli, naAlemanha, que ainda deixou mais de 300 seriamente doentes. O mal se espalhou para outros países do norte da Europa, e a previsão é que se agrave nesta semana. ""Esperamos que o número de casos diminua, mas tememos que a situação se agrave"", disse Oliver Grieve, porta-voz do Centro Médico da Universidade de Schleswig-Holstein, no norte da Alemanha, onde estão sendo tratados muitos dos doentes. A origem da bactéria é desconhecida, disseram autoridades alemãs na segunda-feira, antes de uma reunião de autoridades federais e estaduais em Berlim para discutir a crise. A maioria das mortes ocorreu no norte do país. AE. colifoi identificada em pepinos importados da Espanha, mas não está claro se os pepinos foram contaminados ainda na Espanha, enquanto eram transportados ou na Alemanha. Há 36 casos suspeitos de estarem ligados aoE. colina Suécia, disseram autoridades, todos ligados a viagens no norte da Alemanha. Um número pequeno de casos foi informado na Grã-Bretanha, Dinamarca, França e Holanda, todos ligados a viagens à Alemanha. O governo alemão identificou a doença como sendo a síndrome hemolítica-urêmica (HUS), uma complicação séria de um subtipo da bactéria conhecido comoE.coliprodutora de toxina Shiga (STEC). Em uma avaliação de riscos, o Centro Europeu de Prevenção e Controle de Doenças (ECDC) disse que o surto de HUS/STEC é um dos maiores do tipo no mundo. A HUS afeta o sangue, rins e, em casos graves, o sistema nervoso, podendo ser especialmente perigosa para crianças e idosos. Cerca de 60 casos de HUS são informados anualmente na Alemanha, segundo o governo. Superávit de US$ 19,69 bilhões é o maior para um ano fechado desde 2011.
Atividade econômica fraca e queda do preço do petróleo melhoraram saldo. Na véspera do Ano Novo, país recebeu alerta para possível ataque. 
Duas estações foram fechadas em Munique. ";https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=7&r=1748934791051&u=https%3A%2F%2Fg1.globo.com%2Fciencia-e-saude%2Fnoticia%2F2011%2F05%2Fsurto-da-bacteria-e-coli-ja-matou-14-na-alemanha.html&syn=False&key=7eb4234b131306e773b948d72a3316c2
7;Nasa não reconhece descoberta de 'bactéria alienígena';07/03/2011 17h18- Atualizado em07/03/2011 17h18 Do G1, em São Paulo A Nasa divulgou nesta segunda-feira um comunicado oficial deixando claro que não tem participação na pesquisa que teria encontrado provas de vida alienígena. Richard Hoover, astrobiólogo que trabalha na agência, assinou um estudo afirmando isso, divulgado pelo “Journal of Cosmology” na última sexta-feira. A descoberta veio pela análise de um meteorito chamado condrito carbonáceo CI1 – um tipo raro, há apenas nove deles registrados na Terra. Examinando com microscópios, ele encontrou o que seriam fósseis de bactérias semelhantes às cianobactérias. A análise concluiu ainda que as bactérias fossilizadas não seriam contaminantes terráqueos, mas sim organismos nativos do corpo celeste que originou aquele meteorito – alguma lua, por exemplo. A conclusão de que essa era uma prova definitiva de existência de vida alienígena foi contestada na sociedade científica dos EUA. O “Journal of Cosmology” não é uma publicação bem aceita no meio. Seus métodos de revisão são considerados pouco rigorosos do ponto de vista científico, ou seja, os artigos divulgados por ele nem sempre têm fundamento. O comunicado divulgado pela Nasa, assinado por Paul Hertz, chefe da Diretoria de Missão Científica da agência, endossa este ponto de vista: “A Nasa não pode estar por trás ou apoiar uma afirmação científica a menos que ela tenha sido aprovada por análise colegial ou examinada detalhadamente por outros especialistas qualificados. Esse artigo foi enviado em 2007 para o ‘International Journal of Astrobiology’. Contudo, o processo de análise colegial não o aprovou. A Nasa também não tinha conhecimento do envio do artigo para o ‘Journal of Cosmology’ nem de sua consequente publicação”, dizia o texto. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=8&r=1748934791053&u=https%3A%2F%2Fg1.globo.com%2Fciencia-e-saude%2Fnoticia%2F2011%2F03%2Fnasa-nao-reconhece-descoberta-de-bacteria-alienigena.html&syn=False&key=a1a7bf91afe76d7d1f68e02c87a559f9
8;Bactéria da Ásia ameaça laranjas da Flórida;Busca não realizada! Sua busca deve conter no mínimo 2 letras 30/09/2013 16h30- Atualizado em30/09/2013 16h30 France Presse WASHINGTON, 30 Set 2013 (AFP) - A produção de cítricos na Flórida, sudeste dos Estados Unidos, segundo maior produtor de suco de laranja depois do Brasil, é ameaçada por uma doença provocada por uma bactéria da Ásia, que afeta essas árvores frutíferas e preocupa os cientistas. Esta enfermidade, chamada 'Citrus Huanglogbing' ou 'enverdecimento dos cítricos', torna as frutas amargas e faz com que caiam da árvore antes de amadurecer. Gradativamente, o micróbio, transmitido por um pequeno inseto, o psilídeo-asiático-dos-citros ('Diaphorina citri Kuwayama' ou ACP em inglês), priva os frutos de nutrientes. E a doença, que afeta sobretudo as laranjas, pode permanecer latente por cinco anos antes de se manifestar, quando é tarde demais para agir, explicou à AFP Greg Carlton, do Departamento de Agricultura da Flórida (sudeste). Desde seu aparecimento em 2006, essa praga se estendeu por toda a área de produção do estado, o que representa 200.000 hectares. 'Vemos cada vez mais desses insetos e árvores doentes', acrescentou, destacando que em 2012, 20% das frutas caíram prematuramente no solo. 'Esta doença realmente afeta nossa produção de cítricos', disse o especialista. Antes de esta bactéria devastar os cultivos, a Flórida produzia mais de 200 milhões de caixas de cítricos por ano (cerca de 8 milhões de toneladas), mas para esta temporada espera-se uma colheita de 133 milhões de caixas, o que representa uma redução em um terço da produção, disse. Ao mesmo tempo, os custos para combater esse parasita mais que dobraram nos últimos cinco anos, passando de 800 dólares por 0,4 hectare (1 acre) para 1.900 dólares por 0,4 hectare (1 acre). 'Se não encontrarmos uma cura, esse patógeno vai dizimar a indústria de cítricos na Flórida e acabaremos pagando cinco dólares por uma laranja que, além disso, será importada', advertiu o senador democrata do estado, Bill Nelson, que ajudou a obter 11 milhões de dólares do governo federal para financiar a pesquisa contra a doença. A indústria de cítricos gera 9 bilhões de dólares e quase 76.000 empregos na Flórida e é um dos principais motores da economia do estado. 'Temos fé na ciência' A 'Citrus Huanglogbing' já custou 4,5 bilhões de dólares e 8.200 empregos, disse Michael Sparks, presidente da Florida Citrus Mutual (FCM), associação comercial que representa os produtores, citando um estudo feito pela Universidade da Flórida. 'Tem sido duro, mas temos fé na ciência para salvar nossa indústria', disse à AFP, destacando que durante os últimos sete anos, a FCM destinou cerca de 70 milhões de dólares à pesquisa. 'Nossa produção total continua diminuindo, mas temos feito mudanças significativas nos nossos cultivos que deveriam permitir preservar um grande número de árvores até que se encontre uma solução', destacou, otimista. Além de cortar grande quantidade de árvores afetadas, os produtores tratam os cultivos com inseticidas, acrescentou o chefe da FCM. Também usam nutrientes para fortalecer as árvores e os cítricos cultivados em estufas antes do transplante. A Flórida não é o único estado a sofrer grandes perdas devido a esta doença. Foram detectados insetos portadores da bactéria responsável pelo 'enverdecimento dos cítricos' em Texas (sul) e Califórnia (oeste), que cedo ou tarde terão a mesma sorte com suas laranjas, toronjas e limões, disse Sparks. O 'enverdecimento dos cítricos' também é um problema internacional que afeta em particular o Brasil, maior produtor mundial de laranjas, destacou o especialista, afirmando que os produtores americanos compartilham seus esforços de pesquisa com colegas brasileiros e de outros países. O biólogo molecular Abhaya Dandekar, da Universidade da Califórnia em Davis, disse que a bactéria afeta o sistema imunológico dos cítricos, assim como seu metabolismo, mas não é portadora da toxina. 'A investigação se concentra principalmente na genética para desenvolver árvores geneticamente modificadas capazes de resistir à bactéria', disse à AFP. js/ff/jr/ad/ll/mvv/dm Verificação de segurança Atualizar imagem Gênero atualizar imagem Seu voto foi efetuado com sucesso Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=9&r=1748934791055&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fnoticia%2F2013%2F09%2Fbacteria-da-asia-ameaca-laranjas-da-florida.html&syn=False&key=6c4d98328fa79741aa9aa0ef2f8fc408
9;Universidade treina cão a detectar bactéria hospitalar;"17/12/2012 10h00- Atualizado em17/12/2012 10h55 Da BBC Um estudo realizado pela Universidade VU, de Amsterdã, na Holanda, revelou que cães podem detectar bactérias que causam infecções hospitalares graves, como aClostridium difficile. Cliff, um beagle de dois anos usado no estudo, conseguiu detectar a superbactéria com 83% de precisão. Os testes com Cliff foram feitos em dois hospitais de Amsterdã nos quais, como em outros países, os médicos estão tentando reduzir as taxas de infecção pela bactéria detectada pelo beagle. Os exames de laboratório usados atualmente são lentos, caros e podem atrasar o início do tratamento em até uma semana. AClostridium difficilegeralmente afeta pacientes idosos que estão sendo tratados com antibióticos. Ela provoca problemas na flora intestinal, diarreia e, em casos extremos, inflamação intestinal e a morte. Os cientistas afirmaram que usar um cachorro nos hospitais para detectar os pacientes infectados é uma forma ""rápida, eficaz e popular"" de evitar a propagação da bactéria. A pesquisa foi divulgada na revista britânica especializada ""British Medical Journal"". CheiroEstudos anteriores demonstraram que cães são capazes de detectar vários tipos de câncer. A ideia de treinar um cachorro para detectar aClostridium difficilesurgiu quando os pesquisadores do Centro Médico da Universidade VU, de Amsterdã, notaram que as fezes contagiadas pela bactéria emitiam um odor específico. Cliff, que nunca tinha sido treinado para aprender a detectar a bactéria, passou por dois meses de instrução para farejar os odores da bactéria em amostras de fezes e em pacientes contagiados. Cliff tinha que se sentar ou deitar quando o micro-organismo estivesse presente. Quando o beagle foi colocado à prova, foram apresentadas 50 amostras de fezes com a bactéria e 50 sem. Cliff identificou corretamente as 50 amostras positivas e 47 das 50 negativas. Os números equivalem a uma qualificação de 100% em termos de sensibilidade (a proporção de positivos detectados corretamente) e 94% em especificidade (a proporção de negativos identificados corretamente). Depois, Cliff foi levado para as salas de dois hospitais para provar sua capacidade em meio aos pacientes. O cachorro conseguiu identificar corretamente 25 de 30 pacientes infectados (83% de sensibilidade) e 265 de 270 pacientes sem a bactéria (98% de especificidade). 'Rápido e eficaz'De acordo com os pesquisadores, Cliff ""demonstrou ser rápido e eficaz, rastreando uma sala completa do hospital para buscar os pacientes com as infecções daC. difficileem menos de dez minutos"". ""Para os propósitos de detecção, o cão não precisou de uma amostra de fezes ou do contato físico com os pacientes"", afirmaram os autores da pesquisa. ""Tudo indica que os cães podem detectar aC. difficileno ar em volta dos pacientes"", acrescentaram. Mas os cientistas holandeses destacam que este foi um estudo inicial e agora deverão fazer pesquisas mais abrangentes. Também existem algumas dúvidas como a imprevisibilidade de se usar um animal como ferramenta de diagnóstico e o potencial que este animal teria de espalhar infecções. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=bact%C3%A9ria&p=10&r=1748934791056&u=https%3A%2F%2Fg1.globo.com%2Fciencia-e-saude%2Fnoticia%2F2012%2F12%2Funiversidade-treina-cao-a-detectar-bacteria-hospitalar.html&syn=False&key=2b740050c88e2572acc96b6e8668433d
