;Titulo;Corpo;Link
0;ONU pretende reduzir pneumonia e diarreia infantis;11/04/2013 20h39- Atualizado em11/04/2013 20h39 France Presse GENEBRA, 11 Abr 2013 (AFP) - Duas agências humanitárias da ONU anunciaram nesta sexta-feira um novo plano de luta para erradicar até 2025 a mortalidade infantil (de crianças menores de 5 anos) causada pela pneumonia e a diarreia, duas das doenças mais mortais em escala mundial. Juntos, os dois males são responsáveis por 29% das mortes de crianças menores de cinco anos, o que equivale a 2 milhões de vítimas infantis, segundo o Plano de Ação da Organização Mundial da Saúde (OMS) e do Fundo das Nações Unidas para a Infância (Unicef). No entanto, as soluções para combater a pneumonia e a diarreia não exigem novas descobertas científicas, afirmam os especialistas. 'Se as crianças continuam morrendo hoje é porque os serviços são prestados de forma fragmentada e os mais vulneráveis não se beneficiam' destes serviços, explicaram os dois organismos. Além disso, 'ocorre com muita frequência que se realizam paralelamente planos de luta' contra cada uma destas doenças, declarou Elizabeth Mason, encarregada da OMS. Em uma tentativa de coordenar os esforços, o Plano de Ação Mundial das Nações Unidas elaborou um 'mapa do caminho' para que os governos planejem e ponham em andamento iniciativas integrais de prevenção e luta contra as duas doenças. Este plano define também vários objetivos para diminuir o número de mortes infantis relacionadas com estas doenças. Segundo o plano, 90% das crianças deverão ter acesso - antes de 2025 - a antibióticos para curar a pneumonia e a um tratamento com sais de reidratação oral para curar a diarreia, contra 31% e 35%, respectivamente, hoje em dia. Por outro lado, especialistas da ONU pedem que pelo menos a metade dos bebês menores de seis meses seja amamentada contra 39% em 2012, e que todas as crianças tenham acesso a melhores serviços sanitários e à água potável contra 63% e 89%, respectivamente, atualmente. Cerca de 90% das mortes infantis relacionadas com estas duas doenças ocorrem na África subsaariana e na Ásia meridional. Segundo dados publicados esta sexta-feira na revista britânica The Lancet, este plano de ação demandará um investimento adicional de quase US$ 2 bilhões. nl/apo/pjt/plh/meb/af/mvv Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=PNEUMONIA&p=2&r=1749080684029&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2013%2F04%2Fonu-pretende-reduzir-pneumonia-e-diarreia-infantis.html&syn=False&key=ac83eeadc5fcfab6ff8dd86e1928f4a9
1;Cláudio Marzo está internado no CTI com pneumonia e desorientação;10/03/2015 12h49- Atualizado em10/03/2015 13h29 Do G1 Rio O ator Cláudio Marzo permanecia internado no Centro de Tratamento Intensivo (CTI) da Clínica São Vicente, na Gávea, Zona Sul do Rio, nesta terça-feira (10). Segundo informações da assessoria de imprensa da unidade, a pneumonia está sendo controlada com medicamentos. O médico que acompanha o ator informou também que o ator está desorientado. Marzo deu entrada no hospital no dia 4 de março e não tem previsão de alta. Outras internaçõesO ator também foi internado no dia8 de fevereiro devido a um quadro infeccioso, associado à insuficiência renal e a um enfisema descompensado, informou o boletim médico divulgado pelo Dr. João Manuel Pedroso, clínico geral e cardiologista do ator. No dia28 de dezembro de 2014, Cláudio foi internado no Centro de Tratamento Intensivo (CTI) do mesmo hospital com um quadro de arritmia cardíaca e pneumonia. Entretanto, recebeu alta médica no dia 31 de dezembro e pôde passar a virada do ano em casa. Tem alguma notícia para compartilhar? Envie para oVC no G1.  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=PNEUMONIA&p=3&r=1749080684034&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2015%2F03%2Fclaudio-marzo-esta-internado-no-cti-com-pneumonia-e-desorientacao.html&syn=False&key=7f957df8441e0d4da9e93f2a88c3f8da
2;Aposentado com pneumonia é 'devolvido' por três hospitais em GO;13/10/2011 08h44- Atualizado em13/10/2011 15h16 Do G1 GO, com informações da TV Anhanguera Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. Há 18 dias o aposentado José Miguel Fernandes começou a apresentar os sintomas da pneumonia. Ele procurou atendimentono no Centro de Assistência Integral à Saúde (Cais), no Bairro Goiá, em Goiânia, e recebeu quatro encaminhamentos. De um dos hospitais o aposentado teve alta dois dias depois e continuou passando mal. Dos outros três acabou sendo devolvido. Somente na noite de quarta-feira (12), José Miguel conseguiu ser internado no Hospital Geral de Goiânia (HGG). Os hospitais justificaram falta de estrutura para tratar da doença. Mas o filho do aposentado, Johnathan do Nascimento, desconfia de que o pai dele foi devolvido para o Cais por outro motivo. “Um dos funcionários que acompanhou meu pai comentou que o tratamento dele é muito caro para ser subsidiado pelo Sistema Único de Saúde.” O filho coloca em xeque a atitude dos hospitais. “Os hospitais têm a liberdade tanto jurídica como contratual para devolver pacientes como foi conferido? Por que isso acontece?” JustificativaSegundo o diretor da Central de Regulação de Leitos da Secretaria Municipal de Saúde, Fernando Machado, os encaminhamentos às unidades conveniadas são feitos de acordo com o histórico de atendimento do paciente junto às unidades do Sistema Único de Saúde (SUS). Ele esclarece que a recusa de pacientes do SUS, por parte de alguns hospitais, depende muito da avaliação médica feita na unidade para qual a pessoa foi levada. O perito pode argumentar que o hospital não tem as condições para prestar o atendimento necessário. O diretor explica ainda que essa recusa de pacientes deve ocorrer somente mediante justificativa clínica adequada, sob pena de multa ou descredenciamento do estabelecimento e até mesmo abertura de processo ético contra o profissional médico, junto ao Conselho Regional de Medicina (CRM). O diretor da central admitiu, porém, ser raro ocorrer três recusas consecutivas em unidades conveniadas, como no caso do aposentado José Miguel Fernandes, e disse que irá averiguar o que houve. ;https://g1.globo.com/busca/click?q=PNEUMONIA&p=4&r=1749080684037&u=https%3A%2F%2Fg1.globo.com%2Fgoias%2Fnoticia%2F2011%2F10%2Faposentado-com-pneumonia-e-devolvido-por-tres-hospitais-em-go.html&syn=False&key=13120aefe5b2b03012e685ffca1e1029
3;Siqueira Campos é diagnosticado com pneumonia e segue internado;26/01/2017 12h56- Atualizado em26/01/2017 12h56 Do G1 TO O ex-governador Siqueira Campos, 88 anos, internadodesde a noite desta quarta-feira (25),segue em repouso absoluto em um hospital particular dePalmas. O médico responsável pelo tratamento dele confirmou o diagnóstico de pneumonia, após o resultado de exames. Por orientação médica, ele deve ficar em repouso absoluto por pelo menos 10 dias, sendo que cinco deles serão no hospital. Apesar disso, o ex-governador apresenta melhoras e os sintomas de febre e desidratação foram contidos. Segundo nota enviada à imprensa, Siqueira teve uma noite tranquila, está lúcido, conversando e se alimentando normalmente. EntendaO ex-governador foi internado na noite desta terça-feira, com um quadro de febre e desidratação. Ele não precisou ser internado na UTI. Em 2016,o político ficou internado em uma UTI após um quadro de desidratação. Ele ficou internado por uma semana e foi diagnosticado com pneumonia no pulmão direito. O ex-governador é o autor da emenda de criação do Estado doTocantins. Após a separação do estado, ele se tornou o primeiro governador e criou o projeto de construção de Palmas. No total, exerceu quatro mandatos no governo do Tocantins.  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=PNEUMONIA&p=5&r=1749080684041&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2017%2F01%2Fsiqueira-campos-e-diagnosticado-com-pneumonia-e-segue-internado.html&syn=False&key=befbc8710e27300117a70bb257871cb0
4;Temperatura mais baixa aumenta o risco de pneumonia e gripe;"11/05/2015 10h36- Atualizado em11/05/2015 11h47 Do G1, em São Paulo  A temperatura vai diminuindo e as pessoas vão ficando gripadas. Espirra daqui, tosse de lá. E será que uma gripe mal curada pode virar pneumonia? Como se prevenir? OBem Estardesta segunda-feira (11) falou sobre isso. Participaram do programa a infectologista Rosana Richtmann e o pneumologista Carlos Roberto Carvalho. A gripe não vira pneumonia, mas deixa o corpo mais suscetível. A gripe é causada por vírus e é altamente infectante, por isso se espalha rápido. Já a pneumonia é uma infecção nos pulmões causada por bactéria, na maioria dos casos, a pneumococo. A pneumonia é uma doença grave e, em muitos casos, a internação é necessária. Alguns fatores contribuem para a infecção, como lesão pulmonar por problema cardíaco ou respiratório; doença pulmonar (bronquite, enfisema); asma; exposição constante a ambientes tóxicos e o cigarro.  Gripe e pneumonia têm sintomas bem parecidos. A febre é intermitente nos dois casos, mas na pneumonia ela pode ser mais alta e duradoura. A dor no peito ocorre porque a pessoa tosse muito, nos dois casos. A diferença está no catarro: na pneumonia ele é mais espesso e colorido (acinzentado, esverdeado ou amarelado), na gripe ele é mais líquido e transparente. E será que a temperatura mais baixa ajuda o vírus da gripe? “É uma época que os vírus gostam de circular. Eles vão de pessoa para pessoa com mais facilidade. O individuo tá resfriado, espirra na mão, se apoia no metrô. Vem outra pessoa, pega aquela secreção, coça o olho e pronto: o vírus já entrou no organismo”, explica o pneumologista Roberto Stirbulov. Por isso, uma dica de ouro e simples: lave sempre as mãos e evite colocar as mãos em contato com as mucosas.       Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=PNEUMONIA&p=6&r=1749080684044&u=https%3A%2F%2Fg1.globo.com%2Fbemestar%2Fnoticia%2F2015%2F05%2Ftemperatura-mais-baixa-aumenta-o-risco-de-pneumonia-e-gripe.html&syn=False&key=d3413a6129b277f2340b0082f3cee56c
5;Haitiana que morreu com pneumonia é enterrada em Rio Branco;"06/05/2015 15h32- Atualizado em06/05/2015 15h32 Caio FulgêncioDo G1 AC A haitiana Milourde Rigueur, de 27 anos,morta por pneumoniana segunda-feira (4), em Rio Branco, foi enterrada também na capital, ainda na terça-feira (5). De acordo com o secretário de Justiça e Direitos Humanos, Nilson Mourão, a decisão foi tomada após conversa com marido da vítima, que mora na República Dominicana, que autorizou o enterro. ""Fizemos contato tanto com o marido, na República Dominicana, quanto com a embaixada, que nos informou que não faz o translado. Os familiares informaram que não tinham condições de levar o corpo. Como estava se decompondo na funerária, decidimos fazer o sepultamento. Se tivéssemos esperado, não tinha mais a menor possibilidade, já estaria totalmente decomposto"", disse. Inicialmente, o governo do estado havia informado à imprensa que a causa da morte de Milourde seria tuberculose. No entanto, ainda na tarde da terça-feira, o estado voltou atrás e disse que a imigrante estava doente de pneumonia. Segundo a administração do cemitério, o túmulo deve receber uma lápide nos próximos dez dias. Entenda o casoA haitiana chegou ao estado no dia 24 de abril deste ano e, segundo a Sejudh, já havia viajado com a doença. A morte ocorreu no Hospital de Urgência e Emergência deRio Branco(Huerb) na segunda-feira (4). Milourde chegou a receber atendimento duas vezes na Unidade de Pronto Atendimento do bairro Sobral. AoG1, o haitiano Charles Jean-Rifim, de 37 anos, que conviveu com Milourde, disse que ela reclamava constantemente de dores no estômago e tomava remédio para diabetes. ""Ela sofria de diabetes. Quando comia, sentia-se muito mal do estômago e também tinha dores de cabeça. Ela reclamava de dor. Foi quando ela foi para o segundo médico e morreu"", disse. O abrigo da capital, atualmente, está com mais de 850 imigrantes. De acordo com Nilson Mourão, da Sejudh, o local está oferecendo serviços cada vez mais precários e que o processo de transferência da gestão do local para o governo federal está em andamento, mas que não há nenhuma data definida. ""Não vamos deixar de receber ou ajudar os imigrantes. Os serviços são precários, mas fazemos tudo que podemos. Estamos trabalhando o processo de transição através da Casa Civil com um técnico do Ministério da Justiça e foram iniciadas as discussões sobre como será feito esse processo. Mas é preciso destacar que não existe nenhuma data definida. Esse é um processo muito delicado e vamos continuar com os serviços no abrigo"", explicou. Mourão destaca ainda que novos estrangeiros chegam ao Acre todos os dias através da fronteira do Peru com a cidade de Assis Brasil, distante 342 km da capital. De acordo com o governo do estado, desde 2010, mais de 32 mil imigrantes entraram no Brasil pelo Acre. Colaborou Priscilla Andrade, da Rede Amazônica no Acre. ";https://g1.globo.com/busca/click?q=PNEUMONIA&p=7&r=1749080684049&u=https%3A%2F%2Fg1.globo.com%2Fac%2Facre%2Fnoticia%2F2015%2F05%2Fhaitiana-que-morreu-com-pneumonia-e-enterrada-em-rio-branco.html&syn=False&key=55e3996a46514e37435e55499850303e
6;Morrissey é hospitalizado com pneumonia e cancela show;"11/03/2013 12h15- Atualizado em11/03/2013 12h20 Do G1, em São Paulo Morrisseyvoltou a adiar show nos Estados Unidos por causa de problemas de saúde. O cantor britânico foi internado com pneumonia, que afetou seus dois pulmões. A informação está no site de fãs True to you, que divulga os comunicados oficiais do ex-líder do Smiths. Por causa da internação, ele cancelou o show que faria em San Francisco. ""Morrissey está sendo tratado por causa de uma 'dupla pneumonia' em San Francisco, mas continua confirmado no festival Vive Latino, na Cidade do México, em 14 de março"", diz o comunicado. O cantor já havia sido internado em fevereiro, com suspeita de ter infecção na bexiga e diagnosticado com uma úlcera hemorrágica. Morrissey também adiou, por conta do problema de saúde, uma apresentação que faria em janeiro. O cantor havia cancelado, no fim de 2012, uma longa turnê que faria pelos Estados Unidos, porque sua mãe estava doente. ""Years of refusal"", lançado em fevereiro de 2009, é o nono e o mais recente trabalho solo do vocalista britânico de 53 anos.O cantor esteve no Brasil pela última vez em 2012. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=PNEUMONIA&p=8&r=1749080684054&u=https%3A%2F%2Fg1.globo.com%2Fmusica%2Fnoticia%2F2013%2F03%2Fmorrissey-e-hospitalizado-com-pneumonia-e-cancela-show.html&syn=False&key=fa38ee997350c9731bc9e7336d37500f
7;Internado com pneumonia e desidratação, Niemeyer apresenta melhora;04/05/2012 12h45- Atualizado em04/05/2012 12h45 Agencia EFE Rio de Janeiro, 4 mai (EFE).- O arquiteto brasileiro Oscar Niemeyer, internado há dois dias com sintomas de pneumonia e desidratação, apresentou uma melhora em seu estado de saúde, informaram nesta sexta-feira fontes médicas. Após realizar uma visita ao paciente, o médico Fernando Gjorup disse que constatou melhoras no quadro clínico de Niemeyer. 'Ele continua recebendo tratamento com antibióticos intravenosos e soro', informou o último boletim médico. O arquiteto ingressou no hospital Samaritano do Rio de Janeiro na noite da última quarta-feira. Niemeyer, de 104 anos, 'está lúcido' e respira sem precisar de aparelhos, disse o comunicado. A nota ainda informou que não serão divulgados novos boletins até a próxima segunda-feira. Em abril de 2010, Niemeyer foi internado pela última vez por causa de uma infecção urinária e permaneceu por doze dias no hospital. EFE Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=PNEUMONIA&p=9&r=1749080684056&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2012%2F05%2Finternado-com-pneumonia-e-desidratacao-niemeyer-apresenta-melhora.html&syn=False&key=e6705224ab9a6ec3d82c1c825d9189c5
8;Oscar Niemeyer está com pneumonia e desidratado, diz hospital;03/05/2012 13h19- Atualizado em03/05/2012 13h19 Do G1 RJ O arquitetoOscar Niemeyer,de 104 anos, deu entrada no Hospital Samaritano, em Botafogo, na Zona Sul do Rio, com um quadro de pneumonia e desidratação, segundo informou boletim divulgado nesta quinta-feira (3). Niemeyer está internado desde quarta-feira (2) e seu estado clínico é considerado estável, mas inspira cuidados, segundo o médico Fernando Gjorup. O arquiteto está na Unidade Intermediária (UI) e recebe tratamento com antibiótico venoso e soro. Ele está lúcido e respira sem a ajuda de aparelhos. O novo boletim sobre o estado de saúde do paciente deve ser divulgado na sexta-feira (4). Em abril de 2011, o arquiteto passou 12 dias internado também no Samaritano, por causa de uma infecção urinária.   Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=PNEUMONIA&p=10&r=1749080684061&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2012%2F05%2Foscar-niemeyer-esta-com-pneumonia-e-desidratado-diz-hospital.html&syn=False&key=271ffac5722d6de8cf6b72201b050418
9;Reginaldo Faria tem leve pneumonia e segue internado, diz hospital;"27/08/2013 13h24- Atualizado em27/08/2013 13h24 Do G1 Rio O ator Reginaldo Faria foi diagnosticado com leve pneumonia na manhã desta terça-feira (27). Ele deu entrada no Hospital Pró-Cardíaco, em Botafogo, Zona Sul do Rio, por volta das 10h30. Segundo a assessoria de imprensa do hospital, o ator continua no setor de emergência e deve permanecer para cuidados. Ele está acompanhado da mulher Vânia Dotto. O ator está escalado para a nova novela das 18h, Joia Rara. Reginaldo Faria dá vida ao personagem Venceslau. Reginaldo Faria é pai do também ator Marcelo Faria. Ação visa proteger os consumidores de produtos ilegais, diz delegada.
Operação aconteceu no Mercadão de Madureira. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=PNEUMONIA&p=11&r=1749080684066&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2013%2F08%2Freginaldo-faria-tem-leve-pneumonia-e-segue-internado-diz-hospital.html&syn=False&key=68019497e9f81c65f635eec6d607b4bd
