;Titulo;Corpo;Link
0;'É uma bactéria de difícil tratamento', diz médico sobre superbactéria;"Edição do dia 17/09/2013 17/09/2013 17h33- Atualizado em17/09/2013 18h13 Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. Uma bactéria altamente resistente a antibióticos foi encontrada na unidade de internação do Instituto de Hematologia Arthur de Siqueira Cavalcanti (Hemorio), noRio de Janeiro. O hospital não chegou a fechar nenhuma ala, mas teve que reduzir internações por causa de medidas de segurança adotadas. A super-bactéria foi detectada pela primeira vez no Brasil em abril, noRio Grande do Sul. Segundo o médico Hélio Magarinos Torres Filho, membro da Sociedade Brasileira de Patologia Clínica do Rio de Janeiro, pessoas com imunidade reduzida, doenças crônicas ou em tratamento hospitalar fazem parte do grupo de risco. Ele apontou o uso correto de antibióticos como uma das medidas de prevenção. “As pessoas saudáveis podem ter contato com a bactéria e, eventualmente, ter essa bactéria presente na pele ou no organismo, mas ela não causa nenhum problema a essas pessoas. Se você adoecer, ela pode passar a agir. É uma bactéria de difícil tratamento porque tem uma resistência mais ampla a determinados antibióticos"", explicou Hélio Magarinos. Em nota, a Secretaria deSaúdedo Estado do Rio de Janeiro declarou que nenhum dos três pacientes detectados com a bactéria foi infectado. A nota diz ainda que a vigilância estadual, em parceria com a Agência Nacional de Vigilância em Saúde (Anvisa) está rastreando todas as unidades por onde passaram os pacientes. A direção do Hemorio esclarece que as internações na ala hospitalar do instituto não estão suspensas e que todas as medidas de controle já foram tomadas. Por meio do Disque-Sangue (0800-2820708) é possível esclarecer dúvidas e agendar horários para doações de sangue. Eles haviam sido presos no dia 11 de dezembro, em operação da PF.
Investigação apura desvios de R$ 200 milhões em obras da transposição. Pesquisa mostra que estado foi 10º estado em apoio à produção de filmes.
Dados, referentes a 2014, foram divulgados nesta segunda-feira (14). ";https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=1&r=1749151179790&u=https%3A%2F%2Fg1.globo.com%2Fglobo-news%2Fnoticia%2F2013%2F09%2Fbacteria-super-resistente-e-encontrada-em-unidade-do-hemorio.html&syn=False&key=e6d592fc702ec7b5bc2a871c997af9ca
1;Bactéria super-resistente já matou 18 pessoas no Distrito Federal;07/10/2010 20h59- Atualizado em07/10/2010 20h59 Do DFTV Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. A Secretaria de Saúde do Distrito Federal registrou, de janeiro até esta quinta-feira (07), 108 casos de infecção e 18 mortes causadas pela bactéria KPC, altamente resistente a antibióticos. O órgão anunciou reforço nas medidas de controle de infecção hospitalar para tentar conter a “superbactéria”. Veja o site do DFTVPara evitar a transmissão da bactérias, profissionais da secretaria visitam os hospitais para lembrar que a higiene é a forma mais eficaz de evitar a infeccção. A secretária de Saúde, Fabíola Aguiar, disse que os hospitais possuem materiais de higiene para conter a disseminação da bactéria. “Lavar as mãos sempre. Usar álcool em gel, com cuidado, observando todas as áreas da mão, que podem, eventualmente, ficar sujas. Usar equipamentos individuais que constituem barreiras como as luvas, máscara”, disse a secretária ao enumerar as condições para evitar o contágio. No Distrito Federal, o maior número de pacientes com a “superbactéria” foi registrado no Hospital de Santa Maria (região administrativa a 45 km de Brasília). Segundo a Secretaria de Saúde, no ano foram registardos 58 casos e 4 mortes no hospital devido à infecção pelo micro-organismo. ;https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=2&r=1749151179792&u=https%3A%2F%2Fg1.globo.com%2Fbrasil%2Fnoticia%2F2010%2F10%2Fbacteria-super-resistente-ja-matou-18-pessoas-no-distrito-federal.html&syn=False&key=ecf7d08fe8fba2a95368544e7e657a6f
2;Três pacientes estão isolados em hospital com bactéria super-resistente;"24/07/2014 16h17- Atualizado em24/07/2014 16h30 Do G1 SC O Hospital Municipal São José em Joinville, no Norte catarinense, confirmou nesta quarta-feira (24) a contaminação de três pacientes pela enzima KPC, formada por genes de bactérias que são resistentes a antibióticos. A KPC quebra o efeito de medicamentos no organismo e exige o isolamento dos internos, já que é transmitida pelo contato. Eles estão em observação. Segundo o médico infectologista Fabio Gaudenzi de Faria, da Secretaria de Estado de Saúde, a tendência da transmissão é em ambientes hospitalares. ""A superexposição e o uso abusivo de antibióticos cria resistências no organismo e causa a própria anulação dos efeitos dos medicamentos"", afirma. O médico reforça que pessoas que já se encontram debilitadas, como as que passaram por cirurgias, têm maior tendência a sofrer o efeito da KPC. ""Geralmente ela se instala em local já afetado por outras doenças. O agravamento pode causar infecções como pneumonia, sepsis (infecção generalizada na corrente sanguínea) e doença no trato urinário"", afirma. O médico alega que o risco de óbito é maior com a enzima.  A direção do hospital relatou que os pacientes estão isolados, recebendo medicamentos e estão sob controle da equipe médica. O Hospital Municipal São José informou em nota que, através de sua Comissão de Controle de Infecção Hospitalar (CCIH), realiza cotidianamente exames e inspeções por toda a unidade para prevenir e identificar micro-organismos resistentes, como infecções hospitalares ou comunitárias. Apesar disso, segundo a instituição, como qualquer hospital, esses micro-organismos não estão completamente extinguidos das rotinas de trabalho. Faria reforça que hábitos de higiene simples evitam a transmissão da bactéria. ""Ela é carregada pelas mãos. É uma bactéria que não fica no ar. Precisa ser levada de uma pessoa a outra. Por isso o hábito de higiene é a solução para a prevenção da retransmissão"", esclarece. A KPC foi identificada no final dos anos 1990 e teve o primeiro caso computado no Brasil em 2006. Em 2010, médicos identificaram a enzima em Santa Catarina. A análise para a detecção do gene que codifica a enzima é feita no Rio de Janeiro, no Laboratório Fiocruz.  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=3&r=1749151179793&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fnoticia%2F2014%2F07%2Ftres-pacientes-estao-isolados-em-hospital-com-bateria-super-resistentes.html&syn=False&key=dc52b1381e843429d9402bba0b082e1e
3;Título não encontrado;"Por BBC 24/11/2016 09h49Atualizadohá 8 anos As bactérias canibais - que se alimentam de outros microorganismos de sua mesma espécie - podem ser uma nova arma para combater as superbactérias, afirmam pesquisadores britânicos. A Bdellovibrio pode se alimentar de outras espécies de bactérias — Foto: BBC Experimentos indicaram que uma dose de Bdellovibrio bacteriovorus (o nome científico da bactéria canibal) é capaz de agir como um ""antibiótico vivo"" que ajuda a curar uma infecção letal. A Bdellovibrio se mostrou capaz de matar uma série de bactérias, incluindo a E. coli e a Salmonella. Segundo um estudo publicado no jornal Current Biology, não há efeitos colaterais. Especialistas dizem que a estratégia é inusitada, mas não deve ser subestimada. O medo de um ""apocalipse de antibióticos"" causado por níveis cada vez maiores de resistência das bactérias a medicamentos levou cientistas a tentar novas abordagens, como o uso da Bdellovibrio, por exemplo. Dose mortalA Bdellovibrio é uma bactéria de rápida locomoção que se infiltra em outras bactérias e devora o interior de suas hospedeiras. Depois de se alimentar, a bactéria canibal se replica e explode o seu hospedeiro, que é morto. Um time de pesquisadores das universidades de Nottingham e Imperial College London tentaram usar a Bdellovibrio bacteriovorus para acabar com uma causa comum de infecção alimentar, a Shigella. A bactéria Shigella adoece 160 milhões de pessoas todos os anos e mais de um milhão acabam morrendo como consequência, a maioria infectados por alimentos contaminados. Testes realizados em laboratório apontaram que o número de Shigella diminuiu em cerca de 99,9% após a ação das bactérias canibais. Outros experimentos, realizados com larvas de peixe, mostraram que uma dose mortal de superbactérias eliminou 75% das larvas em três dias. Porém, quando as larvas também foram infectadas com as bactérias canibais, 60% delas sobreviveram, ou seja, apenas 40% foram eliminadas. ""Definitivamente é uma abordagem criativa e o que há de mais especial é a incapacidade da hospedeira desenvolver uma resistência"", disse à BBC Serge Mostowy, pesquisador da Imperial College London. ""É um marco importante na pesquisa do uso de antibióticos vivos que podem ser usados tanto em animais quanto humanos"", acrescentou. 'Ameaça iminente'No entanto, os pesquisadores acreditam que a Bdellovibrio pode ser mais útil no tratamento de feridas infeccionadas do que nas bactérias que se espalham pelo corpo, já que as canibais podem ser facilmente injetadas no local do ferimento. Os pesquisadores perceberam que as bactérias canibais trabalham melhor quando agem em conjunto com o sistema de imunidade dos peixes. ""Parece que os agentes infecciosos estão poupando o sistema imune, mas quando a Bdellovibrio está lá, ela libera partes da Shigella, o que dá um alerta extra de ameaça aos peixes"", diz Liz Sockett, pesquisadora da Universidade de Nottingham. De acordo com os pesquisadores, não há sinais de efeitos colaterais e os peixes demonstraram tolerância a altos níveis de Bdellovibrio. Há bactérias canibais vivendo naturalmente em nossos corpos, encontradas por outros pesquisadores. ""Pode ser incomum usar uma bactéria para se ver livre de outras, mas diante da ameaça iminente de infecções resistentes a medicamentos, o potencial das interações entre bactérias e animais não deve ser ignorado"", afirmou Michael Chew, médico membro da fundação de investigação biomédica Wellcome Trust. ""Nós estamos cada vez mais dependentes de antibióticos de última linha e esse estudo inovador demonstra como bactérias predatórias podem ser uma nova e importante ferramenta na luta contra a resistência a medicamentos"", disse. Contudo, ainda são necessários mais testes de segurança antes de testar a Bdellovibrio como tratamento em humanos. Veja também     Interpol inclui Zambelli na lista de procurados após ordem de Moraes Brasil tem 4 restaurantes entre os melhores do mundo; conheça 'Pra fazer R$ 100, tenho que rodar 10 horas': a dura rotina dos motoboys Carla Zambelli: como youtuber descobriu localização da deputada nos EUA a partir de um vídeo Criador de conteúdo analisou vídeo da parlamentar, feito em rua não identificada, para determinar coordenadas geográficas exatas de onde ele foi gravado. Zambelli foi para a Flórida após ser condenada a 10 anos de prisão no Brasil. Trump afirma em rede social que Putin irá responder a ataque de drones da Ucrânia, apaga e depois reposta Ataque surpresa da Ucrânia no final de semana utilizou drones escondidos contra aviões de guerra estacionados em bases russas. VÍDEO: Ucrânia divulga imagens inéditas de ataque surpresa de drones a aviões de guerra da Rússia Ucrânia escondeu drones em contêineres e os levou de caminhão para perto das bases aéreas, atingindo parte da artilharia aérea russa de longo alcance. Quem é Vasyl Malyuk, o arquiteto ucraniano dos ataques que em dois dias humilharam Putin O poderoso chefe do Serviço de Segurança da Ucrânia planejou e executou a operação Teia de Aranha e a explosão da Ponte da Crimeia. 2 min 'Guardiã de mundo perdido': a sucuri gigante que vive isolada em buraco milenar de MS; veja vídeo Especialistas explicam que a chegada da cobra ao Buraco das Araras, em Jardim (MS), é um mistério. O primeiro avistamento da sucuri foi feito em 2017, quando um turista viu a cobra por um binóculo. ";https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=4&r=1749151179796&u=https%3A%2F%2Fg1.globo.com%2Fciencia-e-saude%2Fnoticia%2Fpesquisadores-apostam-em-bacteria-canibal-para-combater-superbacterias-resistentes-a-antibioticos.ghtml&syn=False&key=ba065b56e8aaad684a0a5331db79a2eb
4;Título não encontrado;"fique pordentro Por BBC 09/04/2019 08h28Atualizadohá 6 anos Os tubarões são vistos com facilidade nas praias da ilha de Fernando de Noronha — Foto: Léo Veras/Instituto Tubarões de Noronha Versões sintéticas de pele de tubarão estão sendo desenvolvidas para serem usadas, no futuro, em hospitais – o objetivo é reduzir as infecções bacterianas. A pele do tubarão é composta por milhões de pequenas escamas em forma de V chamadas de dentículos dérmicos. Pesquisadores reproduziram a textura desses dentículos para produzir superfícies resistentes a bactérias.   Inicialmente, o material foi idealizado para reduzir o acúmulo de micro-organismos marinhos no casco de embarcações. Mas agora os cientistas estão estudando como esta tecnologia – chamada sharklet – pode ser usada em hospitais, onde manter superfícies livres de bactérias é uma questão importante. Atualmente, ligas de cobre são usadas com este objetivo em alguns ambientes hospitalares. O cobre interfere nos processos celulares de uma variedade de micróbios, se tornando tóxico para algumas bactérias. Mas o material inspirado na pele do tubarão funciona de forma diferente – em primeiro lugar, é mais difícil para as bactérias aderirem a ele. Superfícies que são muito manuseadas – como maçanetas e interruptores de luz – poderiam ser revestidas então com este material. A expectativa é que a medida ajude a reduzir a taxa de infecção por doenças contagiosas, como a provocada pela bactéria Staphylococcus aureus resistente à meticilina, conhecida pela sigla SARM.   A ideia por trás do sharklet surgiu em 2002, quando Anthony Brennan, professor de engenharia e ciência dos materiais da Universidade da Flórida, nos EUA, recebeu um pedido da Marinha americana para pensar em maneiras de impedir a proliferação de incrustações nas embarcações. Este acúmulo de algas era geralmente combatido com tintas anti-incrustantes tóxicas, que custaram à Marinha muito dinheiro e esforço para serem aplicadas nos navios. Ao observar a pele dos tubarões, Brennan notou uma ""estrutura parecida com a de um diamante com pequenas costeletas"". Essa estrutura requer mais energia das bactérias para se agarrarem à superfície, de modo que é mais provável que elas colonizem outros lugares ou morram. Esse tipo de tecnologia, inspirada na natureza e no reino animal, é conhecida como biomimética. Outros exemplos incluem o design de uma agulha cirúrgica indolor inspirado na mandíbula dos mosquitos e como um tipo de pulga pode ser a chave para melhorar o transporte de órgãos para transplantes - e armazenar sorvete. Um dos casos mais conhecidos é do pássaro martim-pescador e do trem-bala no Japão, que fazia um barulho alto ao passar pelos túneis. Parte dianteira do trem-bala é inspirada no bico do martim-pescador — Foto: 12019/Creative Commons O ruído perturbava a vida selvagem, deixava os passageiros desconfortáveis ​​e acordava a vizinhança. Mas, graças ao hobby do engenheiro Eiji Nakatsu, um ávido observador de pássaros, o problema foi resolvido. Ele se inspirou no martim-pescador, que consegue mergulhar em alta velocidade na água sem espirrar líquido. O segredo está na forma aerodinâmica do seu bico. A parte dianteira do trem-bala foi inspirada então no bico do pássaro, ajudando a reduzir a resistência do ar e permitindo que ele viajasse de forma mais silenciosa e eficiente pelos túneis. Trem-bala fazia muito barulho ao sair dos túneis, o que era problema em zonas habitadas — Foto: motihada/Creative Commons Veja também  Bom Dia SP Engenheiro é vítima de latrocínio no Jd. Paulistano, Zona Sul de São Paulo O engenheiro Francisco Filippo, de 58 anos, foi morto durante um assalto na casa dele, na rua Henrique Martins. Ao menos quatro ladrões entraram de carro pela garagem da mansão por volta das 19h20 usando um controle clonado do portão. Eles chegaram logo após o engenheiro entrar em casa. 5 de jun de 2025 às 06:41 1 min ";https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=5&r=1749151179801&u=https%3A%2F%2Fg1.globo.com%2Fciencia-e-saude%2Fnoticia%2F2019%2F04%2F09%2Fcomo-tubaroes-podem-nos-ajudar-a-combater-bacterias-super-resistentes.ghtml&syn=False&key=8deb3227f6b26cef146ef6a0e382b179
5;Cientistas encontram forma de combater bactérias super-resistentes;"Edição do dia 10/12/2010 10/12/2010 21h53- Atualizado em10/12/2010 22h15 Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. O Hospital das Clínicas de São Paulo anunciou nesta sexta-feira uma descoberta que promete destruir um inimigo microscópico, mas poderoso. Os cientistas encontraram uma forma de combater a superbactéria KPC, que provocou a morte de 18 pessoas em Brasília este ano. Uma pequena ferida e a aposentada Maria D’Aparecida Souza quase perdeu a perna. Infecção, dores, mais de um ano com pomadas, sem sucesso. A cura só veio com um tratamento que usa gás ozônio. Ele elimina as bactérias e ajuda a cicatrização. “Doía muito. Depois foi sarando de dentro pra fora”, conta a aposentada. Os médicos sabem que o ozônio mata bactérias desde o início do século passado. É um tratamento usado em vários países. Agora, o Hospital das Clínicas de São Paulo investigou se esta técnica funciona com as bactérias super-resistentes, que os antibióticos não conseguem destruir e que provocam mortes por infecção hospitalar. O resultado dessa pesquisa pode salvar vidas. Dez bactérias foram testadas. As amostras divididas em três grupos: o primeiro foi exposto ao ozônio por cinco minutos; o segundo, a oxigênio; o terceiro grupo não teve nenhum tratamento. No dia seguinte, as bactérias tinham se multiplicado nos dois últimos vidros. No que foi tratado com ozônio, nenhum sinal. O último teste foi feito com a KPC, que ganhou o apelido de superbactéria por ter se mostrado imune aos antibióticos mais potentes. A amostra que recebeu o ozônio também ficou limpa. O coordenador da pesquisa explica que as moléculas do ozônio corroem a parede externa das bactérias e elas são rapidamente destruídas. O gás pode ser usado na pele ou injetado no corpo do paciente. A próxima etapa do estudo vai investigar se a vaporização de ozônio no ambiente, no centro cirúrgico ou em uma UTI, por exemplo, também elimina as bactérias. “O equipamento é muito barato e você usa a área ambiente como matéria-prima. Então não tem gasto. Pode modificar completamente o cenário do controle das bactérias hospitalares de uma maneira simples, de uma maneira barata e acessível em qualquer hospital do país”, explica o coordenador do estudo, Glaucus de Souza Brito. ";https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=6&r=1749151179803&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2010%2F12%2Fcientistas-encontram-forma-de-combater-bacterias-super-resistentes.html&syn=False&key=0c27c30aead1e0a1f476bbe649426dfb
6;Título não encontrado;"Por Laila Magesk, Gazeta Online 03/04/2017 11h48Atualizadohá 8 anos Uma adolescente que completaria 15 anos nesta segunda-feira (3) morreu após contrair uma bactéria resistente a medicamentos um dia antes do aniversário. Lara Furno estava internada desde a noite de quinta-feira (30) no Hospital da Unimed Vitória e morreu às 2h50 deste domingo (2), depois de ter uma parada cardíaca, segundo um dos irmãos dela, o estudante de Medicina Felipe Furno Frinhani. Ele relatou ao Gazeta Online como tudo aconteceu. ""Trata-se de uma bactéria muito resistente, que se chama Staphylococcus Aureus Resistente à Meticilina (MRSA é a sigla em inglês). Ela é de contaminação comunitária. Está na rua. Não é um surto. É azar mesmo. É uma bactéria muito resistente, que atinge principalmente vias aéreas e vai se disseminando pelo corpo e causa um choque séptico (sepsemia). E por causa disso ela faleceu."" Lara Furno faleceu por causa de bactéria super-resistente — Foto: Reprodução/ Facebook Felipe conta que a irmã começou a se sentir mal na semana passada, mas a família ainda não sabe se esse episódio tem ligação com a morte da estudante. ""No domingo (26), ela estava com dificuldade de respirar. Na Unimed ela foi diagnosticada com rinite. Voltou para a casa e apresentou melhora parcial."" Na madrugada de quarta para quinta-feira a adolescente não conseguia respirar e teve que voltar para o hospital. ""A médica deu diagnóstico de bronquite e mandou ela embora para casa de novo"", lembra o irmão. Na quinta pela manhã Lara foi para a aula no Centro Educacional Primeiro Mundo, em Vitória. ""Lá, ela passou mal, e meu pai foi buscá-la. Ficou em casa o dia inteiro. Quando eu cheguei à noite da faculdade, vi que a Lara estava com a frequência e batimentos cardíacos acelerados. Ela começou a ficar com as pontas dos dedos roxos, porque não conseguia oxigenar. Fomos correndo com ela para a Unimed. Os médicos já a entubaram e sedaram. O caso era muito grave."" Ainda segundo o irmão, quando se tem uma infecção desse porte, a pessoa começa a desenvolver uma infecção generalizada. ""Essa infecção causa consequências no corpo inteiro. Entre elas, insuficiência renal. O rim começa a parar. Dentre as complicações, ela teve duas paradas cardíacas. Uma sábado às 23h, e outra no domingo, por volta das 2h50, quando ela faleceu."" Sobre uma possível suspeita de H1N1, Felipe explica que um infectologista sugeriu que os médicos fizessem também a cobertura de medicamentos para a doença. Mas após um exame de sangue (hemocultura), realizado neste domingo, já se sabe que a bactéria não tem relação com o vírus H1N1. ""A família não pediu para fazer necropsia e nenhum exame para saber se era H1N1, porque já saiu o resultado da bactéria."" Felipe conta que a mãe deles, muito abalada, chegou a dar entrada no hospital após a morte de Lara. Em sua página no Facebook, o irmão comunicou a perda e fez uma homenagem à Lara. Em sua página no Facebook, o irmão comunicou a perda e fez uma homenagem à Lara — Foto: Reprodução/ Facebook   Em nota, a Unimed Vitória informou que a paciente deu entrada no pronto-socorro do Hospital Unimed na madrugada do dia 31 em estado grave, sendo encaminhada para Unidade de Terapia Intensiva. A equipe deu toda assistência necessária para o quadro apresentado pela paciente, que morreu na madrugada deste domingo. Em relação aos exames realizados na paciente, a Unimed Vitória informa que foram encaminhados para o Laboratório Central (LACEN) e não tem ainda previsão para entrega dos resultados, que só poderão ser divulgados com a autorização da família. Veja também     Interpol inclui Zambelli na lista de procurados após ordem de Moraes Brasil tem 4 restaurantes entre os melhores do mundo; conheça 'Pra fazer R$ 100, tenho que rodar 10 horas': a dura rotina dos motoboys Carla Zambelli: como youtuber descobriu localização da deputada nos EUA a partir de um vídeo Criador de conteúdo analisou vídeo da parlamentar, feito em rua não identificada, para determinar coordenadas geográficas exatas de onde ele foi gravado. Zambelli foi para a Flórida após ser condenada a 10 anos de prisão no Brasil. Dono de construtora é morto em assalto dentro de casa no Jardim Paulista, bairro nobre de SP Ao menos quatro ladrões entraram de carro pela garagem da residência por volta das 19h20 usando um controle clonado do portão. Vítima foi morta com tiro na nuca. Eleição 2026: Lula empata com Bolsonaro, Tarcísio, Ratinho Jr., Michelle e Eduardo Leite em eventual 2º turno, diz Quaest Presidente e ex-presidente têm 41% das intenções de voto. Na pesquisa anterior, divulgada em abril, Lula (PT) vencia todos os outros concorrentes e empatava somente com Jair Bolsonaro (PL). Rejeição do petista oscila para cima e segue semelhante à do antecessor. Vídeo mostra como foi o resgate do corpo do empresário encontrado em buraco no Autódromo de Interlagos Adalberto Amarilio dos Santos Junior, de 35 anos, foi localizado quatro dias após desaparecimento. Ele foi retirado do buraco sem calça nem tênis, não tinha marcas aparentes de agressão nem de sangue. Segundo polícia, principal hipótese é que ele tenha sido colocado no local já sem vida. 'É um pesadelo sem respostas', diz mulher de empresário encontrado morto dentro de buraco no Autódromo de Interlagos Adalberto Amarilio dos Santos Junior, de 35 anos, desapareceu na sexta (30) após participar de um evento sobre motos. Polícia investiga o caso como morte suspeita. ";https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=7&r=1749151179811&u=https%3A%2F%2Fg1.globo.com%2Fespirito-santo%2Fnoticia%2Fbacteria-super-resistente-mata-estudante-em-vitoria-na-vespera-de-fazer-15-anos.ghtml&syn=False&key=3c2f1a8d01a531e31f6900be389a0f50
7;Título não encontrado;fique pordentro Por A Gazeta 04/04/2017 11h34Atualizadohá 8 anos Alunos de reúnem em escola e homenageiam adolescente — Foto: Reprodução/ Facebook Amorte repentina da adolescente Lara Furno, de 14 anos, após contrair uma bactéria resistente a medicamentos, surpreendeu amigos e familiares. Desde então, pessoas próximas começaram a prestar diversas homenagens à menina nas redes sociais. Uma delas é um vídeo publicado na página do Facebook do grupo Encontro de Adolescentes com Cristo São Francisco (EAC), de Jardim da Penha, Vitória, do qual ela fazia parte. Até a noite desta segunda-feira (3), a publicação tinha 890 compartilhamentos e 78 mil visualizações. Na gravação, fotos com amigos da estudante e ela cantando a música Trem-bala, de Ana Vilela. Um trecho da canção diz: “Que a vida é trem-bala, parceiro, e a gente é só passageiro prestes a partir”. ColégioO Colégio Sagrado Coração de Maria, em Vitória, onde a menina estudou por quatro anos, também prestou homenagem. No Facebook, a escola publicou uma foto com alunos reunidos e um texto de despedida. “Durante quatro anos de vivência acadêmia, Lara Furno fez parte do grupo de alunos do Colégio Sagrado Coração de Maria de Vitória. Hoje, amanhecemos com uma profunda tristeza, mas com a certeza de que mais uma linda estrela brilhará no céu”, diz parte do texto. Atualmente, Lara estudava no Centro Educacional Primeiro Mundo, na capital. Na página da jovem no Facebook, muitos amigos deixaram mensagens, publicaram fotos e se despediram da estudante. Lara Furno faleceu por causa de bactéria super-resistente — Foto: Reproduçã/Facebook Bactéria super-resistente mata estudante na véspera de aniversário de 15 anos Bactéria que matou adolescente no ES pode levar a óbito em poucos dias, diz infectologista Veja também  Bom Dia SP Engenheiro é vítima de latrocínio no Jd. Paulistano, Zona Sul de São Paulo O engenheiro Francisco Filippo, de 58 anos, foi morto durante um assalto na casa dele, na rua Henrique Martins. Ao menos quatro ladrões entraram de carro pela garagem da mansão por volta das 19h20 usando um controle clonado do portão. Eles chegaram logo após o engenheiro entrar em casa. 5 de jun de 2025 às 06:41 1 min ;https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=8&r=1749151179816&u=https%3A%2F%2Fg1.globo.com%2Fespirito-santo%2Fnoticia%2Famigos-e-escola-fazem-homenagem-a-adolescente-morta-por-bacteria-super-resistente-no-es.ghtml&syn=False&key=d72e829c9a59ad4908145a4dac5911d9
8;Confirmadas 2 mortes por bactéria super-resistente em Foz do Iguaçu;14/09/2012 14h45- Atualizado em14/09/2012 16h09 Do G1 PR, com  informações da RPC TV Foz do Iguaçu  Resultados de exames feitos no Laboratório Central do Estado do Paraná (Lacen) comprovaram que duas pessoas morreram contaminadas pela bactéria KPC (Klebsiella pneumoniae carbapenemase), conhecida como superbactéria, emFoz do Iguaçu, no oeste doParaná. As vítimas morreram no Hospital Municipal da cidade. A KPC preocupa os profissionais de saúde porque é resistente ao tratamento com antibióticos.Na manhã desta sexta-feira (14), o diretor técnico do Hospital Municipal de Foz do Iguaçu, André Rico disse que não há como saber onde as vítimas foram contaminadas.“O primeiro caso que chegou até nós foi detectado [como da super bactéria] já na chegada. Mas é uma situação que nós vamos ter que conviver. Por mais que a gente controle essa infecção aqui dentro do hospital, eu tenho o risco de ver um paciente que esteve internado em outro município, ou no Paraguai, chegando aqui e não tenho como saber se esse doente chega com a bactéria ou não”, explicou.Além das duas mortes, foram confirmados outros quatro casos de pessoas contaminadas que estão internadas.Para ler mais notícias do G1 Paraná, clique emg1.globo.com/parana. Siga também o G1 Paraná noTwittere noRSS. ;https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=9&r=1749151179818&u=https%3A%2F%2Fg1.globo.com%2Fparana%2Fnoticia%2F2012%2F09%2Fconfirmadas-2-mortes-por-bacteria-super-resistente-em-foz-do-iguacu.html&syn=False&key=89300eb24b130a15d4427992b4767a4f
9;Bactérias super-resistentes matam duas crianças em UTI de Porto Velho;15/10/2013 09h53- Atualizado em15/10/2013 16h33 Do G1 RO  Bactérias super-resistentes provocaram a morte de duas crianças na Unidade da Terapia Intensiva (UTI) pediátrica do Hospital de Base Ary Pinheiro, emPorto Velho, durante o mês de setembro. A unidade foi interditada para medidas sanitárias preventivas e transferida para o Hospital Infantil Cosme e Damião. De acordo com o secretário de estado da Saúde, Williames Pimentel, não há motivos para pânico nem preocupação. A Secretaria de Estado da Saúde (Sesau) confirmou a morte de 12 crianças dentro da UTI pediátrica no último mês, com idades entre um e 14 anos, entretanto, de acordo com órgão, a maioria das mortes se deu por complicações no próprio quadro de saúde. Três crianças teriam sido contaminadas por bactérias super-resistentes, levando duas delas ao óbito. Duas bactérias foram identificadas dentro da unidade e ambas apresentam um grau de resistência significativo. “Essas bactérias causam infecção, principalmente em paciente de UTI, isso é uma realidade no mundo inteiro”, afirma a microbiologista Tatiana Silva de Carvalho. Segundo ela, qualquer paciente em tratamento intensivo, principalmente com respiração mecânica, está sujeito a contaminação, independente da idade ou do sexo. De acordo com informações do corpo clínico do hospital, das três crianças contaminadas, duas foram transferidas de unidades particulares da capital e uma do Estado doAcre. Elas têm entre um e quatro anos de vida apresentavam quadros gravíssimos, como lupos e desnutrição. ;https://g1.globo.com/busca/click?q=super+bact%C3%A9ria&p=10&r=1749151179820&u=https%3A%2F%2Fg1.globo.com%2Fro%2Frondonia%2Fnoticia%2F2013%2F10%2Fbacterias-super-resistentes-matam-duas-criancas-em-uti-de-porto-velho.html&syn=False&key=d2bbecb07c20bb51e597b849caab74e0
