;Titulo;Corpo;Link
0;Tire suas dúvidas sobre tuberculose;23/10/2013 09h11- Atualizado em23/10/2013 09h51 Do G1 Rio Quem tem dúvidas a respeito de tuberculose pode enviar seus questionamentos para o médico Luís Fernando Corrêa. O especialista vai responder perguntas sobre o tema no RJTV 1ª edição nesta quarta-feira (23). Deixe sua dúvida na área de comentários, no final desta reportagem. Não esqueça de deixar seu nome e também o bairro onde mora. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=tuberculose&p=1&r=1749010925516&u=https%3A%2F%2Fg1.globo.com%2Frio-de-janeiro%2Fnoticia%2F2013%2F10%2Ftire-suas-duvidas-sobre-tuberculose.html&syn=False&key=f1ace0d7f7a60a824d95ed7dda41dc78
1;Dracena realiza campanha contra tuberculose;"11/11/2013 15h25- Atualizado em11/11/2013 15h25 Vinícius PachecoDo G1 de Presidente Prudente A Vigilância Epidemiológica deDracenarealiza a partir desta segunda-feira (11) nova campanha contra a tuberculose respiratória em todo a cidade. Os agentes comunitárias e de vetores já distribuem panfletos pela cidade e orientam sobre sintomas e formas de tratamento. Segundo a subchefe de notificação de doenças, Cristiane da Silva, quem tiver com tosse por mais de três semanas, febre e suor noturno deve se apresentar ao Centro de Saúde Takashi Enokibara, localizado na rua Espírito Santo, 135, no Bairro Metrópole, para passar por uma triagem. “É importante comparecer ao local para realizar o exame de escarro e identificar a doença. Muitas pessoas não sabem que estão com tuberculose”, afirma. A partir da confirmação, o paciente será orientado e passará por um infectologista para análise do caso. Realizado o exame clínico, começará o tratamento de seis meses com medicamentos. “Depois disso, o doente não transmite mais a tuberculose, o que evita novos casos”, comenta Silva. Em março já foi realizada uma campanha para combater a doença. Esta segunda edição vai até o dia 22 deste mês. Motorista perdeu o controle da direção e veículo caiu em um córrego.
Acidente foi neste domingo (20) em uma estrada vicinal de Dracena. Acidente aconteceu na madrugada deste domingo (20) no Bairro Metrópole.
Motorista do automóvel não sofreu ferimentos. ";https://g1.globo.com/busca/click?q=tuberculose&p=2&r=1749010925517&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpresidente-prudente-regiao%2Fnoticia%2F2013%2F11%2Fdracena-realiza-campanha-contra-tuberculose.html&syn=False&key=4a0b66af45babe3af3b945fd0bf82f6c
2;Vacina contra a tuberculose é oferecida em maternidades;"06/07/2014 11h04- Atualizado em06/07/2014 11h04 Do G1 SE Atualmente, a tuberculose já tem cura. Ela é uma doença contagiosa, transmitida por meio da saliva ou objetos contaminados. Sem diagnóstico ou tratamento adequado, a doença pode causar óbito ou deixar sérias sequelas no paciente. Desde 1976, o Ministério da Saúde adota a obrigatoriedade da vacina para crianças menores de um ano. De acordo com a coordenadora do Programa Municipal de Imunização da Saúde de Aracaju, Débora Moura, a vacina deve ser aplicada em recém-nascidos com peso igual ou superior a dois quilos, ainda na maternidade. “Em Aracaju a BCG é oferecida em todas as maternidades públicas e privadas através do ‘Programa Corujinha’, que é realizado pela Saúde de Aracaju, aplicamos as vacinas diariamente. Este ano já foram aplicadas 852 doses, o que corresponde a 97,33%. Ou seja, já ultrapassamos a meta estimulada pelo Ministério da Saúde que é de 90%”, diz.Débora Moura ainda explica que a vacina não protege contra a tuberculose pulmonar como muitos acreditam. “Ela confere uma imunidade contra as formas graves de tuberculose: a tuberculose visceral, óssea e meningite tuberculosa. A vacina BCG é importante para conferir imunidade nos comunicantes intradomicilares de pacientes com hanseníase, e é contraindicada durante a gravidez e em casos de imunodeficiência congênita ou adquirida”, afirma. Não haverá atendimento externo nos dias 29 e 30 de dezembro.
Case retornará às atividades normais a partir de 04 de janeiro de 2016. Religiosos e voluntários poderão fazer o trabalho de evangelização.
Convênio é entre a Sejuc, o SSP, TJSE e Arquidiocese de Aracaju. ";https://g1.globo.com/busca/click?q=tuberculose&p=3&r=1749010925519&u=https%3A%2F%2Fg1.globo.com%2Fse%2Fsergipe%2Fnoticia%2F2014%2F07%2Fvacina-contra-tuberculose-e-oferecida-em-maternidades.html&syn=False&key=f655d11ac12e354d6d109a4b39ec984d
3;Campanha contra a tuberculose é realizada em Tatuí;"12/03/2014 13h45- Atualizado em12/03/2014 13h48 Do G1 Itapetininga e Região  Até o próximo 24 de março é realizada uma campanha de prevenção e combate à tuberculose emTatuí(SP). Exames gratuitos para o diagnóstico da doença estão disponíveis em todas as unidades de saúde do município. De acordo com a Secretaria de Saúde, a campanha de busca ativa para detecção de novos casos da doença tem o objetivo de atender principalmente as pessoas que têm alguma dificuldade respiratória. Além do chamado exame do escarro, os pacientes recebem também panfletos informativos. Em caso de diagnóstico positivo, o morador será encaminhado para tratamento médico especializado e gratuito. Um dos sintomas da tuberculose é tosse por mais de duas semanas, acompanhada ou não de febre. Em geral, a doença contagiosa, causada por uma bactéria conhecida como bacilo de Koch, também gera emagrecimento e perda de apetite. A transmissão ocorre pelo ar, especialmente em locais com aglomerações e pouca ventilação. A coordenadora da Vigilância Epidemiológica, Marilu Rodrigues da Costa, alerta que a tuberculose ainda é um sério problema de saúde pública no Brasil. “É importante que as pessoas estejam atentas aos sintomas da tuberculose e procurem orientação. A doença é perfeitamente curável, desde que o tratamento com medicação seja seguido à risca e durante o período determinado pelo médico”, explica. Mais informações podem ser obtidas pelo telefone (15) 3259-6358.  Suspeitas tinham cocaína, maconha e crack quando foram abordadas.
Trio estava na Rua Sargento João Batista de Miranda, no Jardim Europa. Ação é feita em três modalidades diferentes.
Região tem sedes em Itapetininga e Tatuí. Evento terá realizada a 1ª Copa do Mundo de Equitação de Trabalho.
Atrações têm entrada gratuita de sexta-feira (11) a domingo (13). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=tuberculose&p=4&r=1749010925521&u=https%3A%2F%2Fg1.globo.com%2Fsao-paulo%2Fitapetininga-regiao%2Fnoticia%2F2014%2F03%2Fcampanha-contra-tuberculose-e-realizada-em-tatui.html&syn=False&key=c07afa159b09ef405005912ee02483d5
4;Campanha de prevenção à tuberculose é realizada em Tatuí;"14/11/2013 11h50- Atualizado em14/11/2013 11h51 Do G1 Itapetininga e Região  A Secretaria da Saúde deTatuí(SP) realiza até a próxima segunda-feira (18) uma campanha de orientação e prevenção a tuberculose. Durante os próximos dias, todos os postos de saúde da cidade vão realizar testes nas pessoas com suspeita da doença. De acordo com a coordenadora da Vigilância Epidemiológica, Marilu Costa, o diagnóstico precoce é muito importante para começar o tratamento. “Quanto antes a doença for descoberta é melhor para começar o combate a bactéria”, explica. Segundo o médico fisiologista, Vidal Camargo Barros, o tratamento contra a tuberculose dura seis meses e é muito importante que o paciente não desista no meio. “Com o tratamento nós conseguimos eliminar o bacilo que causa a doença. Os pacientes devem ir ao médico a cada 30 dias para refazer exames e ser acompanhado por um especialista”, afirma. O servente de pedreiro Agnaldo Souza Leite entrou no quarto mês de tratamento contra a tuberculose. Quando ele descobriu que estava doente perdeu peso, teve febre , tossia muito e perdeu as forças. “Para ficar melhor preciso concluir o tratamento. É muito importante para ficar 100% curado”, diz. A TuberculoseEntre os principais sintomas causados pela tuberculose estão: a falta de apetite, fadiga, tosse por mais de três semanas, dores no peito, tosse com excreção de sangue, suor noturno e palidez. A doença é transmitida pelo ar, então autoridades no assunto orientam para que pessoas próximas à vítimas da tuberculose, mesmo que não apresente os sinais da doença, façam os exames. A tuberculose, transmitida pelo Mycobacterium tuberculosis, o bacilo de Koch, é provavelmente a doença infecto-contagiosa que mais ocasiona mortes no Brasil. Estima-se, ainda, que mais ou menos 30% da população mundial estejam infectados, embora nem todos venham a desenvolver a doença.  Suspeitas tinham cocaína, maconha e crack quando foram abordadas.
Trio estava na Rua Sargento João Batista de Miranda, no Jardim Europa. Ação é feita em três modalidades diferentes.
Região tem sedes em Itapetininga e Tatuí. Evento terá realizada a 1ª Copa do Mundo de Equitação de Trabalho.
Atrações têm entrada gratuita de sexta-feira (11) a domingo (13). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=tuberculose&p=5&r=1749010925522&u=https%3A%2F%2Fg1.globo.com%2Fsao-paulo%2Fitapetininga-regiao%2Fnoticia%2F2013%2F11%2Fcampanha-de-prevencao-tuberculose-e-realizada-em-tatui.html&syn=False&key=a9e653c20339706a9006de553dfaccb9
5;Campanha contra a tuberculose é realizada em Laranjal Paulista, SP;"22/03/2012 13h13- Atualizado em22/03/2012 13h13 Do G1 Itapetininga e Região No próximo sábado (24) é o Dia Mundial da Tuberculose. EmLaranjal Paulista(SP), a Secretaria da Saúde está com a campanha de alerta, prevenção e tratamento da doença. Dentro das atividades dos Postos de Saúde é realizada a busca ativa, que consiste em procurar possíveis suspeitos por meio das pré-consultas, encaminhando os pacientes para avaliação médica e posteriormente aos exames complementares para diagnóstico definitivo. A Tuberculose tem cura, desde que o paciente inicie e não interrompa o tratamento, aguardando a confirmação médica da cura total. A transmissão da Tuberculose acontece de pessoa para pessoa através de espirros, tosses, onde se expele as bactérias que podem ser aspiradas por outras pessoas. Ela ataca principalmente os pulmões, mas pode também ocorrer em outras partes do corpo, como ossos, rins e meninges. Os sintomas da doença são tosse por mais de três semanas com ou sem catarro, acompanhada de falta de apetite, perda de peso, cansaço, dor no peito, febre no fim do dia e suor noturno. Suspeito de 24 anos estava com outras duas pessoas dentro do veículo.
Ação aconteceu na Vila Zalla, segundo a polícia. Vítima foi amarrada e ameaçada de morte pelos suspeitos durante a ação.
Propriedade rural fica próxima à estrada municipal de Laranjal Paulista (SP). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=tuberculose&p=6&r=1749010925523&u=https%3A%2F%2Fg1.globo.com%2Fsao-paulo%2Fitapetininga-regiao%2Fnoticia%2F2012%2F03%2Fcampanha-contra-tuberculose-e-realizada-em-laranjal-paulista-sp.html&syn=False&key=f444aafe6197b19d43ea07113b298026
6;Campanha contra tuberculose é realizada em Tatuí, SP;05/11/2012 08h15- Atualizado em07/11/2012 17h43 Do G1 Itapetininga e Região  Começou nesta segunda-feira (5) a segunda edição anual de combate à tuberculose. As ações de orientação serão realizadas nas unidades de saúde. O município segue o calendário de combate à doença lançado pelo Ministério da Saúde que prevê campanha de alerta à população. O objetivo da campanha é detectar novos casos de tuberculose. Os exames serão realizados em todas as Unidades Básicas de Saúde. Das 8h às 16h as pessoas poderão realizar exames de escarro, além de receberem panfletos com mensagens de alerta sobre a tuberculose. De a doença for diagnóstica, o paciente será encaminhado para tratamento médico especializado. PrêmioA Secretaria de Saúde recebeu o “Prêmio de Qualidade nas Ações de Controle da Tuberculose”. O prêmio é oferecido pelo Programa Estadual de Controle da Tuberculose do Estado de São Paulo, concedida à Vigilância Epidemiológica do município pelo índice de cura da doença de pacientes tratados na rede municipal de saúde no ano de 2011. O prêmio é dado aos municípios que apresentaram cura de no mínimo 85% dos pacientes que iniciaram o tratamento, caso de Tatuí, que notificou 23 casos de tuberculose sendo 20 deles curados, totalizando 86,9% de cura. De acordo com a enfermeira Marilu Rodrigues da Costa, da Vigilância Epidemiológica, o principal fator para a conquista do prêmio são as campanhas de conscientização contra a doença, pois por meio delas são detectados novos casos. “Com isso, o tratamento é iniciado o mais rápido possível, tendo uma chance maior de cura. As campanhas são realizadas duas vezes ao ano. Neste ano, a primeira ocorreu em março. Já a segunda será neste mês de novembro”, diz. DoençaNo Brasil a tuberculose é a terceira causa de óbitos por doenças infecciosas e a que mais causa mortes em pacientes com HIV-Aids, segundo dados do Ministério da Saúde. O agente etiológicoM. tuberculosisconhecido como bacilo de Koch (BK) é responsável por causar infecção no pulmão e outros órgãos, levando a sintomas como tosse (mais de duas semanas), febre, falta de apetite, suor noturno, cansaço, falta de ar e emagrecimento rápido. Para ler mais notícias doG1 Itapetininga e Região, clique emg1.globo.com/sao-paulo/itapetininga-regiao. Siga também oG1 Itapetininga e RegiãonoTwittere porRSS. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ;https://g1.globo.com/busca/click?q=tuberculose&p=7&r=1749010925525&u=https%3A%2F%2Fg1.globo.com%2Fsao-paulo%2Fitapetininga-regiao%2Fnoticia%2F2012%2F11%2Fcampanha-contra-tuberculose-comeca-nesta-2-feira-em-tatui-sp.html&syn=False&key=d6f53276aee0f2b642e816c15b9b9271
7;Campanha contra a tuberculose é realizada em Cerquilho, SP;"08/03/2012 06h45- Atualizado em13/03/2012 15h02 Do G1 Itapetininga e Região Até o próximo dia 17, os moradores deCerquilho, no interior de São Paulo, poderão participar da campanha de alerta contra a tuberculose. O município segue o calendário de combate a doença lançado pelo Ministério da Saúde que prevê ações de orientações à população. Segundo a Secretaria de Saúde de Cerquilho, os moradores que tiverem tosse com catarro por mais de três semanas, devem procurar a Unidade Básica do Centro da cidade, das 12h30 às 16h para fazer exames. A tuberculose é uma doença causada por uma bactéria que ataca principalmente os pulmões, mas pode também ocorrer em outras partes do corpo como ossos, pele, rins e meninges (as membranas que envolvem o cérebro). A contaminação ocorre de pessoa para pessoa de forma direta. Ao espirrar ou tossir, o doente expele as bactérias nas pequenas gotas de saliva, que podem ser aspiradas por outra pessoa, contaminando-a. Além da tosse com catarro por período prolongado, outros sintomas são falta de apetite, emagrecimento, dor no peito, suores noturnos, cansaço fácil e febre baixa, principalmente à tarde. A tuberculose tem cura, mas o tratamento deve ser feito por um período mínimo de 6 meses, diariamente e sem nenhuma interrupção. Segundo o Ministério da Saúde, a tuberculose é a terceira causa de óbitos por doenças infecciosas e a que mais causa mortes em pacientes com HIV-Aids. O agente etiológico M. tuberculosis conhecido como bacilo de Koch (BK) é responsável por causar infecção no pulmão e outros órgãos. Toda família da pessoa doente e aqueles com quem teve contato mais próximo, precisam ser examinados. Cadáver foi encontrado a 4 km de distância do local em que jovem sumiu.
Vítima estava desaparecida desde sábado (19), diz Corpo de Bombeiros. Bombeiros procuram pelo jovem ou corpo desde sábado (19).
Ele nadava com um amigo antes de desaparecer, diz corporação. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ";https://g1.globo.com/busca/click?q=tuberculose&p=8&r=1749010925526&u=https%3A%2F%2Fg1.globo.com%2Fsao-paulo%2Fitapetininga-regiao%2Fnoticia%2F2012%2F03%2Fcampanha-contra-tuberculose-e-realizada-em-cerquilho-sp.html&syn=False&key=9dff2bf7050f2dddf300d6dcb64a46ec
8;Título não encontrado;"Por G1 Caruaru 19/03/2019 11h23Atualizadohá 6 anos Programação vai contar com rodas de conversa sobre a doença, diagnóstico e tratamento nas 24 unidades de saúde — Foto: Émerson Thiago/Divulgação Nesta terça-feira (19), a Secretaria de Saúde da Prefeitura deArcoverde, no Sertão de Pernambuco, deu início à Semana da Campanha Contra a Tuberculose. A programação vai contar com rodas de conversa sobre a doença, diagnóstico e tratamento nas 24 unidades de saúde, além de disponibilizar informações sobre sinais e sintomas. O Dia D da campanha acontece no dia 26, no Centro de Saúde da Mulher, localizado na Praça Presidente Kennedy, no bairro do São Cristóvão, das 18h às 20h. A campanha, vai até o dia 28 de março. Veja também     Trump dobra tarifas sobre o aço, de 25% para 50%; Brasil será afetado Rafa Kalimann e Nattanzinho anunciam que estão à espera do 1º filho Qual é o cachê de Safadão e outras estrelas do São João? Veja ranking Haddad diz que apresenta na próxima semana alternativas à alta do IOF Homem achado morto em buraco em SP não tinha marca de agressão PGR pede prisão de Zambelli, que deixou o Brasil após ser condenada Zambelli diz que quer viver na Europa, mas não revela onde está Democracia saberá se defender de 'inimigos nacionais ou internacionais', diz Moraes ";https://g1.globo.com/busca/click?q=tuberculose&p=9&r=1749010925528&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fcaruaru-regiao%2Fnoticia%2F2019%2F03%2F19%2Fcampanha-contra-a-tuberculose-e-realizada-em-arcoverde.ghtml&syn=False&key=6528ce5da66f3c777f71491fbd22dbc7
9;Campanha de Combate à Tuberculose é lançada em Rondônia;"17/11/2015 18h54- Atualizado em17/11/2015 18h54 Hosana MoraisDo G1 RO A campanha em combate a Tuberculose foi lançada na manhã desta terça-feira (17) em todo o estado deRondônia. De acordo a Agência Estadual de Vigilância em Saúde (Agevisa) a campanha tem como tema 'Tuberculose - Testar,Tratar,Vencer' e segue até o fim de novembro. De acordo com a gerente técnica do setor de Vigilância Epidemiológica, Carmelita Ribeiro o objetivo da campanha é informar que a Tuberculose tem cura e o tratamento pode ser realizado sem custo algum. ""É sempre importante divulgar que o teste para constatar a doença e o tratamento são realizados na rede estadual de saúde. Os remédios também são disponibilizados"", explicou a gerente. Segundo Carmelita em todo o Estado de Rondônia 119 pessoas abandonaram o tratamento antes da hora o que não é aconselhável. ""Eles começam a se sentir bem e já deixam de tomar o remédio dificultando assim a cura total da doença, portanto nossa campanha enfatizar que é bom terminar o ciclo de tratamento"". A Agevisa constatou que no ano de 2014 foram diagnosticados 735 casos. Curados foram 431 casos e 10 pessoas foram a óbito por conta da doença. Na cidade dePorto Velhoforam diagnosticados 415 sendo que três morreram por conta da Tuberculose. A segunda cidade com mais casos registrados e a deAriquemescom 39 diagnósticos. Em cada cidade do estado estarão sendo distribuídos cartazes com informações dos sintomas, tratamento e cura da doença em todas as unidades de pronto-atendimento. O objetivo é conscientizar a população sobre a importância de procurar os postos de saúde assim que apresentar os primeiros sintomas.  O teste rápido para diagnosticar a doença é realizado em todo a rede estadual de saúde. Os principais sintomas da doença são: febre, tosse por mais de 4 semanas cansaço fácil, falta de apetite e emagrecimento. O tratamento dura em média 6 meses. ";https://g1.globo.com/busca/click?q=tuberculose&p=10&r=1749010925529&u=https%3A%2F%2Fg1.globo.com%2Fro%2Frondonia%2Fnoticia%2F2015%2F11%2Fcampanha-de-combate-tuberculose-e-lancada-em-rondonia.html&syn=False&key=f9ce4f9953bc9ef004c6894cc70af3db
