Titulo,Corpo,tokens
Presidente colombiano é hospitalizado com infecção urinária,"France Presse BOGOTã, 28 dez 2012 (AFP) - O presidente colombiano, Juan Manuel Santos, foi levado ao hospital nesta sexta-feira em Cartagena (norte), ao que parece por uma infecção urinária, dois meses e meio depois de ter sido operado por um câncer de próstata, informou seu médico pessoal Felipe Gómez. O presidente, de 61 anos, 'apresentou na manhã de hoje (sexta-feira) um quadro compatível com infecção urinária, que exigiu avaliação na cidade de Cartagena', indicou o médico em um comunicado publicado pela Presidência. A situação de Santos 'não tem gravidade alguma', disse Gómez, ao explicar que isto estava previsto dentro do 'pós-operatório da cirurgia de grande porte a qual foi submetido no mês de outubro'. 'Santos continuará desempenhando seu trabalho e cumprindo com sua agenda prevista', acrescentou o comunicado. O presidente colombiano foi operado no dia 3 de outubro em Bogotá para a retirada de um tumor cancerígeno da próstata, cirurgia que, segundo os especialistas, foi bem-sucedida. cop/nn/ll/ma Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",france prer bogotã afp presidente colombiano juan manuel santo levar hospital feira cartagena norte infecção urinário ser operar câncer próstata informar médico pessoal felipe gómez presidente ano apresentar manhã hoje feira quadro compatível infecção urinário exigir avaliação cidade cartagena indicar médico comunicado publicar presidência situação santo gravidade algum dizer gómez explicar previsto pós operatório cirurgia porte submeter outubro santo continuar desempenhar trabalho cumprir agenda prever acrescentar comunicado presidente colombiano operar outubro bogotá retirada tumor cancerígeno próstata cirurgia especialista sucedido cop magaziner luizar philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Saiba que cuidados tomar contra infecção urinária,"Do RJTV Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. Nesta terça-feira (16), o colunista de saúde doRJTVtirou dúvidas de internautas sobre infecção urinária. Entre os sintomas, ele destaca urgência em urinar e sangue na urina. O tratamento, segundo o médico Luís Fernando Corrêa, é feito através de antibióticos específicos e receitados por um médico após exame de urina. Infecções mal tratadas podem trazer complicações como febre, mal estar e requerer até internação.  Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente.  Assista aos vídeos ao lado para ver, na íntegra, as respostas sobre as tirar dúvidas e saber mais sobre como prevenir e tratar a doença. Há dados que dizem que uma a cada cinco mulheres tem infecção urinária pelo menos uma vez na vida. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",rjtv conteúdo disponível infelizmente vídeo disponível desculpe inconveniente terça feira colunista saúde dorjtvtirar dúvida internauta infecção urinário sintoma destacar urgência urinar sangue urina tratamento médico luís fernando corrêa fazer antibiótico específico receitar médico exame urina infecção tratar trazer complicação febre requerer internação conteúdo disponível infelizmente vídeo disponível desculpe inconveniente assistar vídeo íntegra resposta tirar dúvida prevenir tratar doença dado mulher infecção urinário vida magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Presidente da Colômbia é examinado por infecção urinária,"Reuters  BOGOTÁ, 28 Dez (Reuters) - O presidente da Colômbia, Juan Manuel Santos, que passou por uma cirurgia para a retirada de um câncer em outubro, está sofrendo de infecção urinária, mas não há gravidade e ele continuará com sua agenda, disse nesta sexta-feira a Presidência.  ""Não tem gravidade alguma. Tudo está previsto dentro do pós-operatório da cirurgia maior à qual ele foi submetido no mês de outubro"", acrescentou em comunicado.  Santos fez uma cirurgia em 3 de outubro para retirar a próstata devido a um pequeno tumor cancerígeno. Segundo a equipe médica, o procedimento foi um sucesso.  ""Fiz exames pós-operatórios e agora estou de volta à minha rotina normal"", escreveu Santos em sua conta no Twitter.  Por outro lado, fontes da Presidência revelaram que após a avaliação médica, o mandatário, um economista de 61 anos, viajou para a casa de hóspedes do governo em Cartagena para passar as festividades de fim de ano.  Santos é o mais recente líder da América Latina diagnosticado com câncer, doença que também atingiu o presidente Venezuelano, Hugo Chávez, a presidente brasileira Dilma Rousseff, e o ex-presidente Luiz Inácio Lula da Silva.  (Reportagem de Nelson Bocanegra)  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",reuter bogotá reuter presidente colômbia juan manuel santo passar cirurgia retirada câncer outubro sofrer infecção urinário gravidade continuar agenda dizer feira presidência gravidade algum previsto pós operatório cirurgia submeter outubro acrescentar comunicar santo cirurgia outubro retirar próstata devido pequeno tumor cancerígeno equipe médico procedimento sucesso fiz exame pós operatório volta rotina normal escrever santo conta twitter outro fonte presidência revelar avaliação médico mandatário economista ano viajar casa hóspede governo cartagena passar festividade ano santo recente líder américa latina diagnosticar câncer doença atingir presidente venezuelano hugo chávezr presidente brasileiro dilmar rousseff presidente luiz inácio lula silva reportagem nelson bocanegra magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Título não encontrado,"Por G1— São Paulo 18/04/2017 10h38Atualizadohá 8 anos  Familiares devem redobrar atenção para sintomas de infecção urinária nos idosos Confusão mental nem sempre está relacionada a algum problema de cabeça. A confusão pode ser sinal de que a pessoa está tendo uma infecção sem apresentar sintomas clássicos como febre e dor, ou até mesmo falta de açúcar. O Bem Estar convidou dois especialistas para falar sobre o tema nesta terça-feira (18). O cardiologista e consultor Roberto Kalil lembrou que a confusão pode estar relacionada com um infarto. Isso porque a circulação fica prejudicada, levando à falta de oxigenação no cérebro. Já o neurologista Eduardo Genaro Mutarelli explicou a relação do açúcar e confusão. A glicose é o principal combustível do cérebro. Quando o nível de glicose no sangue cai, o cérebro fica sem energia e isso pode provocar a confusão mental. Quando isso acontece, a pessoa precisa comer açúcar imediatamente, principalmente se for diabética.  Queda de glicose no sangue pode causar confusão mental A confusão mental é mais comum em idosos. Isso porque eles têm menos reserva cerebral por causa do envelhecimento, ou seja, têm um cérebro mais atrofiado, com menos neurônios. Porém, o problema pode acontecer em qualquer idade, inclusive em crianças. Entre as causas de confusão mental que não são relacionadas com problemas neurológicos estão: infecções, infarto do miocárdio, hipoglicemia e hiperglicemia, uso de corticoides, insuficiência hepática, insuficiência renal e auto imunidade. As confusões desaparecem logo que estes problemas são tratados. Os idosos muitas vezes não têm os sintomas clássicos da infecção urinária e a família precisa ficar atenta. “Pessoas com mais idade podem não apresentar os sintomas. Com isso, muitas das vezes, ficam mais sonolentos, mais agitados. Isso é indício de infecção”, alerta o infectologista Jean Gorinchteyn. Os sintomas da confusão são: não reconhecer as pessoas, imaginar que existem inimigos que querem ataca-lo, imaginar que alguém quer envenena-lo, ver coisas que não existem e ouvir vozes.  Veja como cuidar da casa durante o outono  Câncer renal está entre os dez tumores mais frequentes em homens e mulheres Veja a íntegra do programa desta terça-feira (18): Para assistir, tente carregar novamente Bem Estar - Edição de terça-feira, 18/04/2017 Veja também     Carla Zambelli deixa o Brasil após ser condenada a 10 anos de prisão por ataque ao Judiciário Deputada afirmou que foi buscar tratamento médico no exterior e que pedirá licença do mandato. Ela não deixou claro em qual país está. Câmera confirma que garota foi morta após PM dar coronhada e arma disparar VÍDEO: Ucrânia ataca ponte da Crimeia com explosivos instalados na água Polícia do RJ localiza jornalista britânica sumida em SP; mulher disse que não quer contato com a família Amiga do Rio de Janeiro relatou à polícia que Charlotte Alice Peet entrou em contato pela última vez em 8 de fevereiro para informar que estava na capital paulista. Charlotte foi encontrada no bairro dos Jardins. VÍDEO: Cupertino fala por mais de 2 horas em seu julgamento e cita Bolsonaro e Lula Gravações mostram interrogatório do réu e depoimentos da filha e da ex-esposa dele, Isabela e Vanessa Tibcherani. Elas presenciaram quando empresário matou a tiros Rafael Miguel e pais do ator por não aprovar namoro com a filha em 2019. Acusado foi condenado a 98 anos. INFOGRÁFICO: Veja como drones ucranianos infiltrados por agentes secretos destruíram um terço da frota russa Ucrânia escondeu drones em contêineres e os levou de caminhão para perto das bases aéreas, atingindo parte da artilharia aérea russa de longo alcance. Rússia exige 20% do território da Ucrânia para cessar-fogo; veja demais condições Memorando com a proposta de paz foi entregue pelos russos à Ucrânia em segunda rodada de negociações diretas para encerrar o conflito. Encontro ocorreu nesta segunda (2), um dia após troca de ataques em larga escala e inéditos. 1 min Menos de R$ 3 mil, adaptado do uso civil: como é o drone ucraniano que impôs prejuízo de US$ 7 bilhões à Rússia A escolha por drones FPV, sigla para Visão em Primeira Pessoa (First Person View), se deve à sua capacidade de realizar ataques precisos com baixo custo, além de serem difíceis de detectar e neutralizar. ",paulo hatualizadohá ano familiar redobrar atenção sintoma infecção urinário idoso confusão mental relacionado algum problema cabeça confusão sinal pessoa ter infecção apresentar sintoma clássico febre dor açúcar convidar especialista falar tema terça feiro cardiologista consultor roberto kalil lembrar confusão relacionado infarto circulação ficar prejudicar levar oxigenação cérebro neurologista eduardo genaro mutarelli explicar açúcar confusão glicose principal combustível cérebro glicose sangue cair cérebro ficar energia provocar confusão mental acontecer pessoa precisar comer açúcar imediatamente principalmente diabético queda glicose sangue causar confusão mental confusão mental comum idoso reserva cerebral causa envelhecimento ser cérebro atrofiado neurônio problema acontecer idade criança causa confusão mental relacionar problema neurológico infecção infarto miocárdio hipoglicemia hiperglicemia uso corticoide insuficiência hepático insuficiência renal auto imunidader confusão desaparecer problema tratar idoso muitas sintoma clássico infecção urinário família precisar ficar atento pessoa idade apresentar sintoma muito ficar sonolento agitado indício infecção alertar infectologista jean gorinchteyn sintoma confusão reconhecer pessoa imaginar existir inimigo ataca imaginar alguém envenena coisa existir ouvir voz cuidar casa durante outono câncer renal tumor frequente homem mulher íntegra programa terça feira assistir carregar novamente edição terça feira carlar zambelli deixar brasil condenar ano prisão ataque judiciário deputada afirmar buscar tratamento médico exterior pedir licença mandato deixar claro país câmera confirma garota morto coronhada arma disparar vídeo ucrânia atacar ponte crimeia explosivo instalar água polícia localizar jornalista britânico sumer mulher dizer contato família amiga rio janeiro relatar polícia charlotte alice peetr entrar contato último fevereiro informar capital paulista charlotte encontrar bairro jardins vídeo cupertino falar hora julgamento citar bolsonaro lula gravação mostrar interrogatório réu depoimento filha esposa de ele isabela vanessa tibcherani presenciar empresário matar tiro rafael miguel pai ator aprovar namoro filha acusar condenar ano infográfico drone ucraniano infiltrar agente secreto destruír terço frota russo ucrânia esconder drone contêiner levar caminhão base aéreo atingir artilharia aéreo russo longo alcance rússia exigir território ucrânia cessar fogo condição memorar proposta paz entregar russo ucrânia rodada negociação direta encerrar conflito encontro ocorrer troca ataque larga escala inédito min adaptado uso civil drone ucraniano impor prejuízo bilhão rússia escolha drones fpv siglar visão pessoa first person view capacidade realizar ataque preciso custo ser difícil detectar neutralizar
"Infecção urinária: Bem Estar investiga sintomas, causas e tratamento","Edição do dia 09/06/2016 09/06/2016 10h43- Atualizado em09/06/2016 12h00 Do G1, em São Paulo  Infecção urinária, você já teve? É mais comum nas mulheres do que nos homens e 50% delas vão ter, pelo menos, uma vez na vida. Mas tem como evitar e oBem Estardesta quinta-feira (9) mostrou isso. Uma em cada 10 mulheres sofre com a infecção urinária durante a gestação, um problema que pode ser muito grave para os bebês, se não for tratado. DoutorJosé Bento, ginecologista e consultor do Bem Estar, e Marair Sartori, uroginecologista da Unifesp, foram convidados para falar sobre o assunto.      Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",edição atualizar paulo infecção urinár comum mulher homem de elas vida evitar obem estardesto feira mostrar mulher sofrer infecção urinário durante gestação problema grave bebê tratar doutorjosé bento ginecologista consultor marair sartori uroginecologista unifesp convidar falar assunto magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Como evitar infecção urinária, dor e ardência genital? Envie perguntas","Do G1, em São Paulo  Você já viu alguém fazendo xixi na rua? Além de ser ruim para a saúde pública, será que também faz mal? O Bem Estar desta quinta-feira (20) fala sobre isso e também sobre infecção urinária, dor e ardência genital, um incômodo que muitas mulheres já sentiram em algum momento da vida. Dá para evitar? Pode ser sintoma de quê? No estúdio, participam o ginecologista José Bento e o urologista Leonardo Lima Borges. Você pode participar do programa enviando sua pergunta, pelo campo de comentários logo abaixo do texto ou pela página doVC no Bem Estar, onde você pode enviar também uma foto ou um vídeo. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",paulo ver alguém fazer xixi rua ruim saúde público ser feira falar infecção urinário dor ardência genital incômodo muito mulher sentir algum vida evitar sintoma estúdio participar ginecologista josé bento urologista leonardo lima borges participar programa enviar pergunta campo comentário abaixo texto página dovcr enviar foto vídeo magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Chico Anysio está com infecção urinária, diz assessoria do humorista","Do G1 RJ Uma infecção urinária levou o humoristaChico Anysio, de 80 anos, a ser internado na quarta-feira (30) no Hospital Samaritano, em Botafogo, na Zona Sul do Rio. As informações são da assessoria do artista. Segundo sua assessoria, Chico deu entrada na unidade com febre. No hospital, os médicos descobriram uma contaminação por fungos que está sendo tratada com antibióticos. Desde então, ele está internado porque a  administração da medicação é por via venosa. Segundo sua assessoria, o humorista está lúcido, bem disposto e respondendo bem aos medicamentos. Seu quadro de saúde não é considerado grave. No dia 11 de novembro, Chico Anysio deixou o hospital depois de cinco dias internado por causa de fortes dores nas costas. Na ocasião, segundo sua assessoria de imprensa, o que o levou ao hospital foi “uma vértebra que ele fraturou há uns seis ou sete anos e que às vezes volta a doer"".  Quando isso acontece, ele precisa ficar em repouso absoluto e receber um analgésico na veia. Por isso, fica internado no hospital. Essa não é a primeira vez que Chico é hospitalizado por esse motivo. No início do ano, o humorista tevecomplicações cardiorrespiratóriasque o deixaram internado por quase quatro meses. No domingo (4), oFantásticoprestou uma homenagem ao humorista num quadro em que misturou jornalismo e dramaturgia para mostrar um pouco dos 60 anos de carreira de Chico e seus 209 personagens. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",infecção urinário levar humoristachico anysio ano internar feira hospital samaritano botafogo zona sul rio informação assessoria artista assessoria chico dar entrada unidade febre hospital médico descobrir contaminação fungo ser tratar antibiótico internado administração medicação via venoso assessoria humorista lúcido disposto responder medicamento quadro saúde considerar grave novembro chico anysio deixar hospital dia internar causa forte dor costa ocasião assessoria imprensa levar hospital vértebra fraturar ano voltar doerr acontecer precisar ficar repouso absoluto receber analgésico veia ficar internado hospital chico hospitalizar motivo início ano humorista tevecomplicação cardiorrespiratóriasque deixar internar quase domingo ofantásticoprestar homenagem humorista quadro misturar jornalismo dramaturgia mostrar ano carreira chico personagem magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Niemeyer é diagnosticado com infecção urinária, afirma hospital","Do G1 RJ O Hospital Samaritano, ondeOscar Niemeyer, de 102 anos, está internado, informou nesta segunda-feira (26) que o arquiteto foi diagnosticado com infecção urinária. Segundo Vera Lúcia Cabreira, esposa de Niemeyer, ele passa bem e não tem previsão de alta. “Os médicos acharam melhor interná-lo, mas ele está bem. Não sabemos o dia que ele vai ter alta”, contou. A internação ocorreu na tarde do último domingo (25) e, segundo a assessoria de imprensa do hospital, em Botafogo, na Zona Sul do Rio, o arquiteto passa por exames. O arquitetojá ficou internado por 24 dias nesse mesmo hospital, em setembro e outubro de 2009, após dores abdominais. O arquiteto chegou a passar por uma cirurgia para retirar um tumor no intestino grosso, uma semana depois de ter sido operado para a retirada de um cálculo na vesícula. Por causa da internação do arquiteto, o lançamento da revista Nosso Caminho, em comemoração aos 50 anos de Brasília, foi cancelado. O lançamento aconteceria nesta segunda-feira, na Avenida Atlântica, em Copacabana, na Zona Sul. Histórico médico No dia 11 de junho de 2009, o arquiteto foi internado no hospital Cardiotrauma de Ipanema, também na Zona Sul, queixando-se de dores lombares. Ele passou por uma bateria de exames e recebeu alta médica algumas horas depois. Na ocasião, exames de sangue e uma tomografia indicaram que Niemeyer estava apenas com uma lombalgia.Em 2006, o arquiteto chegou a ficar 11 dias internado, após sofrer uma queda e passar por uma cirurgia. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",hospital samaritano ondeoscar niemeyer ano internado informar feira arquiteto diagnosticar infecção urinário vera lúcia cabreira esposo niemeyer passar previsão alta médico achar bom interná saber alta contar internação ocorrer domingo assessoria imprensa hospital botafogo zona sul rio arquiteto passar exame arquitetojá ficar internado dia hospital setembro outubro dor abdominal arquiteto chegar passar cirurgia retirar tumor intestino grosso semana ser operar retirada cálculo vesícula causa internação arquiteto lançamento revista comemoração ano brasília cancelar lançamento aconteceriar feira avenida atlântico copacabana zona sul histórico médico junho arquiteto internar hospital cardiotraum ipanema zona sul queixar dor lombar passar bateria exame receber alto médico hora ocasião exame sangue tomografia indicar niemeyer lombalgia arquiteto chegar ficar dia internar sofrer queda passar cirurgia magazine luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Especialista tira dúvidas sobre infecção urinária no 'Fala Saúde',"Do G1 PA  A nefrologista Sheila Costa participou do quadro ""Fala Saúde"" do Jornal Liberal 1ª Edição desta quarta-feira (11), em que tirou dúvidas do público sobre infecção urinária. De acordo com a especialista, os sintomas mais comuns da doença são a forte necessidade de urinar normalmente acompanhada por ardência considerável, além de dor pélvica, urina escura, com cheiro forte ou acompanhada de sangue. Acompanhe a entrevista: Infecção urinária pode dar em qualquer idade? (Manoel Wagner,Nova Esperança do Piriá)Sim, de crianças a adultos, mas é mais observada em mulheres, diabéticos, acamados e pacientes com paraplegia por conta de apresentarem bexiga neurogência. Nesses grupos a prevalência da doença é maior. Ao urinar, percebi um pouco de sangue junto com a urina. O que pode ser? (Cláudia,Marituba)As causas podem ser as mais variadas: desde eliminação de cálculo urinário, distúrbios de coagulação, infecção. Apenas um médico, com a ajuda de exames, pode definir do que se trata. Quem tem incontinência urinária costuma ter mais infecção urinária? (Elizabeth Leal, bairro da Cremação,Belém)Sim, já que os pacientes com incontinência costumam reter resíduos de urina na bexiga e isso propicia o surgimento de infecções. Meu marido está com infecção urinária há um ano, já tomou antibiótico e não teve cura; o problema vai e volta. (Maria Melo, bairro de Canudos, Belém)Ele pode ter tido infecções recorrentes, dentre outras questões, por resistência bacteriana. É fundamental que procure um especialista e realize exames para investigar a origem do problema. Quando a urina apresenta secreção, pode ser infecção? (Benedito de Lima, Gurupá)É possível que ele esteja com uretrite, normalmente relacionada a Doenças Sexualmente Transmissíveis ou mesmo a bactérias atípicas. De todo o modo, ele deve procurar o médico, fazer exames para identificar o agente causador e, dependendo do caso, tratar a companheira também. ",nefrologista sheila costa participar quadro falar saúde jornal liberal edição feira tirar dúvida público infecção urinário acordo especialista sintoma comum doença forte necessidade urinar normalmente acompanhar ardência considerável dor pélvico urino escuro cheiro forte acompanhar sangue acompanhar entrevista infecção urinário idade manoel wagner esperança piriá criança adulto observado mulher diabético acamar paciente paraplegia conta apresentar bexigo neurogência em esse grupo prevalência doença urinar percebi sangue junto urina cláudio marituba causa variar eliminação cálculo urinário distúrbio coagulação infecção médico ajuda exame definir tratar incontinência urinário costumar infecção urinário elizabeth leal bairro cremação belém paciente incontinência costumar reter resíduo urina bexiga propicer surgimento infecção marido infecção urinário ano tomar antibiótico cura problema volta maria melo bairro canur belém ter infecção recorrente dentrar questão resistência bacteriano fundamental procurar especialista realizar exame investigar origem problema urina apresentar secreção infecção benedito lima gurupá estar uretrite normalmente relacionar doença sexualmente transmissível bactéria atípica modo procurar médico exame identificar agente causador depender caso tratar companheira
"Com infecção urinária, Temer passa réveillon no Palácio do Jaburu","Edição do dia 01/01/2018 01/01/2018 21h38- Atualizado em01/01/2018 21h38  Em Brasília, o presidenteMichel Temerdeve diminuir o ritmo de trabalho nos próximos dias por causa de uma infecção urinária. No Palácio do Jaburu, movimento, apenas de funcionários da Presidência. Michel Temer virou o ano recolhido no palácio. Ele já havia cancelado o réveillon na base naval da restinga da Marambaia, no Rio. Também não foi autorizado a voar para São Paulo. Exames confirmaram um quadro de infecção urinária e o presidente está sendo medicado com antibiótico para casos de bactéria muito resistente. No início da noite desta segunda-feira (1º) ele recebeu a visita do médico. Temer passou por um procedimento cirúrgico para desobstrução da uretra, no dia 13 de dezembro. Não seguiu à risca a recomendação de repouso. Está usando sonda com bolsa coletora de urina. Segundo os médicos, o quadro de infecção urinária não é incomum para que usa esse tipo de sonda. A última aparição pública de Temer foi no Rio, quarta passada. E desde então, o presidente vem enfrentando um crescente desconforto.Ministros e amigos que conversaram com o presidente por telefone confirmam. Ele resolveu levar mais a sério a orientação médica de se resguardar. Temer chegou a ter febre, mas melhorou e está mais cuidadoso, informou um ministro. A agenda de terça-feira (2) prevê despachos internos no Planalto. ",edição atualizar brasília presidentemichel temerdever diminuir ritmo trabalho próximo dia causa infecção urinário palácio jaburu movimento funcionário presidência michel temer virar ano recolher palácio haver cancelar réveillon base naval restinga marambaia rio autorizar voar paulo exame confirmar quadro infecção urinário presidente ser medicar antibiótico caso bactéria resistente início noite feira receber visita médico temer passar procedimento cirúrgico desobstrução uretra dezembro seguir risca recomendação repouso usar sonda bolsa coletorar urina médico quadro infecção urinário incomum sondar último aparição público temer rio passado presidente enfrentar crescente desconforto ministro amigo conversar presidente telefone confirmar resolver levar sério orientação médico resguardar temer chegar febre melhorar cuidadoso informar ministro agenda terça feira prever despacho interno planalto
