Titulo,Corpo,tokens
ONU pretende reduzir pneumonia e diarreia infantis,"France Presse GENEBRA, 11 Abr 2013 (AFP) - Duas agências humanitárias da ONU anunciaram nesta sexta-feira um novo plano de luta para erradicar até 2025 a mortalidade infantil (de crianças menores de 5 anos) causada pela pneumonia e a diarreia, duas das doenças mais mortais em escala mundial. Juntos, os dois males são responsáveis por 29% das mortes de crianças menores de cinco anos, o que equivale a 2 milhões de vítimas infantis, segundo o Plano de Ação da Organização Mundial da Saúde (OMS) e do Fundo das Nações Unidas para a Infância (Unicef). No entanto, as soluções para combater a pneumonia e a diarreia não exigem novas descobertas científicas, afirmam os especialistas. 'Se as crianças continuam morrendo hoje é porque os serviços são prestados de forma fragmentada e os mais vulneráveis não se beneficiam' destes serviços, explicaram os dois organismos. Além disso, 'ocorre com muita frequência que se realizam paralelamente planos de luta' contra cada uma destas doenças, declarou Elizabeth Mason, encarregada da OMS. Em uma tentativa de coordenar os esforços, o Plano de Ação Mundial das Nações Unidas elaborou um 'mapa do caminho' para que os governos planejem e ponham em andamento iniciativas integrais de prevenção e luta contra as duas doenças. Este plano define também vários objetivos para diminuir o número de mortes infantis relacionadas com estas doenças. Segundo o plano, 90% das crianças deverão ter acesso - antes de 2025 - a antibióticos para curar a pneumonia e a um tratamento com sais de reidratação oral para curar a diarreia, contra 31% e 35%, respectivamente, hoje em dia. Por outro lado, especialistas da ONU pedem que pelo menos a metade dos bebês menores de seis meses seja amamentada contra 39% em 2012, e que todas as crianças tenham acesso a melhores serviços sanitários e à água potável contra 63% e 89%, respectivamente, atualmente. Cerca de 90% das mortes infantis relacionadas com estas duas doenças ocorrem na África subsaariana e na Ásia meridional. Segundo dados publicados esta sexta-feira na revista britânica The Lancet, este plano de ação demandará um investimento adicional de quase US$ 2 bilhões. nl/apo/pjt/plh/meb/af/mvv Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",france prer genebrar abr afp agência humanitário onu anunciar feira plano luta erradicar mortalidade infantil criança pequeno ano causar pneumonia diarreia doença mortal escala mundial junto mal responsável morte criança pequeno ano equivaler milhão vítima infantil plano ação organização mundial saúde oms fundo nação unir infância unicefr entanto solução combater pneumonia diarreia exigir descoberta científico afirmar especialista criança continuar morrer hoje serviço prestar fragmentado vulnerável benefic de este serviço explicar organismo ocorrer muito frequência realizar paralelamente plano luta desto doença declarar elizabeth mason encarregar oms tentativa coordenar esforço plano ação mundial nação unir elaborar mapa governo planejem ponhar andamento iniciativa integral prevenção luta doença plano definir objetivo diminuir morte infantil relacionar doença plano criança dever acesso antibiótico curar pneumonia tratamento sal reidratação oral curar diarreia respectivamente hoje outro especialista onu pedir metade bebê pequeno ser amamentar criança ter acesso bom serviço sanitário água potável respectivamente atualmente cerca morte infantil relacionar doença ocorrer áfrica subsaariano ásia meridional dado publicar feira revista britânico the lancet plano ação demandar investimento adicional quase bilhão apo pe jt plh meb mvv magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Cláudio Marzo está internado no CTI com pneumonia e desorientação,"Do G1 Rio O ator Cláudio Marzo permanecia internado no Centro de Tratamento Intensivo (CTI) da Clínica São Vicente, na Gávea, Zona Sul do Rio, nesta terça-feira (10). Segundo informações da assessoria de imprensa da unidade, a pneumonia está sendo controlada com medicamentos. O médico que acompanha o ator informou também que o ator está desorientado. Marzo deu entrada no hospital no dia 4 de março e não tem previsão de alta. Outras internaçõesO ator também foi internado no dia8 de fevereiro devido a um quadro infeccioso, associado à insuficiência renal e a um enfisema descompensado, informou o boletim médico divulgado pelo Dr. João Manuel Pedroso, clínico geral e cardiologista do ator. No dia28 de dezembro de 2014, Cláudio foi internado no Centro de Tratamento Intensivo (CTI) do mesmo hospital com um quadro de arritmia cardíaca e pneumonia. Entretanto, recebeu alta médica no dia 31 de dezembro e pôde passar a virada do ano em casa. Tem alguma notícia para compartilhar? Envie para oVC no G1.  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",rio ator cláudio marzo permanecer internar centro tratamento intensivo cti clínica vicente gáveo zona sul rio terça feira informação assessoria imprensa unidade pneumonia ser controlar medicamento médico acompanhar ator informar ator desorientado marzo dar entrada hospital março previsão alta internaçõeso ator internar fevereiro devido quadro infeccioso associar insuficiência renal enfisema descompensar informar boletim médico divulgar joão manuel pedroso clínico cardiologista ator dezembro cláudio internar centro tratamento intensivo cti hospital quadro arritmia cardíaca pneumonia entretanto receber alto médico dezembro passar virado ano casa algum notícia compartilhar envie ovc magazine luizar philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Aposentado com pneumonia é 'devolvido' por três hospitais em GO,"Do G1 GO, com informações da TV Anhanguera Conteúdo não disponível. Infelizmente este vídeo não está mais disponível. Desculpe-nos pelo inconveniente. Há 18 dias o aposentado José Miguel Fernandes começou a apresentar os sintomas da pneumonia. Ele procurou atendimentono no Centro de Assistência Integral à Saúde (Cais), no Bairro Goiá, em Goiânia, e recebeu quatro encaminhamentos. De um dos hospitais o aposentado teve alta dois dias depois e continuou passando mal. Dos outros três acabou sendo devolvido. Somente na noite de quarta-feira (12), José Miguel conseguiu ser internado no Hospital Geral de Goiânia (HGG). Os hospitais justificaram falta de estrutura para tratar da doença. Mas o filho do aposentado, Johnathan do Nascimento, desconfia de que o pai dele foi devolvido para o Cais por outro motivo. “Um dos funcionários que acompanhou meu pai comentou que o tratamento dele é muito caro para ser subsidiado pelo Sistema Único de Saúde.” O filho coloca em xeque a atitude dos hospitais. “Os hospitais têm a liberdade tanto jurídica como contratual para devolver pacientes como foi conferido? Por que isso acontece?” JustificativaSegundo o diretor da Central de Regulação de Leitos da Secretaria Municipal de Saúde, Fernando Machado, os encaminhamentos às unidades conveniadas são feitos de acordo com o histórico de atendimento do paciente junto às unidades do Sistema Único de Saúde (SUS). Ele esclarece que a recusa de pacientes do SUS, por parte de alguns hospitais, depende muito da avaliação médica feita na unidade para qual a pessoa foi levada. O perito pode argumentar que o hospital não tem as condições para prestar o atendimento necessário. O diretor explica ainda que essa recusa de pacientes deve ocorrer somente mediante justificativa clínica adequada, sob pena de multa ou descredenciamento do estabelecimento e até mesmo abertura de processo ético contra o profissional médico, junto ao Conselho Regional de Medicina (CRM). O diretor da central admitiu, porém, ser raro ocorrer três recusas consecutivas em unidades conveniadas, como no caso do aposentado José Miguel Fernandes, e disse que irá averiguar o que houve. ",informação anhanguer conteúdo disponível infelizmente vídeo disponível desculpe inconveniente dia aposentado josé miguel fernandes começar apresentar sintoma pneumonia procurar atendimentono centro assistência integral saúde cal bairro goiá goiânia receber encaminhamento hospital aposentado alta dia continuar passar acabar ser devolver noite feira josé miguel conseguir internar hospital goiânia hgg hospital justificar estrutura tratar doença filho aposentado johnathan nascimento desconfia pai de ele devolver cais outro motivo funcionário acompanhar pai comentar tratamento de ele caro subsidiar único saúde filho colocar xeque atitude hospital hospital liberdade jurídico contratual devolver paciente conferer acontecer justificativasegur diretor central regulação leito secretaria municipal saúde fernando machar encaminhamento unidade conveniar fazer acordo histórico atendimento paciente junto unidade único saúde sus esclarecer recusa paciente sus hospital depender avaliação médico fazer unidade pessoa levar perito argumentar hospital condição prestar atendimento necessário diretor explicar recusa paciente ocorrer mediante justificativa clínico adequado pena multa descredenciamento estabelecimento abertura processo ético profissional médico junto regional medicina crm diretor central admitir raro ocorrer recusa consecutivo unidade conveniar caso aposentado josé miguel fernandes dizer averiguar haver
Siqueira Campos é diagnosticado com pneumonia e segue internado,"Do G1 TO O ex-governador Siqueira Campos, 88 anos, internadodesde a noite desta quarta-feira (25),segue em repouso absoluto em um hospital particular dePalmas. O médico responsável pelo tratamento dele confirmou o diagnóstico de pneumonia, após o resultado de exames. Por orientação médica, ele deve ficar em repouso absoluto por pelo menos 10 dias, sendo que cinco deles serão no hospital. Apesar disso, o ex-governador apresenta melhoras e os sintomas de febre e desidratação foram contidos. Segundo nota enviada à imprensa, Siqueira teve uma noite tranquila, está lúcido, conversando e se alimentando normalmente. EntendaO ex-governador foi internado na noite desta terça-feira, com um quadro de febre e desidratação. Ele não precisou ser internado na UTI. Em 2016,o político ficou internado em uma UTI após um quadro de desidratação. Ele ficou internado por uma semana e foi diagnosticado com pneumonia no pulmão direito. O ex-governador é o autor da emenda de criação do Estado doTocantins. Após a separação do estado, ele se tornou o primeiro governador e criou o projeto de construção de Palmas. No total, exerceu quatro mandatos no governo do Tocantins.  Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",governador siqueiro campos ano internadodesde noite feira seguir repouso absoluto hospital particular depalma médico responsável tratamento de ele confirmar diagnóstico pneumonia resultado exame orientação médico ficar repouso absoluto dia ser de ele ser hospital apesar governador apresentar melhora sintoma febre desidratação conter nota enviar imprensa siqueiro noite tranquilo lúcido conversar alimentar normalmente entendao governador internar noite terça feira quadro febre desidratação precisar internar uti político ficar internado uti quadro desidratação ficar internado semana diagnosticar pneumonia pulmão direito governador autor emenda criação dotocantim separação tornar governador criar projeto construção palma total exercer mandato governo tocantim magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Temperatura mais baixa aumenta o risco de pneumonia e gripe,"Do G1, em São Paulo  A temperatura vai diminuindo e as pessoas vão ficando gripadas. Espirra daqui, tosse de lá. E será que uma gripe mal curada pode virar pneumonia? Como se prevenir? OBem Estardesta segunda-feira (11) falou sobre isso. Participaram do programa a infectologista Rosana Richtmann e o pneumologista Carlos Roberto Carvalho. A gripe não vira pneumonia, mas deixa o corpo mais suscetível. A gripe é causada por vírus e é altamente infectante, por isso se espalha rápido. Já a pneumonia é uma infecção nos pulmões causada por bactéria, na maioria dos casos, a pneumococo. A pneumonia é uma doença grave e, em muitos casos, a internação é necessária. Alguns fatores contribuem para a infecção, como lesão pulmonar por problema cardíaco ou respiratório; doença pulmonar (bronquite, enfisema); asma; exposição constante a ambientes tóxicos e o cigarro.  Gripe e pneumonia têm sintomas bem parecidos. A febre é intermitente nos dois casos, mas na pneumonia ela pode ser mais alta e duradoura. A dor no peito ocorre porque a pessoa tosse muito, nos dois casos. A diferença está no catarro: na pneumonia ele é mais espesso e colorido (acinzentado, esverdeado ou amarelado), na gripe ele é mais líquido e transparente. E será que a temperatura mais baixa ajuda o vírus da gripe? “É uma época que os vírus gostam de circular. Eles vão de pessoa para pessoa com mais facilidade. O individuo tá resfriado, espirra na mão, se apoia no metrô. Vem outra pessoa, pega aquela secreção, coça o olho e pronto: o vírus já entrou no organismo”, explica o pneumologista Roberto Stirbulov. Por isso, uma dica de ouro e simples: lave sempre as mãos e evite colocar as mãos em contato com as mucosas.       Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",paulo temperatura diminuir pessoa ficar gripada espirra de aqui tor ser gripe curar virar pneumonia prevenir obem estardesto feira falar participar programa infectologista rosano richtmann pneumologista carlos roberto carvalho gripe virar pneumonia deixar corpo suscetível gripe causar vírus altamente infectante espalhar rápido pneumonia infecção pulmão causar bactéria caso pneumococo pneumonia doença grave caso internação necessário fator contribuar infecção lesão pulmonar problema cardíaco respiratório doença pulmonar bronquite enfisema asma exposição constante ambiente tóxico cigarro gripe pneumonia sintoma parecir febre intermitente caso pneumonia alto duradourar dor peito ocorrer pessoa tor caso diferença catarro pneumonia espesso colorir acinzentar esverdear amarelar gripe líquido transparente ser temperatura baixo ajudar vírus gripe época vírus gostar circular pessoa pessoa facilidade individuo resfriar espirra mão metrô pessoa pegar secreção coço olho pronto vírus entrar organismo explicar pneumologista roberto stirbulov dica ouro simples lave mão evitar colocar mão contato mucosa magaziner luizar philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Haitiana que morreu com pneumonia é enterrada em Rio Branco,"Caio FulgêncioDo G1 AC A haitiana Milourde Rigueur, de 27 anos,morta por pneumoniana segunda-feira (4), em Rio Branco, foi enterrada também na capital, ainda na terça-feira (5). De acordo com o secretário de Justiça e Direitos Humanos, Nilson Mourão, a decisão foi tomada após conversa com marido da vítima, que mora na República Dominicana, que autorizou o enterro. ""Fizemos contato tanto com o marido, na República Dominicana, quanto com a embaixada, que nos informou que não faz o translado. Os familiares informaram que não tinham condições de levar o corpo. Como estava se decompondo na funerária, decidimos fazer o sepultamento. Se tivéssemos esperado, não tinha mais a menor possibilidade, já estaria totalmente decomposto"", disse. Inicialmente, o governo do estado havia informado à imprensa que a causa da morte de Milourde seria tuberculose. No entanto, ainda na tarde da terça-feira, o estado voltou atrás e disse que a imigrante estava doente de pneumonia. Segundo a administração do cemitério, o túmulo deve receber uma lápide nos próximos dez dias. Entenda o casoA haitiana chegou ao estado no dia 24 de abril deste ano e, segundo a Sejudh, já havia viajado com a doença. A morte ocorreu no Hospital de Urgência e Emergência deRio Branco(Huerb) na segunda-feira (4). Milourde chegou a receber atendimento duas vezes na Unidade de Pronto Atendimento do bairro Sobral. AoG1, o haitiano Charles Jean-Rifim, de 37 anos, que conviveu com Milourde, disse que ela reclamava constantemente de dores no estômago e tomava remédio para diabetes. ""Ela sofria de diabetes. Quando comia, sentia-se muito mal do estômago e também tinha dores de cabeça. Ela reclamava de dor. Foi quando ela foi para o segundo médico e morreu"", disse. O abrigo da capital, atualmente, está com mais de 850 imigrantes. De acordo com Nilson Mourão, da Sejudh, o local está oferecendo serviços cada vez mais precários e que o processo de transferência da gestão do local para o governo federal está em andamento, mas que não há nenhuma data definida. ""Não vamos deixar de receber ou ajudar os imigrantes. Os serviços são precários, mas fazemos tudo que podemos. Estamos trabalhando o processo de transição através da Casa Civil com um técnico do Ministério da Justiça e foram iniciadas as discussões sobre como será feito esse processo. Mas é preciso destacar que não existe nenhuma data definida. Esse é um processo muito delicado e vamos continuar com os serviços no abrigo"", explicou. Mourão destaca ainda que novos estrangeiros chegam ao Acre todos os dias através da fronteira do Peru com a cidade de Assis Brasil, distante 342 km da capital. De acordo com o governo do estado, desde 2010, mais de 32 mil imigrantes entraram no Brasil pelo Acre. Colaborou Priscilla Andrade, da Rede Amazônica no Acre. ",caio fulgênciodo haitiana milourde rigueurr ano morta pneumoniano feira rio branco enterrar capital terça feira acordo secretário justiça direito humano nilson mour decisão tomar conversa marido vítima morar república dominicano autorizar enterro fizemos contato marido república dominicano embaixada informar translado familiar informar ter condição levar corpo decompor funerária decidir sepultamento tivéssemos esperar ter possibilidade estar totalmente decomposto dizer inicialmente governo haver informar imprensa causa morte milourde tuberculose entanto terça feira voltar dizer imigrante doente pneumonia administração cemitério túmulo receber lápide próximo dia entender casoa haitiana chegar abril ano sejudh haver viajar doença morte ocorrer hospital urgência emergência derio branco huerbr feira milourde chegar receber atendimento unidade pronto atendimento bairro sobral aog haitiano charles jean rifim ano conviver milourde dizer reclamar constantemente dor estômago tomar remédio diabete sofrer diabete comia sentir estômago ter dor cabeça reclamar dor médico morrer dizer abrigo capital atualmente imigrante acordo nilson mour sejudh oferecer serviço precário processo transferência gestão governo federal andamento data definir ir deixar receber ajudar imigrante serviço precário poder estar trabalhar processo transição casa civil técnico ministério justiça iniciar discussão ser fazer processo preciso destacar existir data definir processo delicar ir continuar serviço abrigo explicar mourão destacar estrangeiro chegar acre dia fronteira peru cidade assis brasil distante capital acordo governo imigrante entrar brasil acre colaborar priscilla andrade rede amazônico acre
Morrissey é hospitalizado com pneumonia e cancela show,"Do G1, em São Paulo Morrisseyvoltou a adiar show nos Estados Unidos por causa de problemas de saúde. O cantor britânico foi internado com pneumonia, que afetou seus dois pulmões. A informação está no site de fãs True to you, que divulga os comunicados oficiais do ex-líder do Smiths. Por causa da internação, ele cancelou o show que faria em San Francisco. ""Morrissey está sendo tratado por causa de uma 'dupla pneumonia' em San Francisco, mas continua confirmado no festival Vive Latino, na Cidade do México, em 14 de março"", diz o comunicado. O cantor já havia sido internado em fevereiro, com suspeita de ter infecção na bexiga e diagnosticado com uma úlcera hemorrágica. Morrissey também adiou, por conta do problema de saúde, uma apresentação que faria em janeiro. O cantor havia cancelado, no fim de 2012, uma longa turnê que faria pelos Estados Unidos, porque sua mãe estava doente. ""Years of refusal"", lançado em fevereiro de 2009, é o nono e o mais recente trabalho solo do vocalista britânico de 53 anos.O cantor esteve no Brasil pela última vez em 2012. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",paulo morrisseyvoltar adiar show estados unidos causa problema saúde cantor britânico internar pneumonia afetar pulmão informação site fã true you divulgar comunicado oficial líder smiths causa internação cancelar show fazer san francisco morrissey ser tratar causa duplo pneumonia san francisco continuar confirmar festival viver latino cidade méxico março comunicar cantor haver ser internar fevereiro suspeita infecção bexiga diagnosticar úlcera hemorrágico morrissey adiar conta problema saúde apresentação fazer janeiro cantor haver cancelar longo turnê fazer estados unidos mãe doente years refusal lançar fevereiro nono recente trabalho solo vocalista britânico ano cantor brasil último magazine luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Internado com pneumonia e desidratação, Niemeyer apresenta melhora","Agencia EFE Rio de Janeiro, 4 mai (EFE).- O arquiteto brasileiro Oscar Niemeyer, internado há dois dias com sintomas de pneumonia e desidratação, apresentou uma melhora em seu estado de saúde, informaram nesta sexta-feira fontes médicas. Após realizar uma visita ao paciente, o médico Fernando Gjorup disse que constatou melhoras no quadro clínico de Niemeyer. 'Ele continua recebendo tratamento com antibióticos intravenosos e soro', informou o último boletim médico. O arquiteto ingressou no hospital Samaritano do Rio de Janeiro na noite da última quarta-feira. Niemeyer, de 104 anos, 'está lúcido' e respira sem precisar de aparelhos, disse o comunicado. A nota ainda informou que não serão divulgados novos boletins até a próxima segunda-feira. Em abril de 2010, Niemeyer foi internado pela última vez por causa de uma infecção urinária e permaneceu por doze dias no hospital. EFE Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",agencia efe rio janeiro mai efe arquiteto brasileiro oscar niemeyer internar dia sintoma pneumonia desidratação apresentar melhora saúde informar feira fonte médico realizar visita paciente médico fernando gjorup dizer constatar melhora quadro clínico niemeyer continuar receber tratamento antibiótico intravenoso soro informar boletim médico arquiteto ingressar hospital samaritano rio janeiro noite último feira niemeyer ano lúcido respirar precisar aparelho dizer comunicado nota informar ser divulgar boletim feira abril niemeyer internar último causa infecção urinário permanecer dia hospital efe magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Oscar Niemeyer está com pneumonia e desidratado, diz hospital","Do G1 RJ O arquitetoOscar Niemeyer,de 104 anos, deu entrada no Hospital Samaritano, em Botafogo, na Zona Sul do Rio, com um quadro de pneumonia e desidratação, segundo informou boletim divulgado nesta quinta-feira (3). Niemeyer está internado desde quarta-feira (2) e seu estado clínico é considerado estável, mas inspira cuidados, segundo o médico Fernando Gjorup. O arquiteto está na Unidade Intermediária (UI) e recebe tratamento com antibiótico venoso e soro. Ele está lúcido e respira sem a ajuda de aparelhos. O novo boletim sobre o estado de saúde do paciente deve ser divulgado na sexta-feira (4). Em abril de 2011, o arquiteto passou 12 dias internado também no Samaritano, por causa de uma infecção urinária.   Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",arquitetooscar niemeyer ano dar entrada hospital samaritano botafogo zona sul rio quadro pneumonia desidratação informar boletim divulgar feira niemeyer internado feira clínico considerar estável inspirar cuidar médico fernando gjorup arquiteto unidade intermediário receber tratamento antibiótico venoso sorar lúcido respirar ajuda aparelho boletim saúde paciente divulgar feira abril arquiteto passar dia internar samaritano causa infecção urinário magazine luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Reginaldo Faria tem leve pneumonia e segue internado, diz hospital","Do G1 Rio O ator Reginaldo Faria foi diagnosticado com leve pneumonia na manhã desta terça-feira (27). Ele deu entrada no Hospital Pró-Cardíaco, em Botafogo, Zona Sul do Rio, por volta das 10h30. Segundo a assessoria de imprensa do hospital, o ator continua no setor de emergência e deve permanecer para cuidados. Ele está acompanhado da mulher Vânia Dotto. O ator está escalado para a nova novela das 18h, Joia Rara. Reginaldo Faria dá vida ao personagem Venceslau. Reginaldo Faria é pai do também ator Marcelo Faria. Ação visa proteger os consumidores de produtos ilegais, diz delegada.
Operação aconteceu no Mercadão de Madureira. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",rio ator reginaldo faria diagnosticar leve pneumonia manhã terça feira dar entrada hospital pró cardíaco botafogo zona sul rio volta assessoria imprensa hospital ator continuar setor emergência permanecer cuidado acompanhado mulher vânio dottar ator escalado novela joia raro reginaldo faria vida personagem venceslau reginaldo faria pai ator marcelo fazer ação visar proteger consumidor produto ilegal delegado operação acontecer mercadão madureira magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
