Titulo,Corpo,tokens
Tire suas dúvidas sobre tuberculose,"Do G1 Rio Quem tem dúvidas a respeito de tuberculose pode enviar seus questionamentos para o médico Luís Fernando Corrêa. O especialista vai responder perguntas sobre o tema no RJTV 1ª edição nesta quarta-feira (23). Deixe sua dúvida na área de comentários, no final desta reportagem. Não esqueça de deixar seu nome e também o bairro onde mora. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",rio dúvida respeito tuberculose enviar questionamento médico luís fernando corrêa especialista responder pergunta tema rjtv edição feira deixar dúvida comentário reportagem esquecer deixar nome bairro morar magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Dracena realiza campanha contra tuberculose,"Vinícius PachecoDo G1 de Presidente Prudente A Vigilância Epidemiológica deDracenarealiza a partir desta segunda-feira (11) nova campanha contra a tuberculose respiratória em todo a cidade. Os agentes comunitárias e de vetores já distribuem panfletos pela cidade e orientam sobre sintomas e formas de tratamento. Segundo a subchefe de notificação de doenças, Cristiane da Silva, quem tiver com tosse por mais de três semanas, febre e suor noturno deve se apresentar ao Centro de Saúde Takashi Enokibara, localizado na rua Espírito Santo, 135, no Bairro Metrópole, para passar por uma triagem. “É importante comparecer ao local para realizar o exame de escarro e identificar a doença. Muitas pessoas não sabem que estão com tuberculose”, afirma. A partir da confirmação, o paciente será orientado e passará por um infectologista para análise do caso. Realizado o exame clínico, começará o tratamento de seis meses com medicamentos. “Depois disso, o doente não transmite mais a tuberculose, o que evita novos casos”, comenta Silva. Em março já foi realizada uma campanha para combater a doença. Esta segunda edição vai até o dia 22 deste mês. Motorista perdeu o controle da direção e veículo caiu em um córrego.
Acidente foi neste domingo (20) em uma estrada vicinal de Dracena. Acidente aconteceu na madrugada deste domingo (20) no Bairro Metrópole.
Motorista do automóvel não sofreu ferimentos. ",vinícius pachecodo presidente prudente vigilância epidemiológico dedracenarealizar feira campanha tuberculose respiratór cidade agente comunitário vetor distribuir panfleto cidade orientar sintoma forma tratamento subchefe notificação doença cristiane silva ter tosse semana febre suor noturno apresentar centro saúde takashi enokibara localizar rua espírito santo bairro metrópole passar triagem importante comparecer realizar exame escarro identificar doença muito pessoa saber tuberculose afirmar confirmação paciente ser orientar passar infectologista análise caso realizar exame clínico começar tratamento medicamento doente transmitir tuberculose evitar caso comentar silva março realizar campanha combater doença edição motorista perder controle direção veículo cair córrego acidente domingo estrada vicinal dracena acidente acontecer madrugada domingo bairro metrópole motorista automóvel sofrer ferimento
Vacina contra a tuberculose é oferecida em maternidades,"Do G1 SE Atualmente, a tuberculose já tem cura. Ela é uma doença contagiosa, transmitida por meio da saliva ou objetos contaminados. Sem diagnóstico ou tratamento adequado, a doença pode causar óbito ou deixar sérias sequelas no paciente. Desde 1976, o Ministério da Saúde adota a obrigatoriedade da vacina para crianças menores de um ano. De acordo com a coordenadora do Programa Municipal de Imunização da Saúde de Aracaju, Débora Moura, a vacina deve ser aplicada em recém-nascidos com peso igual ou superior a dois quilos, ainda na maternidade. “Em Aracaju a BCG é oferecida em todas as maternidades públicas e privadas através do ‘Programa Corujinha’, que é realizado pela Saúde de Aracaju, aplicamos as vacinas diariamente. Este ano já foram aplicadas 852 doses, o que corresponde a 97,33%. Ou seja, já ultrapassamos a meta estimulada pelo Ministério da Saúde que é de 90%”, diz.Débora Moura ainda explica que a vacina não protege contra a tuberculose pulmonar como muitos acreditam. “Ela confere uma imunidade contra as formas graves de tuberculose: a tuberculose visceral, óssea e meningite tuberculosa. A vacina BCG é importante para conferir imunidade nos comunicantes intradomicilares de pacientes com hanseníase, e é contraindicada durante a gravidez e em casos de imunodeficiência congênita ou adquirida”, afirma. Não haverá atendimento externo nos dias 29 e 30 de dezembro.
Case retornará às atividades normais a partir de 04 de janeiro de 2016. Religiosos e voluntários poderão fazer o trabalho de evangelização.
Convênio é entre a Sejuc, o SSP, TJSE e Arquidiocese de Aracaju. ",atualmente tuberculose cura doença contagioso transmitir salivo objeto contaminar diagnóstico tratamento adequado doença causar óbito deixar sério sequela paciente ministério saúde adotar obrigatoriedade vacina criança pequeno ano acordo coordenadora programa municipal imunização saúde aracaju déborar moura vacina aplicar recém nascir peso igual alto quilo maternidade aracaju bcg oferecir maternidade público privar programa corujir realizar saúde aracaju aplicar vacina diariamente ano aplicar dose corresponder ser ultrapassar meta estimular ministério saúde débora moura explicar vacina proteger tuberculose pulmonar acreditar conferir imunidade forma grave tuberculose tuberculose visceral óssea meningite tuberculoso vacina bcg importante conferir imunidade comunicante intradomicilar paciente hanseníase contraindicar durante gravidez caso imunodeficiência congênito adquirir afirmar haver atendimento externo dia dezembro case retornar atividade normal janeiro religioso voluntário poder trabalho evangelização convênio sejuc ssp tjse arquidiocese aracaju
Campanha contra a tuberculose é realizada em Tatuí,"Do G1 Itapetininga e Região  Até o próximo 24 de março é realizada uma campanha de prevenção e combate à tuberculose emTatuí(SP). Exames gratuitos para o diagnóstico da doença estão disponíveis em todas as unidades de saúde do município. De acordo com a Secretaria de Saúde, a campanha de busca ativa para detecção de novos casos da doença tem o objetivo de atender principalmente as pessoas que têm alguma dificuldade respiratória. Além do chamado exame do escarro, os pacientes recebem também panfletos informativos. Em caso de diagnóstico positivo, o morador será encaminhado para tratamento médico especializado e gratuito. Um dos sintomas da tuberculose é tosse por mais de duas semanas, acompanhada ou não de febre. Em geral, a doença contagiosa, causada por uma bactéria conhecida como bacilo de Koch, também gera emagrecimento e perda de apetite. A transmissão ocorre pelo ar, especialmente em locais com aglomerações e pouca ventilação. A coordenadora da Vigilância Epidemiológica, Marilu Rodrigues da Costa, alerta que a tuberculose ainda é um sério problema de saúde pública no Brasil. “É importante que as pessoas estejam atentas aos sintomas da tuberculose e procurem orientação. A doença é perfeitamente curável, desde que o tratamento com medicação seja seguido à risca e durante o período determinado pelo médico”, explica. Mais informações podem ser obtidas pelo telefone (15) 3259-6358.  Suspeitas tinham cocaína, maconha e crack quando foram abordadas.
Trio estava na Rua Sargento João Batista de Miranda, no Jardim Europa. Ação é feita em três modalidades diferentes.
Região tem sedes em Itapetininga e Tatuí. Evento terá realizada a 1ª Copa do Mundo de Equitação de Trabalho.
Atrações têm entrada gratuita de sexta-feira (11) a domingo (13). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",itapetininga região março realizar campanha prevenção combate tuberculose emtatuí exame gratuito diagnóstico doença disponível unidade saúde município acordo secretaria saúde campanha busca ativo detecção caso doença objetivo atender principalmente pessoa algum dificuldade respiratório chamado exame escarro paciente receber panfleto informativo caso diagnóstico positivo morador ser encaminhar tratamento médico especializar gratuito sintoma tuberculose tosse semana acompanhar febre doença contagioso causar bactéria bacilo koch gerar emagrecimento perda apetite transmissão ocorrer especialmente local aglomeração ventilação coordenadora vigilância epidemiológicar marilu rodrigue costa alertar tuberculose sério problema saúde público brasil importante pessoa estar atenta sintoma tuberculose procur orientação doença perfeitamente curável tratamento medicação ser seguir risca durante período determinar médico explicar informação obter telefone suspeita ter cocaína maconho crack abordar trio rua sargento joão batista miranda jardim europa ação fazer modalidade diferentes região sede itapetininga tatuí evento ter realizar copa mundo equitação trabalho atração entrada gratuito feira domingo magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Campanha de prevenção à tuberculose é realizada em Tatuí,"Do G1 Itapetininga e Região  A Secretaria da Saúde deTatuí(SP) realiza até a próxima segunda-feira (18) uma campanha de orientação e prevenção a tuberculose. Durante os próximos dias, todos os postos de saúde da cidade vão realizar testes nas pessoas com suspeita da doença. De acordo com a coordenadora da Vigilância Epidemiológica, Marilu Costa, o diagnóstico precoce é muito importante para começar o tratamento. “Quanto antes a doença for descoberta é melhor para começar o combate a bactéria”, explica. Segundo o médico fisiologista, Vidal Camargo Barros, o tratamento contra a tuberculose dura seis meses e é muito importante que o paciente não desista no meio. “Com o tratamento nós conseguimos eliminar o bacilo que causa a doença. Os pacientes devem ir ao médico a cada 30 dias para refazer exames e ser acompanhado por um especialista”, afirma. O servente de pedreiro Agnaldo Souza Leite entrou no quarto mês de tratamento contra a tuberculose. Quando ele descobriu que estava doente perdeu peso, teve febre , tossia muito e perdeu as forças. “Para ficar melhor preciso concluir o tratamento. É muito importante para ficar 100% curado”, diz. A TuberculoseEntre os principais sintomas causados pela tuberculose estão: a falta de apetite, fadiga, tosse por mais de três semanas, dores no peito, tosse com excreção de sangue, suor noturno e palidez. A doença é transmitida pelo ar, então autoridades no assunto orientam para que pessoas próximas à vítimas da tuberculose, mesmo que não apresente os sinais da doença, façam os exames. A tuberculose, transmitida pelo Mycobacterium tuberculosis, o bacilo de Koch, é provavelmente a doença infecto-contagiosa que mais ocasiona mortes no Brasil. Estima-se, ainda, que mais ou menos 30% da população mundial estejam infectados, embora nem todos venham a desenvolver a doença.  Suspeitas tinham cocaína, maconha e crack quando foram abordadas.
Trio estava na Rua Sargento João Batista de Miranda, no Jardim Europa. Ação é feita em três modalidades diferentes.
Região tem sedes em Itapetininga e Tatuí. Evento terá realizada a 1ª Copa do Mundo de Equitação de Trabalho.
Atrações têm entrada gratuita de sexta-feira (11) a domingo (13). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",itapetininga região secretaria saúde detatuí realizar feira campanha orientação prevenção tuberculose durante próximo dia posto saúde cidade realizar teste pessoa suspeita doença acordo coordenadora vigilância epidemiológicar marilu costa diagnóstico precoce importante começar tratamento doença descobrir bom começar combate bactéria explicar médico fisiologista vidal camargo barro tratamento tuberculose durar importante paciente desista tratamento conseguir eliminar bacilo causar doença paciente médico dia refazer exame acompanhar especialista afirmar servente pedreiro agnaldo souza leite entrar tratamento tuberculose descobrir doente perder peso febre tossio perder força ficar bom preciso concluir tratamento importante ficar curar tuberculoseentre principal sintoma causar tuberculose apetite fadiga tor semana dor peito tor excreção sangue suor noturno palidez doença transmitir autoridade assunto orientar pessoa próximo vítima tuberculose apresente sinal doença façam exame tuberculose transmitir mycobacterium tuberculosi bacilo koch provavelmente doença infecto contagioso ocasionar morte brasil estimar população mundial estar infectado vir desenvolver doença suspeito ter cocaína maconho crack abordar trio rua sargento joão batista miranda jardim europa ação fazer modalidade diferentes região sede itapetininga tatuí evento ter realizar copa mundo equitação trabalho atração entrada gratuito feira domingo magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Campanha contra a tuberculose é realizada em Laranjal Paulista, SP","Do G1 Itapetininga e Região No próximo sábado (24) é o Dia Mundial da Tuberculose. EmLaranjal Paulista(SP), a Secretaria da Saúde está com a campanha de alerta, prevenção e tratamento da doença. Dentro das atividades dos Postos de Saúde é realizada a busca ativa, que consiste em procurar possíveis suspeitos por meio das pré-consultas, encaminhando os pacientes para avaliação médica e posteriormente aos exames complementares para diagnóstico definitivo. A Tuberculose tem cura, desde que o paciente inicie e não interrompa o tratamento, aguardando a confirmação médica da cura total. A transmissão da Tuberculose acontece de pessoa para pessoa através de espirros, tosses, onde se expele as bactérias que podem ser aspiradas por outras pessoas. Ela ataca principalmente os pulmões, mas pode também ocorrer em outras partes do corpo, como ossos, rins e meninges. Os sintomas da doença são tosse por mais de três semanas com ou sem catarro, acompanhada de falta de apetite, perda de peso, cansaço, dor no peito, febre no fim do dia e suor noturno. Suspeito de 24 anos estava com outras duas pessoas dentro do veículo.
Ação aconteceu na Vila Zalla, segundo a polícia. Vítima foi amarrada e ameaçada de morte pelos suspeitos durante a ação.
Propriedade rural fica próxima à estrada municipal de Laranjal Paulista (SP). Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",itapetininga região sábado mundial tuberculose emlaranjal paulista secretaria saúde campanha alerta prevenção tratamento doença atividade posto saúde realizar busca ativo consistir procurar possível suspeito pré consulta encaminhar paciente avaliação médico posteriormente exame complementar diagnóstico definitivo tuberculose cura paciente inicie interrompa tratamento aguardar confirmação médico cura total transmissão tuberculose acontecer pessoa pessoa espirro tosse expele bactéria aspirar pessoa atacar principalmente pulmão ocorrer parte corpo osso rim meninges sintoma doença tor semana catarro acompanhar apetite perda peso cansaço dor peito febre suor noturno suspeito ano pessoa veículo ação acontecer vila zaller polícia vítima amarrar ameaçar morte suspeito durante ação propriedade rural ficar estrada municipal laranjal paulista magazine luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Campanha contra tuberculose é realizada em Tatuí, SP","Do G1 Itapetininga e Região  Começou nesta segunda-feira (5) a segunda edição anual de combate à tuberculose. As ações de orientação serão realizadas nas unidades de saúde. O município segue o calendário de combate à doença lançado pelo Ministério da Saúde que prevê campanha de alerta à população. O objetivo da campanha é detectar novos casos de tuberculose. Os exames serão realizados em todas as Unidades Básicas de Saúde. Das 8h às 16h as pessoas poderão realizar exames de escarro, além de receberem panfletos com mensagens de alerta sobre a tuberculose. De a doença for diagnóstica, o paciente será encaminhado para tratamento médico especializado. PrêmioA Secretaria de Saúde recebeu o “Prêmio de Qualidade nas Ações de Controle da Tuberculose”. O prêmio é oferecido pelo Programa Estadual de Controle da Tuberculose do Estado de São Paulo, concedida à Vigilância Epidemiológica do município pelo índice de cura da doença de pacientes tratados na rede municipal de saúde no ano de 2011. O prêmio é dado aos municípios que apresentaram cura de no mínimo 85% dos pacientes que iniciaram o tratamento, caso de Tatuí, que notificou 23 casos de tuberculose sendo 20 deles curados, totalizando 86,9% de cura. De acordo com a enfermeira Marilu Rodrigues da Costa, da Vigilância Epidemiológica, o principal fator para a conquista do prêmio são as campanhas de conscientização contra a doença, pois por meio delas são detectados novos casos. “Com isso, o tratamento é iniciado o mais rápido possível, tendo uma chance maior de cura. As campanhas são realizadas duas vezes ao ano. Neste ano, a primeira ocorreu em março. Já a segunda será neste mês de novembro”, diz. DoençaNo Brasil a tuberculose é a terceira causa de óbitos por doenças infecciosas e a que mais causa mortes em pacientes com HIV-Aids, segundo dados do Ministério da Saúde. O agente etiológicoM. tuberculosisconhecido como bacilo de Koch (BK) é responsável por causar infecção no pulmão e outros órgãos, levando a sintomas como tosse (mais de duas semanas), febre, falta de apetite, suor noturno, cansaço, falta de ar e emagrecimento rápido. Para ler mais notícias doG1 Itapetininga e Região, clique emg1.globo.com/sao-paulo/itapetininga-regiao. Siga também oG1 Itapetininga e RegiãonoTwittere porRSS. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",itapetininga região começar feira edição anual combate tuberculose ação orientação ser realizar unidade saúde município seguir calendário combate doença lançar ministério saúde prever campanha alerta população objetivo campanha detectar caso tuberculose exame ser realizar unidade básico saúde pessoa poder realizar exame escarro receber panfleto mensagem alerta tuberculose doença diagnósticar paciente ser encaminhar tratamento médico especializar prêmioa secretaria saúde receber prêmio qualidade ação controle tuberculose prêmio oferecer programa estadual controle tuberculose paulo conceder vigilância epidemiológico município índice cura doença paciente tratar rede municipal saúde ano prêmio dar município apresentar cura pequeno paciente iniciar tratamento caso tatuí notificar caso tuberculose ser de ele curados totalizar cura acordo enfermeira marilu rodrigue costa vigilância epidemiológicar principal fator conquista prêmio campanha conscientização doença de elas detectar caso tratamento iniciar rápido ter chance cura campanha realizar ano ano ocorrer março ser novembro doençano brasil tuberculose causa óbito doença infeccioso causar morte paciente hiv aids dado ministério saúde agente etiológicom tuberculosisconhecir bacilo koch responsável causar infecção pulmão órgão levar sintoma tor semana febre apetite suor noturno cansaço emagrecimento rápido ler notícia dog itapetininga região clique emg globo sao paulo itapetininga regiao sigar itapetininga regiãonotwittere porrs magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
"Campanha contra a tuberculose é realizada em Cerquilho, SP","Do G1 Itapetininga e Região Até o próximo dia 17, os moradores deCerquilho, no interior de São Paulo, poderão participar da campanha de alerta contra a tuberculose. O município segue o calendário de combate a doença lançado pelo Ministério da Saúde que prevê ações de orientações à população. Segundo a Secretaria de Saúde de Cerquilho, os moradores que tiverem tosse com catarro por mais de três semanas, devem procurar a Unidade Básica do Centro da cidade, das 12h30 às 16h para fazer exames. A tuberculose é uma doença causada por uma bactéria que ataca principalmente os pulmões, mas pode também ocorrer em outras partes do corpo como ossos, pele, rins e meninges (as membranas que envolvem o cérebro). A contaminação ocorre de pessoa para pessoa de forma direta. Ao espirrar ou tossir, o doente expele as bactérias nas pequenas gotas de saliva, que podem ser aspiradas por outra pessoa, contaminando-a. Além da tosse com catarro por período prolongado, outros sintomas são falta de apetite, emagrecimento, dor no peito, suores noturnos, cansaço fácil e febre baixa, principalmente à tarde. A tuberculose tem cura, mas o tratamento deve ser feito por um período mínimo de 6 meses, diariamente e sem nenhuma interrupção. Segundo o Ministério da Saúde, a tuberculose é a terceira causa de óbitos por doenças infecciosas e a que mais causa mortes em pacientes com HIV-Aids. O agente etiológico M. tuberculosis conhecido como bacilo de Koch (BK) é responsável por causar infecção no pulmão e outros órgãos. Toda família da pessoa doente e aqueles com quem teve contato mais próximo, precisam ser examinados. Cadáver foi encontrado a 4 km de distância do local em que jovem sumiu.
Vítima estava desaparecida desde sábado (19), diz Corpo de Bombeiros. Bombeiros procuram pelo jovem ou corpo desde sábado (19).
Ele nadava com um amigo antes de desaparecer, diz corporação. Magazine Luiza Philips 5100 Series LED 43 pol... 10 x R$149,90 Magazine Luiza Microondas Midea Desea MYAG3 10 x R$164,99 Fnac.com Microsoft Xbox One X 10 x R$349,90 Magazine Luiza Acer Aspire VX5-591G-54PG Note... 10 x R$399,90 Fnac.com Tectoy Master System Evolution 5 x R$43,80 ",itapetininga região morador decerquilho interior paulo poder participar campanha alerta tuberculose município seguir calendário combate doença lançar ministério saúde prever ação orientação população secretaria saúde cerquilho morador tiver tosse catarro semana procurar unidade básico centro cidade exame tuberculose doença causar bactéria atacar principalmente pulmão ocorrer parte corpo osso pele rim meninges membrana envolver cérebro contaminação ocorrer pessoa pessoa direto espirrar tossir doente expele bactéria pequeno gota salivo aspirar pessoa contaminar tosse catarro período prolongar sintoma apetite emagrecimento dor peito suor noturno cansaço fácil febre baixo principalmente tuberculose cura tratamento fazer período mínimo diariamente interrupção ministério saúde tuberculose causa óbito doença infeccioso causar morte paciente hiv aids agente etiológico tuberculosi bacilo koch responsável causar infecção pulmão órgão família pessoa doente contato precisar examinar cadáver encontrar distância jovem sumir vítima desaparecido sábado corpo bombeiro bombeiro procurar jovem corpo sábado nadar amigo desaparecer corporação magaziner luiza philip serie led pol magaziner luizar microondas midea desea myag fnac microsoft xbox one magaziner luizar acer aspire note fnac tectoy master systir evolution
Título não encontrado,"Por G1 Caruaru 19/03/2019 11h23Atualizadohá 6 anos Programação vai contar com rodas de conversa sobre a doença, diagnóstico e tratamento nas 24 unidades de saúde — Foto: Émerson Thiago/Divulgação Nesta terça-feira (19), a Secretaria de Saúde da Prefeitura deArcoverde, no Sertão de Pernambuco, deu início à Semana da Campanha Contra a Tuberculose. A programação vai contar com rodas de conversa sobre a doença, diagnóstico e tratamento nas 24 unidades de saúde, além de disponibilizar informações sobre sinais e sintomas. O Dia D da campanha acontece no dia 26, no Centro de Saúde da Mulher, localizado na Praça Presidente Kennedy, no bairro do São Cristóvão, das 18h às 20h. A campanha, vai até o dia 28 de março. Veja também     Trump dobra tarifas sobre o aço, de 25% para 50%; Brasil será afetado Rafa Kalimann e Nattanzinho anunciam que estão à espera do 1º filho Qual é o cachê de Safadão e outras estrelas do São João? Veja ranking Haddad diz que apresenta na próxima semana alternativas à alta do IOF Homem achado morto em buraco em SP não tinha marca de agressão PGR pede prisão de Zambelli, que deixou o Brasil após ser condenada Zambelli diz que quer viver na Europa, mas não revela onde está Democracia saberá se defender de 'inimigos nacionais ou internacionais', diz Moraes ",caruaru hatualizadohá ano programação contar roda conversa doença diagnóstico tratamento unidade saúde foto émerson thiago divulgação terça feiro secretaria saúde prefeitura dearcoverde sertão pernambuco dar início semana campanha tuberculose programação contar roda conversa doença diagnóstico tratamento unidade saúde disponibilizar informação sinal sintoma campanha acontecer centro saúde mulher localizar praça presidente kennedy bairro cristóvão campanha março trump dobrar tarifa aço brasil ser afetar rafar kalimann nattanzinho anunciar espera filho cachê safadão estrela joão ranking haddad apresentar semana alternativa alta iof homem achar matar buraco ter marca agressão pgr pedir prisão zambelli deixar brasil condenar zambelli viver europa revelar democracia saber defender inimigo nacional internacional moraes
Campanha de Combate à Tuberculose é lançada em Rondônia,"Hosana MoraisDo G1 RO A campanha em combate a Tuberculose foi lançada na manhã desta terça-feira (17) em todo o estado deRondônia. De acordo a Agência Estadual de Vigilância em Saúde (Agevisa) a campanha tem como tema 'Tuberculose - Testar,Tratar,Vencer' e segue até o fim de novembro. De acordo com a gerente técnica do setor de Vigilância Epidemiológica, Carmelita Ribeiro o objetivo da campanha é informar que a Tuberculose tem cura e o tratamento pode ser realizado sem custo algum. ""É sempre importante divulgar que o teste para constatar a doença e o tratamento são realizados na rede estadual de saúde. Os remédios também são disponibilizados"", explicou a gerente. Segundo Carmelita em todo o Estado de Rondônia 119 pessoas abandonaram o tratamento antes da hora o que não é aconselhável. ""Eles começam a se sentir bem e já deixam de tomar o remédio dificultando assim a cura total da doença, portanto nossa campanha enfatizar que é bom terminar o ciclo de tratamento"". A Agevisa constatou que no ano de 2014 foram diagnosticados 735 casos. Curados foram 431 casos e 10 pessoas foram a óbito por conta da doença. Na cidade dePorto Velhoforam diagnosticados 415 sendo que três morreram por conta da Tuberculose. A segunda cidade com mais casos registrados e a deAriquemescom 39 diagnósticos. Em cada cidade do estado estarão sendo distribuídos cartazes com informações dos sintomas, tratamento e cura da doença em todas as unidades de pronto-atendimento. O objetivo é conscientizar a população sobre a importância de procurar os postos de saúde assim que apresentar os primeiros sintomas.  O teste rápido para diagnosticar a doença é realizado em todo a rede estadual de saúde. Os principais sintomas da doença são: febre, tosse por mais de 4 semanas cansaço fácil, falta de apetite e emagrecimento. O tratamento dura em média 6 meses. ",hosano moraisdo campanha combate tuberculose lançar manhã terça feira derondônia acordo agência estadual vigilância saúde agevisar campanha tema tuberculose testar tratar vencer seguir novembro acordo gerente técnico setor vigilância epidemiológico carmelita ribeiro objetivo campanha informar tuberculose cura tratamento realizar custo algum importante divulgar teste constatar doença tratamento realizar rede estadual saúde remédio disponibilizar explicar gerente carmelita rondônia pessoa abandonar tratamento hora aconselhável começar sentir deixar tomar remédio dificultar cura total doença campanha enfatizar terminar ciclo tratamento agevisa constatar ano diagnosticar caso curar caso pessoa óbito conta doença cidade deporto velhofor diagnosticar ser morrer conta tuberculose cidade caso registrar deariquemescom diagnóstico cidade estar ser distribuír cartaz informação sintoma tratamento cura doença unidade pronto atendimento objetivo conscientizar população importância procurar posto saúde apresentar primeiro sintoma teste rápido diagnosticar doença realizar rede estadual saúde principal sintoma doença febre tosse semana cansaço fácil apetite emagrecimento tratamento durar média
