Tweet ID,Content,Date,clean_tweet,language,tokens
1925332133431693586,"@Ev_dutra @kleriene18 Minha mãe ouviu do pediatra que eu tive pneumonia silenciosa, por isso foi tão difícil o diagnóstico. 

O que eu tinha: crises fortes de asma. Catarro, Amoxicilina não fazia efeito. De Setembro a Abril, só não parei na emergência em janeiro. Respirava fundo e sentia dor forte","May 21, 2025 at 11:25 PM", minha mãe ouviu do pediatra que eu tive pneumonia silenciosa por isso foi tão difícil o diagnóstico o que eu tinha crises fortes de asma catarro amoxicilina não fazia efeito de setembro a abril só não parei na emergência em janeiro respirava fundo e sentia dor forte,pt,mãe ouvir pediatra pneumonia silencioso difícil diagnóstico ter crise forte asma catarro amoxicilina efeito setembro abril par emergência janeiro respirar fundo senter dor forte
1925317415358923263,"eu tenho alergia a dipirona, ibuprofeno, paracetamol, amoxicilina, piroxican, tenoxican, cetoprofeno, nimesulida, aas, ácido mefenâmico e algumas outras coisas aí","May 21, 2025 at 10:26 PM",eu tenho alergia a dipirona ibuprofeno paracetamol amoxicilina piroxican tenoxican cetoprofeno nimesulida aas ácido mefenâmico e algumas outras coisas aí,pt,alergia dipirona ibuprofeno paracetamol amoxicilina piroxican tenoxican cetoprofeno nimesulida aas ácer mefenâmico coisa
1925313706482602005,"@inesdealmeida90 Crianças criadas em estufas, sem imunidade, sem contato com vegetação, terra, animais, vento, sol, chuva, poeira, vento. Não criam defesas fortes. São polivacinadas. Já nascem a tomar com cargas de paracetamol, metamizol e solução oral de amoxicilina …","May 21, 2025 at 10:12 PM", crianças criadas em estufas sem imunidade sem contato com vegetação terra animais vento sol chuva poeira vento não criam defesas fortes são polivacinadas já nascem a tomar com cargas de paracetamol metamizol e solução oral de amoxicilina …,pt,criança criar estufa imunidade contato vegetação terra animal vento sol chuva poeiro vento criar defesa forte polivacinar nascer tomar carga paracetamol metamizol solução oral amoxicilina
1925309752046747914,"@Tatiic meninaa, vivi isso por duas semanas até descobrir que era sinusite, amém amoxicilina e acetilcisteína que me salvaram kkkkk","May 21, 2025 at 09:56 PM", meninaa vivi isso por duas semanas até descobrir que era sinusite amém amoxicilina e acetilcisteína que me salvaram ,pt,meninaa vivir semana descobrir sinusite amém amoxicilino acetilcisteína salvar
1925269657331679536,tenho ódio de gente que fica vendo vídeo sem fone no ônibus,"May 21, 2025 at 07:17 PM",tenho ódio de gente que fica vendo vídeo sem fone no ônibus,pt,ódio gente ficar ver vídeo fone ônibus
1925268170467594473,Meu pai perguntando se já eparei os restaurantes bons e passeios legais para férias e eu tendo a maior crise dos 20 já vista,"May 21, 2025 at 07:11 PM",meu pai perguntando se já eparei os restaurantes bons e passeios legais para férias e eu tendo a maior crise dos  já vista,pt,pai perguntar epar restaurante bom passeio legal férias ter crise ver
1925235212746678508,"@pontinisandra Levar isso na farmácia e lá ta escrito 
Dipirona
Paracetamol 
E amoxicilina","May 21, 2025 at 05:00 PM", levar isso na farmácia e lá ta escrito dipirona paracetamol e amoxicilina,pt,levar farmácia escrito dipironar paracetamol amoxicilino
1925200267378557338,"@madeinbajor eu só tive sinusite uma vez na minha vida. não conseguia parar de tossir, saia catarro até pelos meus olhos, foi horrível. tive que tomar dez dias se não me engano daquela amoxicilina fodona pra porra, amoxicilina com potassio. no terceiro dia minha boca tava toda machucada ja","May 21, 2025 at 02:41 PM", eu só tive sinusite uma vez na minha vida não conseguia parar de tossir saia catarro até pelos meus olhos foi horrível tive que tomar dez dias se não me engano daquela amoxicilina fodona pra porra amoxicilina com potassio no terceiro dia minha boca tava toda machucada ja,pt,sinusite vida conseguir parar tossir saia catarro olho horrível tomar dia engano amoxicilino fodonar porra amoxicilino potassio boca tar machucar
1925193631909965891,"@felipses_ A maior que temos, literalmente quebrando todo mundo do soco onde todos só brigam de espada.","May 21, 2025 at 02:15 PM", a maior que temos literalmente quebrando todo mundo do soco onde todos só brigam de espada ,pt,literalmente quebrar mundo soco brigar espar
1925177804317978677,"@madeinbajor Eu tava com uma crise de sinusite, tava dando toda hora, um dia peguei uma gripe forte horrenda, o médico me passou amoxicilina com clavulanato pqp nunca mais voltou a sinusite","May 21, 2025 at 01:12 PM", eu tava com uma crise de sinusite tava dando toda hora um dia peguei uma gripe forte horrenda o médico me passou amoxicilina com clavulanato pqp nunca mais voltou a sinusite,pt,tar crise sinusite tar dar hora peguei gripe forte horrendo médico passar amoxicilina clavulanato pqp voltar sinusite
1925162030534734325,"@VidasAnimales @manzano1011 🔴 ¿QUÉ CURA LA AMOXICILINA EN PERROS? DOSIS, USOS Y CÓMO DARLA CORRECTAMENTE 🔴
https://t.co/CqtswDep7F","May 21, 2025 at 12:09 PM", ¿qué cura la amoxicilina en perros dosis usos y cómo darla correctamente ,pt,qué cura amoxicilino perros dosi uso cómo darlar correctamente
1925161524974247984,"@Ana_Cadeira Verdade amiga, refletindo agora se vale a pena pra mim fazer só o bacharel mesmo","May 21, 2025 at 12:07 PM", verdade amiga refletindo agora se vale a pena pra mim fazer só o bacharel mesmo,pt,verdade amigo refletir valer pena eu bacharel
1925126148465254750,"Já acordei tomando meu coquetelzinho da gripe e da garganta: vitamina C, amoxicilina e cimegripe, quero ver não ficar boa logo","May 21, 2025 at 09:46 AM",já acordei tomando meu coquetelzinho da gripe e da garganta vitamina c amoxicilina e cimegripe quero ver não ficar boa logo,pt,acordar tomar coquetelzinho gripe garganta vitamina amoxicilino cimegripe ficar
1925003920599896421,"Percebendo que a licenciatura não faz sentido pra mim e para vida que eu quero, mas refletindo se meu medo de largar é maior do que a felicidade que vou sentir se tirar esse peso das costas","May 21, 2025 at 01:41 AM",percebendo que a licenciatura não faz sentido pra mim e para vida que eu quero mas refletindo se meu medo de largar é maior do que a felicidade que vou sentir se tirar esse peso das costas,pt,perceber licenciatura sentido eu vida refletir medo largar felicidade ir sentir tirar peso costa
1924995412164784419,"amoxicilina, dexilant, vonau e dipirona são itens essenciais de viagem inclusive viajo terça e já estou abastecida 🙏","May 21, 2025 at 01:07 AM",amoxicilina dexilant vonau e dipirona são itens essenciais de viagem inclusive viajo terça e já estou abastecida ,pt,amoxicilino dexilant vonau dipironar item essencial viagem viajo terça abastecido
1924841032522375381,"@aniegmars Tossiu? Azitromicina 
Deu um pouquinho de febre? Amoxicilina - clavulanato","May 20, 2025 at 02:53 PM", tossiu azitromicina deu um pouquinho de febre amoxicilina clavulanato,pt,tossiu azitromicina dar pouquinho febre amoxicilina clavulanato
1924824122380435662,nem a amoxicilina ta resolvendo minha dor de dente vou arrancar ele na faca eu mesma,"May 20, 2025 at 01:46 PM",em a amoxicilina ta resolvendo minha dor de dente vou arrancar ele na faca eu mesma,pt,amoxicilina resolver dor dente ir arrancar faca mesmo
1924651574694904020,"Já comecei a dar amoxicilina, ela chega está abatida 😔 Ainda bem que vou estar em casa amanhã pra cuidar dela ..","May 20, 2025 at 02:21 AM",já comecei a dar amoxicilina ela chega está abatida ainda bem que vou estar em casa amanhã pra cuidar dela ,pt,começar amoxicilina chegar abatido ir casa amanhã cuidar de ela
1924632657641504958,Top 1 piores escolhas que eu poderia ter feito hoje: tomar Amoxicilina de barriga vazia 😩😩,"May 20, 2025 at 01:05 AM",top  piores escolhas que eu poderia ter feito hoje tomar amoxicilina de barriga vazia ,pt,top piores escolha poder fazer hoje tomar amoxicilina barriga vazer
1924612051919413347,"em que posição vcs estão na minha lista de utteds crushs?

🥇 Hanbin utteds
🥈 Gunwook utteds
🥉 Taerae utteds
4° Matthew utteds
5° Jiwoong utteds
6° Ricky utteds
7° Hao utteds
8º Gyuvin utteds
9º Yujin utteds","May 19, 2025 at 11:44 PM",em que posição vcs estão na minha lista de utteds crushs hanbin utteds gunwook utteds taerae utteds ° matthew utteds ° jiwoong utteds ° ricky utteds ° hao utteds º gyuvin utteds º yujin utteds,no,vcs lista utteds crushs hanbin utteds gunwook utteds taerae utteds matthew utteds jiwoong utteds rickyr utteds hao utteds gyuvin utteds yujin utteds
1924601142710775868,4º dia pós cirurgia: não aguento mais sofrer tomando Amoxicilina,"May 19, 2025 at 11:00 PM",º dia pós cirurgia não aguento mais sofrer tomando amoxicilina,pt,pós cirurgia aguentar sofrer tomar amoxicilino
1924597246164693198,"Se não responderem logo aos currículos que eu mandei, vou começar a cobrar pra fazer puericultura em bebê reborn.","May 19, 2025 at 10:45 PM",se não responderem logo aos currículos que eu mandei vou começar a cobrar pra fazer puericultura em bebê reborn ,pt,responder currículo mandar ir começar cobrar puericultura bebê reborn
1924582813962997825,amoxicilina me deixa tão mansinho me sinto tão feliz tão leve tão contente as vezes eh tudo q um homem precisa mesmo,"May 19, 2025 at 09:47 PM",amoxicilina me deixa tão mansinho me sinto tão feliz tão leve tão contente as vezes eh tudo q um homem precisa mesmo,pt,amoxicilino deixar mansinho sinto feliz levar contente homem precisar
1924557062714863883,"@DivagoTM Normalmente não tomo nada mesmo, mas a opção é mais pelo amplo espectro da amoxicilina com clavulanato pra tudo que não seja ou SNC ou trato digestivo baixo (ou urina mas urina até vai)
Não temos fluclox aqui no Brasa. O ATB é mais pro E SE","May 19, 2025 at 08:05 PM", normalmente não tomo nada mesmo mas a opção é mais pelo amplo espectro da amoxicilina com clavulanato pra tudo que não seja ou snc ou trato digestivo baixo ou urina mas urina até vai não temos fluclox aqui no brasa o atb é mais pro e se,pt,normalmente tomo opção amplo espectro amoxicilina clavulanato ser snc trato digestivo urina urinar fluclox brasa atb pro
1924549811790877008,"Comprei meu kit drogas pra viagem pra Itália:

Duas caixas de flanax
14cp de amoxicilina+clavulanato (vai que)
1 cx de ondansetrona (VONAU TÁ CARO)
2 caixas de dipirona
1cx de plasil 
1cx de allegra
1cx de buscopam
1cx de dexilant

Melhor prevenir (com remédio) do que remediar","May 19, 2025 at 07:36 PM",comprei meu kit drogas pra viagem pra itália duas caixas de flanax cp de amoxicilina clavulanato vai que  cx de ondansetrona vonau tá caro  caixas de dipirona cx de plasil cx de allegra cx de buscopam cx de dexilant melhor prevenir com remédio do que remediar,pt,comprei kit droga viagem itália caixa flanax amoxicilina clavulanato ondansetronar vonau caro caixa dipirona plasil allegra buscopam dexilant bom prevenir remédio remediar
1924541285861314720,"foi uma paciente na UPA reclamando de gripe, aí a dra perguntou se ela tinha tomado alguma coisa, a querida “ah, aquilo q todo mundo toma né, amoxicilina…” a prof lançou um olhar tipo “us? a hug.” todo mundo qm mana","May 19, 2025 at 07:02 PM",foi uma paciente na upa reclamando de gripe aí a dra perguntou se ela tinha tomado alguma coisa a querida “ah aquilo q todo mundo toma né amoxicilina… a prof lançou um olhar tipo “us a hug todo mundo qm mana,pt,paciente upa reclamar gripe dra perguntar ter tomar algum querida mundo tomar amoxicilino prof lançar olhar hug mundo mana
1924513089996620012,para qué tener un mensaje sin ver? (pregunta real),"May 19, 2025 at 05:10 PM",para qué tener un mensaje sin ver pregunta real ,ca,qué tener mensaje sin pregunto real
1924462437996118047,"Hoje exerci meu papel de acompanhante no médico e quis dar um beijo já moça da farmácia quando ela me entregou uma pilha de remédios e em cima tinha uma caixa de amoxicilina, assim foi economizado cerca de 200 reais 🙏","May 19, 2025 at 01:49 PM",hoje exerci meu papel de acompanhante no médico e quis dar um beijo já moça da farmácia quando ela me entregou uma pilha de remédios e em cima tinha uma caixa de amoxicilina assim foi economizado cerca de  reais ,pt,hoje exerci papel acompanhante médico querer beijo moçar farmácia entregar pilha remédio ter caixa amoxicilina economizar cerca real
1924452060201709982,acordei com o estômago podre e a culpa é da bicha da amoxicilina,"May 19, 2025 at 01:08 PM",acordei com o estômago podre e a culpa é da bicha da amoxicilina,pt,acordar estômago podre culpa bicha amoxicilino
1924413434927489185,"5 dias já sem dormir direito por causa do meu siso inflamado, não queria tomar amoxicilina mas é a única solução https://t.co/tJrpDFvR9m","May 19, 2025 at 10:34 AM", dias já sem dormir direito por causa do meu siso inflamado não queria tomar amoxicilina mas é a única solução ,pt,dia dormir direito causa siso inflamar querer tomar amoxicilina único solução
1924404119348945250,"fui dormir com um incômodo em uma das narinas&gt;&gt;acordei com um incômodo na garganta&gt;&gt; de novo com um arranhão chatinho&gt;&gt;acordei no maior desconforto possível na garganta 

o pior disso é não poder fazer NADA contra isso (só entre o primeiro e o segundo sintoma tomar amoxicilina","May 19, 2025 at 09:57 AM",fui dormir com um incômodo em uma das narinas gt gt acordei com um incômodo na garganta gt gt de novo com um arranhão chatinho gt gt acordei no maior desconforto possível na garganta o pior disso é não poder fazer nada contra isso só entre o primeiro e o segundo sintoma tomar amoxicilina,pt,dormir incômodo narina acordei incômodo garganta arranhão chatinhar acordei desconforto garganta mau sintoma tomar amoxicilino
1924298395209912702,@temposdeglori EU NAO VOU TIRAR O AMOXICILINA DO NOME NAO BE EU SO FOI UMA DÚVIDA,"May 19, 2025 at 02:57 AM", eu nao vou tirar o amoxicilina do nome nao be eu so foi uma dúvida,pt,nao ir tirar amoxicilina nome nao dúvida
1924273553450348660,"@lyberdia Pô, o estágio de pediatria serve basicamente pra aprender isso aí e a dose de amoxicilina 😂😂😂
(Brincadeira)","May 19, 2025 at 01:19 AM", pô o estágio de pediatria serve basicamente pra aprender isso aí e a dose de amoxicilina brincadeira ,pt,estágio pediatria servir basicamente aprender dose amoxicilino brincadeira
1924232870890971343,"pelo o que vcs me reconhecem na tml??? 
 
• nome 
• user 
• icon
• tudo 
• nada","May 18, 2025 at 10:37 PM",pelo o que vcs me reconhecem na tml nome user icon tudo nada,pt,vcs reconhecer tml nome user icon
1924159158254801180,"14:44 ATENDIMENTO PRÉ-HOSPITALAR local: LINHA BELA VISTA DAS FLORES, INTERIOR, #SAO MIGUEL DO OESTE - solicitante informa que idosa ingeriu medicação (1cmp. amoxicilina)  e desmaiou. relata que ainda está desmaiada. respirando.","May 18, 2025 at 05:44 PM",  atendimento pré hospitalar local linha bela vista das flores interior miguel do oeste solicitante informa que idosa ingeriu medicação cmp amoxicilina e desmaiou relata que ainda está desmaiada respirando ,pt,atendimento pré hospitalar linha belo vista flor interior miguel oeste solicitante informar idoso ingerir medicação cmp amoxicilino desmaiar relato desmaiado respirar
1923955352015434177,@wonudisc vc já tentou amoxicilina? eu sempre tomo quando tô com a garganta inflamada e é tiro e queda,"May 18, 2025 at 04:14 AM", vc já tentou amoxicilina eu sempre tomo quando tô com a garganta inflamada e é tiro e queda,pt,tentar amoxicilina tomo garganta inflamado tiro queda
1923856876346675254,"@hicksalle @vitorga1514 @majuvasilva @peterjordan100 Qual a mentira? Tinha um pitbull aqui na rua matando os gatos e gambás, fiz um bolinho de carne com vidro e amoxicilina, joguei por cima do muro, no outro dia o dono tirou ele duro de dentro de casa.

E eu fingindo: ""é foda né vei"".","May 17, 2025 at 09:43 PM"," qual a mentira tinha um pitbull aqui na rua matando os gatos e gambás fiz um bolinho de carne com vidro e amoxicilina joguei por cima do muro no outro dia o dono tirou ele duro de dentro de casa e eu fingindo ""é foda né vei"" ",pt,mentira ter pitbull rua matar gato gambás fiz bolinho carne vidro amoxicilino joguei muro outro dono tirar duro casa fingir foda vei
1923837281447637384,"Eu tomei dois dipironas e um amoxicilina, se isso não der jeito na enxaqueca eu arranco minha cabeça fora","May 17, 2025 at 08:25 PM",eu tomei dois dipironas e um amoxicilina se isso não der jeito na enxaqueca eu arranco minha cabeça fora,pt,tomeir dipirona amoxicilina dar jeito enxaqueca arranco cabeça
1923778996778500382,"Cara eu acabei de perceber que eu tô tossindo sangue da parede da minha garganta inflamada. Eu me odeio pqp vou ter que ir no médico 

Bom que eu falo que eu já fiz o tratamento base e ela me manda tomar amoxicilina com clavulanato de potássio + Flancox e talvez mantenha o xarope","May 17, 2025 at 04:33 PM",cara eu acabei de perceber que eu tô tossindo sangue da parede da minha garganta inflamada eu me odeio pqp vou ter que ir no médico bom que eu falo que eu já fiz o tratamento base e ela me manda tomar amoxicilina com clavulanato de potássio flancox e talvez mantenha o xarope,pt,carar acabar perceber tossir sangue parede garganta inflamar odeio pqp ir médico falar fiz tratamento base mandar tomar amoxicilino clavulanato potássio flancox mantenha xarope
1923762866307391774,"@lrnmrll_ e eu que calculei a dose de amoxicilina, a dose de clavulanato, a dose convertida em mL, a dose dividida em períodos, as orientações de como agir em caso de alergia do paciente pediátrico, os sinais pré anafiláticos, e esqueci de colocar onde armazenar a porra da amoxicilina k","May 17, 2025 at 03:29 PM", e eu que calculei a dose de amoxicilina a dose de clavulanato a dose convertida em ml a dose dividida em períodos as orientações de como agir em caso de alergia do paciente pediátrico os sinais pré anafiláticos e esqueci de colocar onde armazenar a porra da amoxicilina ,pt,calculei dose amoxicilina dose clavulanato dose convertir dose dividir período orientação agir caso alergia paciente pediátrico sinal pré anafilático esqueci colocar armazenar porra amoxicilina
1923753134725140676,"@Silvati86 @HarleyArlequin1 O máximo é ser preso, esse véio aí não tem força pra nada... mas se não quer arriscar, olha onde ele mora, faz uns bolinhos de carne com vidro e amoxicilina, joga por cima do muro. Resolvido.","May 17, 2025 at 02:51 PM", o máximo é ser preso esse véio aí não tem força pra nada mas se não quer arriscar olha onde ele mora faz uns bolinhos de carne com vidro e amoxicilina joga por cima do muro resolvido ,pt,prender véio força arriscar olhar morar bolinho carne vidro amoxicilina jogar muro resolver
1923747171788038337,"@HilderMaciel Amigo, desculpe-me por me intrometer na conversa, mas algo funcionou? Estou tomando amoxicilina e cetoprofeno, mas nada parece resolver.","May 17, 2025 at 02:27 PM", amigo desculpe me por me intrometer na conversa mas algo funcionou estou tomando amoxicilina e cetoprofeno mas nada parece resolver ,pt,amigo desculpe intrometer conversa funcionar tomar amoxicilina cetoprofeno resolver
1923695806726500835,"@raullbenevides @Ahabseptem @peterjordan100 Por que ninguém matou? Vocês são bichas? Fa bolinho de carne com vidro e xilitol ou vidro e amoxicilina, resolvido, no outro dia estará duro.","May 17, 2025 at 11:03 AM", por que ninguém matou vocês são bichas fa bolinho de carne com vidro e xilitol ou vidro e amoxicilina resolvido no outro dia estará duro ,pt,ninguém matar bicha bolinho carne vidro xilitol vidro amoxicilina resolver outro duro
1923596519309017251,"@Felpz06_ tem amoxicilina, mas eu tomo o primeiro que vejo na minha frente ate desinflamar","May 17, 2025 at 04:28 AM", tem amoxicilina mas eu tomo o primeiro que vejo na minha frente ate desinflamar,pt,amoxicilino tomo vejo frente ate desinflamar
1923578306332352655,"@Justocoxabranca @Loorrannn @trunksxt @Serafim_zx Pode dilacerar meu braço, mas a faca eu cravo no pescoço, ou sigo onde o cachorro mora, faço bolinho de carne com vidro e amoxicilina dentro, jogo por cima do muro e assisto agonizando.","May 17, 2025 at 03:16 AM", pode dilacerar meu braço mas a faca eu cravo no pescoço ou sigo onde o cachorro mora faço bolinho de carne com vidro e amoxicilina dentro jogo por cima do muro e assisto agonizando ,pt,dilacerar braço faca cravo pescoço sigo cachorro morar bolinho carne vidro amoxicilino jogo muro assistar agonizar
1923577433766187416,"@JullianVinicius @Serafim_zx E não tem homem na rua de vocês pra resolver isto? Bando de bichona, joga bolo de carne com vidro e amoxicilina pros pitbulls ou deem facadas, se o dono reclamar toma também.","May 17, 2025 at 03:12 AM", e não tem homem na rua de vocês pra resolver isto bando de bichona joga bolo de carne com vidro e amoxicilina pros pitbulls ou deem facadas se o dono reclamar toma também ,pt,homem rua resolver bar bichona jogar bolo carne vidro amoxicilina pro pitbulls deem facar dono reclamar tomar
1923576525451882885,"amoxicilina ta no top piores remédios com gosto ruim, detesto.","May 17, 2025 at 03:09 AM",amoxicilina ta no top piores remédios com gosto ruim detesto ,pt,amoxicilino top piores remédio gosto ruim detesto
1923575919794430403,"@pataseca3 @Alex_0676 @HarleyArlequin1 Foda-se, é tudo variante, facada ou bolinha de carne com vidro e amoxicilina resolve.","May 17, 2025 at 03:06 AM", foda se é tudo variante facada ou bolinha de carne com vidro e amoxicilina resolve ,pt,foda variante facar bolinha carne vidro amoxicilina resolver
1923569871687659685,Cara 7 dias tomando amoxicilina e minha garganta ta me incomodando,"May 17, 2025 at 02:42 AM",cara  dias tomando amoxicilina e minha garganta ta me incomodando,pt,carar dia tomar amoxicilina garganto incomodar
1923561909615210758,se essa puxada fictícia ja me deixa louco imagina uma puxada mesmo,"May 17, 2025 at 02:11 AM",se essa puxada fictícia ja me deixa louco imagina uma puxada mesmo,pt,puxado fictícia deixar louco imaginar puxado
1923549324035649777,@spearbeans eles valendo um salário mínimo mds so resta sonhar,"May 17, 2025 at 01:21 AM", eles valendo um salário mínimo mds so resta sonhar,pt,valer salário mínimo mds restar sonhar
1923506676977549342,"comprei amoxicilina que o médico receitou e parece que comprei uma bomba e não um medicamento, pqp","May 16, 2025 at 10:31 PM",comprei amoxicilina que o médico receitou e parece que comprei uma bomba e não um medicamento pqp,pt,comprei amoxicilina médico receitar comprei bomba medicamento pqp
1923495832092831979,A desgraçada da médica me fazendo gastar 40 reais a mais pq não mandou azitromicina em vez de amoxicilina,"May 16, 2025 at 09:48 PM",a desgraçada da médica me fazendo gastar  reais a mais pq não mandou azitromicina em vez de amoxicilina,pt,desgraçar médica fazer gastar real mandar azitromicina amoxicilina
1923474469294645648,@haotuzinho pai me da 10 reais pra mim comprar salgadinho ali na esquina,"May 16, 2025 at 08:23 PM", pai me da  reais pra mim comprar salgadinho ali na esquina,pt,pai real eu comprar salgadinho esquina
1923473835027820844,"@ageofmario É da Jequiti, então se você conhecer alguém revenda pode ser que tenha (pode ser pq ele quase sempre tá em falta), mas revendedores de outras marcas nacionais podem ter tbm.","May 16, 2025 at 08:21 PM", é da jequiti então se você conhecer alguém revenda pode ser que tenha pode ser pq ele quase sempre tá em falta mas revendedores de outras marcas nacionais podem ter tbm ,pt,jequiti conhecer alguém revenda ter quase revendedor marca nacional tbm
1923453518767099948,que medo de me identificar com certo idol e assumir ele como bias e alguém me sacrificar,"May 16, 2025 at 07:00 PM",que medo de me identificar com certo idol e assumir ele como bias e alguém me sacrificar,pt,medo identificar certo idol assumir bia alguém sacrificar
1923445785389133932,"quem sou eu pra contestar, mas já contestando: fui ler um artigo e a dentista prescreveu amoxicilina com clavulanato por 7 dias p paciente que tava com abcesso agudo, sem alteração sistêmica... veio só a voz do joelson na minha mente mandando ler o andrade","May 16, 2025 at 06:29 PM",quem sou eu pra contestar mas já contestando fui ler um artigo e a dentista prescreveu amoxicilina com clavulanato por  dias p paciente que tava com abcesso agudo sem alteração sistêmica veio só a voz do joelson na minha mente mandando ler o andrade,pt,contestar contestar ler artigo dentista prescrever amoxicilina clavulanato dia paciente tar abcesso agudo alteração sistêmico vir voz joelson mente mandar ler andrade
1923440435529228791,"@FreeaKiki @GustavoDGSM No, realmente si es viral ps un paracetamol o naproxeno, si es bacteriana una amoxicilina si no eres alérgica a la penicilina 👍🏻","May 16, 2025 at 06:08 PM", no realmente si es viral ps un paracetamol o naproxeno si es bacteriana una amoxicilina si no eres alérgica a la penicilina ,ca,realmente viral paracetamol naproxeno bacteriano una amoxicilino er alérgicar penicilino
1923412518321471616,"Esse tweet literalmente salvou minha vida, ele me lembrou de pesquisar um remédio que vou ter que usar antes de uma cirurgia, daí descobri que tem amoxicilina na composição, e eu sou ALÉRGICA E ✨IA MORRER✨","May 16, 2025 at 04:17 PM",esse tweet literalmente salvou minha vida ele me lembrou de pesquisar um remédio que vou ter que usar antes de uma cirurgia daí descobri que tem amoxicilina na composição e eu sou alérgica e ia morrer,pt,tweet literalmente salvar vida lembrar pesquisar remédio ir cirurgia de aí descobrir amoxicilino composição alérgica morrer
1923342719826436524,@abacatastrofe abacate compra uma dessas do jungwon p mim,"May 16, 2025 at 11:40 AM", abacate compra uma dessas do jungwon p mim,pt,abacate compra de esse jungwon eu
