Tweet ID,Content,Date,clean_tweet,language,tokens
1.9252805681339558e+18,pranzo col cortisone e cena con l’antibiotico https://t.co/dBLSXkQpPd,"May 21, 2025 at 08:00 PM",pranzo col cortisone e cena con l antibiotico ,it,pranzo col cortisone cena con antibiotico
1.9252781843474847e+18,"Muito triste quando preciso admitir que não vai ter jeito, vou precisar tomar antibiótico https://t.co/WgKx3oTjMI","May 21, 2025 at 07:51 PM",muito triste quando preciso admitir que não vai ter jeito vou precisar tomar antibiótico ,pt,tristar preciso admitir jeito ir precisar tomar antibiótico
1.925277734231495e+18,Quem diria que antibiótico e sla o que que me deram ia me fazer parar de tossir igual uma fumante,"May 21, 2025 at 07:49 PM",quem diria que antibiótico e sla o que que me deram ia me fazer parar de tossir igual uma fumante,pt,dizer antibiótico sla dar parar tossir igual fumante
1.9252732305681987e+18,"@Boladissimaaa Todo dia isso. Um moço ficou putassooo comigo por precisar de receita, dizendo que a azitromicina é um antibiótico fraco. Kkk","May 21, 2025 at 07:31 PM", todo dia isso um moço ficou putassooo comigo por precisar de receita dizendo que a azitromicina é um antibiótico fraco k,pt,moço ficar putassooo comigo precisar receita dizer azitromicina antibiótico fraco
1.925273003480298e+18,@kamewshiro eu tomo ate antibiotico sem prescriçao eu sou uma maquina que transforma hipocondria em remedios sem receita,"May 21, 2025 at 07:30 PM", eu tomo ate antibiotico sem prescriçao eu sou uma maquina que transforma hipocondria em remedios sem receita,pt,tomo ate antibiotico prescriçao maquina transformar hipocondrio remedio receita
1.9252718450469806e+18,"Realmente ficar velho é uma desgraça, fomos na folks sexta retrasada e desde esse dia ficamos doentes, estamos bichados até agora. Alexandre no antibiótico, quase morrendo, eu no antibiótico e quase morrendo e essa merda NAO PASSAAAAA. Sai uma vez e fica um mês de repouso","May 21, 2025 at 07:25 PM",realmente ficar velho é uma desgraça fomos na folks sexta retrasada e desde esse dia ficamos doentes estamos bichados até agora alexandre no antibiótico quase morrendo eu no antibiótico e quase morrendo e essa merda nao passaaaaa sai uma vez e fica um mês de repouso,pt,realmente ficar velho desgraça folks retrasar ficar doente estar bichado alexandre antibiótico quase morrer antibiótico quase morrer merda nao passaaaaa sair ficar repouso
1.925271475688252e+18,"espirrando tossindo garganta voltando a doer mesmo depois de uma semana de antibiótico
a praga foi grande","May 21, 2025 at 07:24 PM",espirrando tossindo garganta voltando a doer mesmo depois de uma semana de antibiótico a praga foi grande,pt,espirrar tossir garganta voltar doerr semana antibiótico praga
1.9252706090989204e+18,"@FrancyontheMoon Che poi anche fosse vero che il Moment curava il Covid, sarebbe come dire “intubare è sbagliato la polmonite batterica di cura con l’antibiotico”.","May 21, 2025 at 07:20 PM", che poi anche fosse vero che il moment curava il covid sarebbe come dire “intubare è sbagliato la polmonite batterica di cura con l antibiotico ,it,che poi anche ser vero che moment curar covid sarebbe comer dire intubare sbagliato polmonite battericar cura con antibiotico
1.9252699880943987e+18,"@kleriene18 Eu já tive pneumonia silenciosa 🤫 no caso, eu tinha muita febre mas não tossia. Só comecei a tossir depois de uns dias tomando antibiótico","May 21, 2025 at 07:18 PM", eu já tive pneumonia silenciosa no caso eu tinha muita febre mas não tossia só comecei a tossir depois de uns dias tomando antibiótico,pt,pneumonia silencioso caso ter muito febre tossia começar tossir dia tomar antibiótico
1.9252698188836168e+18,"Aí vai a gnt paga 500 reais de plano de saúde pra o filha da puta do médico só te olhar com essa cara ""🙄"" e mandar vc tomar um antibiótico","May 21, 2025 at 07:17 PM","aí vai a gnt paga  reais de plano de saúde pra o filha da puta do médico só te olhar com essa cara """" e mandar vc tomar um antibiótico",pt,gnt pagar real plano saúde filha puta médico olhar cara mandar tomar antibiótico
