Tweet ID,Content,Date,clean_tweet,language,tokens
1.929513047128691e+18,"Compraram antibiótico pra gripe (virus) 
Avisei. 
Teimaram 
Não sou médica nerr, então tá bom. 
Toma antibiótico pra gripe","June 2, 2025 at 12:18 PM",compraram antibiótico pra gripe virus avisei teimaram não sou médica nerr então tá bom toma antibiótico pra gripe,pt,comprar antibiótico gripe virus avisar teimar médico nerr toma antibiótico gripe
1.9292740793385495e+18,"Esse antibiótico que médico me receitou tá me deixando ansiada, amanhã vou cedo na policlínica tentar trocar tá me deixando no mal já não basta gripe queimação no peito","June 1, 2025 at 08:29 PM",esse antibiótico que médico me receitou tá me deixando ansiada amanhã vou cedo na policlínica tentar trocar tá me deixando no mal já não basta gripe queimação no peito,pt,antibiótico médico receitar deixar ansiar amanhã ir policlínica trocar deixar bastar gripe queimação peito
1.9291691552797696e+18,"20 dias já de uma gripe que parece não ter fim, uma tosse que parece que estou ficando sem pulmao, dor na costela de tanto tossir, e nenhum dos médicos pediu um teste de influenza ou nada do tipo... no máximo um raio x e um hemograma, o pior de tudo foi o antibiótico vagabundo","June 1, 2025 at 01:32 PM", dias já de uma gripe que parece não ter fim uma tosse que parece que estou ficando sem pulmao dor na costela de tanto tossir e nenhum dos médicos pediu um teste de influenza ou nada do tipo no máximo um raio x e um hemograma o pior de tudo foi o antibiótico vagabundo,pt,dia gripe tosse ficar pulmao dor costela tossir nenhum médico pedir teste influenza raio hemograma mau antibiótico vagabur
1.9289355663697677e+18,"Antibiótico semana passada p ouvido.
Sentindo essa gripe maluca chegando.
To orando pouco 🤯","May 31, 2025 at 10:04 PM",antibiótico semana passada p ouvido sentindo essa gripe maluca chegando to orando pouco ,pt,antibiótico semana passado ouvir sentir gripe maluco chegar orar
1.9287366764167334e+18,@SurajBhey @shitpostverdade Eu tenho uma teoria. Kem inala diariamente antibiótico natural (🍁) n apanha gripe forte,"May 31, 2025 at 08:53 AM", eu tenho uma teoria kem inala diariamente antibiótico natural n apanha gripe forte,pt,teoria kem inalar diariamente antibiótico natural apanhar gripe forte
1.9286093984877202e+18,"@graziecv_ Peguei gripe e fiquei umas 3 semanas, acabei caindo no antibiótico.","May 31, 2025 at 12:28 AM", peguei gripe e fiquei umas  semanas acabei caindo no antibiótico ,pt,peguei gripe fiquei semana acabar cair antibiótico
1.928597586396488e+18,Eu acho que vou ter que acabar tendo que tomar antibiótico por causa da gripe. Parece que deixou a parte do nariz toda inflamada. 😢,"May 30, 2025 at 11:41 PM",eu acho que vou ter que acabar tendo que tomar antibiótico por causa da gripe parece que deixou a parte do nariz toda inflamada ,pt,achar ir acabar ter tomar antibiótico causa gripe deixar nariz inflamado
1.9285886035186035e+18,"não sei qual dos dois vai me matar primeiro, essa gripe ou o antibiótico que o médico passou, sinceramente não sei nem mais o que estou sentindo","May 30, 2025 at 11:05 PM",ão sei qual dos dois vai me matar primeiro essa gripe ou o antibiótico que o médico passou sinceramente não sei nem mais o que estou sentindo,pt,matar gripe antibiótico médico passar sinceramente sentir
1.9285604937502848e+18,"Vcs quererem antibiótico pra síndrome gripal eu até entendo pq tem medo de pneumonia, agora inventar que a gente nem olhou na cara, sendo que a gente examinou a criança de cima a baixo e constatou que era gripe sem necessidade de atb, aí já é demais","May 30, 2025 at 09:13 PM",vcs quererem antibiótico pra síndrome gripal eu até entendo pq tem medo de pneumonia agora inventar que a gente nem olhou na cara sendo que a gente examinou a criança de cima a baixo e constatou que era gripe sem necessidade de atb aí já é demais,pt,vcs querer antibiótico síndrome gripal enter medo pneumonia inventar gente olhar cara ser gente examinar criança constatar gripe necessidade atb
1.9285002841305293e+18,"@Larissafrreire @renatasilvasss Amiga eu tava tendo febre uns três dias, eu acho que só a nimesulida não ia da jeito que acho que tô com amigdalite por conta de gripe/nfluenza pq fiquei com os sintomas, comecei antibiótico ontem foi o que fez a garganta melhorar. Eu já tava com medo de ir no médico kkkk","May 30, 2025 at 05:14 PM", amiga eu tava tendo febre uns três dias eu acho que só a nimesulida não ia da jeito que acho que tô com amigdalite por conta de gripe nfluenza pq fiquei com os sintomas comecei antibiótico ontem foi o que fez a garganta melhorar eu já tava com medo de ir no médico ,pt,amiga tar ter febre dia achar nimesulida jeito achar amigdalite conta gripe nfluenza fiquei sintoma começar antibiótico garganta melhorar tar medo médico
1.9284481016410565e+18,"@xscarolita fiquei 3 semana com gripe tomando antibiótico, fiquei curado POR LITERALMENTE 1 DIA, E PEGUEI GRIPE DNV","May 30, 2025 at 01:47 PM", fiquei  semana com gripe tomando antibiótico fiquei curado por literalmente  dia e peguei gripe dnv,pt,fiquei semana gripe tomar antibiótico fiquei curar literalmente peguei gripe dnv
