Tweet ID,Content,Date,clean_tweet,language,tokens
1924977866988474715,"Mas o que Haraway faz é um gesto de resistência: ela não tenta restaurar an aura perdida. E ela a reconfigura no contato simbiótico com o outro, mesmo que esse outro seja máquina, bactéria ou cão.Enquanto Benjamin vê a perda da aura como tragédia, Haraway vê o surgimento de redes","May 20, 2025 at 11:57 PM",mas o que haraway faz é um gesto de resistência ela não tenta restaurar an aura perdida e ela a reconfigura no contato simbiótico com o outro mesmo que esse outro seja máquina bactéria ou cão enquanto benjamin vê a perda da aura como tragédia haraway vê o surgimento de redes,pt,haraway gesto resistência tentar restaurar aura perder reconfigura contato simbiótico outro outro ser máquina bactéria cão benjamin perda aura tragédia haraway surgimento rede
1924899297000099852,"Probióticos em foco!

A bebida de #maracujá com isolado proteico do soro não só mantém a viabilidade da bactéria probiótica Lacticaseibacillus rhamnosus GG por 28 dias, como também fortalece sua resistência ao trato gastrointestinal. https://t.co/NkYYT2JTUO

@ufvbroficial https://t.co/5USU1Hh2UU","May 20, 2025 at 06:45 PM",probióticos em foco a bebida de á com isolado proteico do soro não só mantém a viabilidade da bactéria probiótica lacticaseibacillus rhamnosus gg por  dias como também fortalece sua resistência ao trato gastrointestinal ,pt,probiótico foco beber isolar proteico soro manter viabilidade bactéria probiótico lacticaseibacillus rhamnosusr dia fortalecer resistência trato gastrointestinal
1923214484623012019,"@filhosdeosler Internar p medicação venosa. Imuno diz q tem receio de resistência da bactéria após antibiótico venoso, a não ser q seja só pra combater um possível biofilme (a confirmar com otorrino) otorrino quer tratar com antibiótico tópico e Imuno quer repetir pela milésima vez oral","May 16, 2025 at 03:10 AM", internar p medicação venosa imuno diz q tem receio de resistência da bactéria após antibiótico venoso a não ser q seja só pra combater um possível biofilme a confirmar com otorrino otorrino quer tratar com antibiótico tópico e imuno quer repetir pela milésima vez ora,pt,internar medicação venoso imuno receio resistência bactéria antibiótico venoso ser combater biofilme confirmar otorrino otorrino tratar antibiótico tópico imuno repetir milésima
1922638207868387676,mds a resistencia desse homem em falar em foucault é impressionante pq ele realmente consegue sustentar com outras referencias mas smp fica um elefante na sala e devo dizer q o elefante do panoptico foucaltiano está pesando cada vez mais,"May 14, 2025 at 01:00 PM",mds a resistencia desse homem em falar em foucault é impressionante pq ele realmente consegue sustentar com outras referencias mas smp fica um elefante na sala e devo dizer q o elefante do panoptico foucaltiano está pesando cada vez mais,pt,mds resistencia homem falar foucault impressionante realmente conseguir sustentar referencia smp ficar elefante sala dever elefante panoptico foucaltiano pesar
1920198208220733779,"@AmercoIan @euzinhosemnome_ @qrcudy oq é uma burrice, a bactéria vai criando resistência e quando realmente precisar dos antibióticos não vai funcionar","May 7, 2025 at 07:25 PM", oq é uma burrice a bactéria vai criando resistência e quando realmente precisar dos antibióticos não vai funcionar,pt,burrice bactéria criar resistência realmente precisar antibiótico funcionar
1919902539358634069,"@rnndnts @butzgabana @jothinho fico assustado com qualquer resistência bactéria, só de pensar numa VRSA me tremo todinho","May 6, 2025 at 11:50 PM", fico assustado com qualquer resistência bactéria só de pensar numa vrsa me tremo todinho,pt,fico assustar resistência bactéria pensar vrsa tremo todinho
1919520212589658578,"@luiz55018239713 @Felipe218680 Tá bom ent, no dia q vc pegar uma bactéria e essa bactéria criar resistência manda um abraço pra Darwin, vc vai estar mais próximo dele. 
Afinal, o mesmo não compreende os mecanismos que regem a variabilidade genética, e o papel da deriva genética nisso","May 5, 2025 at 10:30 PM", tá bom ent no dia q vc pegar uma bactéria e essa bactéria criar resistência manda um abraço pra darwin vc vai estar mais próximo dele afinal o mesmo não compreende os mecanismos que regem a variabilidade genética e o papel da deriva genética nisso,pt,ent bactéria bactéria criar resistência mandar abraço darwin de ele afinal compreender mecanismo regemr variabilidade genético papel deriva genético em isso
1919510281069232293,Essa porra dessa bacteria ja deve é ter criado resistencia e fez morada em mim pq não é possível essa merda!,"May 5, 2025 at 09:51 PM",essa porra dessa bacteria ja deve é ter criado resistencia e fez morada em mim pq não é possível essa merda ,pt,porra bacteria criar resistencia morada eu merda
1916384298669593061,"@minhopepekinha primeiro pq as chances de ter uma infecção são gigante pq a boca é cheia de bactéria e a cicatrização completa demora pra caralho, além de q qualquer problema q vc tiver q venha a diminuir sua resistência imunológica isso daí vira uma porta de bactérias pra infecção generalizada","April 27, 2025 at 06:49 AM", primeiro pq as chances de ter uma infecção são gigante pq a boca é cheia de bactéria e a cicatrização completa demora pra caralho além de q qualquer problema q vc tiver q venha a diminuir sua resistência imunológica isso daí vira uma porta de bactérias pra infecção generalizada,pt,chance infecção gigante boca cheio bactéria cicatrização completo demora caralho problema ter vir diminuir resistência imunológico de aí vira porta bactéria infecção generalizar
1916307631666274765,"https://t.co/ws4a0r9D6V,, Lógico que  essa mulher levou algum vírus , alguma bactéria sei lá ,, Bolsonaro com baixa resistência etc foi infectado etc ,,,, Xandão tem que ser preso por tentativa de homicídio","April 27, 2025 at 01:45 AM", lógico que essa mulher levou algum vírus alguma bactéria sei lá bolsonaro com baixa resistência etc foi infectado etc xandão tem que ser preso por tentativa de homicídio,pt,lógico mulher levar algum vírus algum bactéria bolsonaro baixo resistência etc infectar etc xandão prender tentativa homicídio
1914739429605810426,"A estrela mudou de antibiótico 4x esse ano, praticamente muda de bactéria a cada 25 dias e elas fazem rodízio pra ver qual tem mais resistência","April 22, 2025 at 05:53 PM",a estrela mudou de antibiótico x esse ano praticamente muda de bactéria a cada  dias e elas fazem rodízio pra ver qual tem mais resistência,pt,estrela mudar antibiótico ano praticamente mudar bactéria dia rodízio resistência
1913850121084694579,"🗣️“Avui dia és pràcticament impossible no adquirir una bactèria multiresistent.” – Dra. Lluïsa Pedro-Botet

⚠️ La resistència antimicrobiana és un repte global i la recerca és clau per avançar.

🔗 https://t.co/pQHy7KvuVx

#Recerca #SalutGlobal #Infeccions https://t.co/I1WKz2gV1P","April 20, 2025 at 07:00 AM",️“avui dia és pràcticament impossible no adquirir una bactèria multiresistent – dra lluïsa pedro botet ️ la resistència antimicrobiana és un repte global i la recerca és clau per avançar ,ca,pràcticament impossible adquirir una bactèrio multiresistent dra lluïsa pedro botet resistència antimicrobiano repte global recerca clau per avançar
1913240743230972037,"@grok @TiagooHr @EndriusPolenta @astronomiaum A resistência a antibióticos não é ""evolução"", o que acontece são mutações degenerativas que em um determinado ambiente é benéfico, não existe ""mutação evolutiva"", a bactéria mutada em um ambiente sem antibiótico é defeituosa e perderia para a bactéria anterior.","April 18, 2025 at 02:38 PM"," a resistência a antibióticos não é ""evolução"" o que acontece são mutações degenerativas que em um determinado ambiente é benéfico não existe ""mutação evolutiva"" a bactéria mutada em um ambiente sem antibiótico é defeituosa e perderia para a bactéria anterior ",pt,resistência antibiótico evolução acontecer mutação degenerativo determinado ambiente benéfico existir mutação evolutivo bactéria mutar ambiente antibiótico defeituoso perder bactéria anterior
1911615229068292132,passei um monte de nebacetin em acne nessa semana e só agora lembrei que fazer isso aumenta a resistência da bactéria https://t.co/yo9AsFCcvx,"April 14, 2025 at 02:59 AM",passei um monte de nebacetin em acne nessa semana e só agora lembrei que fazer isso aumenta a resistência da bactéria ,pt,passar monte nebacetin acne semana lembrar aumentar resistência bactéria
1911168803175874662,"A bactéria Bacillus anthracis existe em duas formas: forma vegetativa (dentro do corpo dos hospedeiros de sangue quente) e a forma de esporos (que é a sua forma de resistência, presente no ambiente). https://t.co/8vtLYw2pnD","April 12, 2025 at 09:25 PM",a bactéria bacillus anthracis existe em duas formas forma vegetativa dentro do corpo dos hospedeiros de sangue quente e a forma de esporos que é a sua forma de resistência presente no ambiente ,pt,bactéria bacillus anthracis existir forma vegetativo corpo hospedeiro sangue quente esporo resistência presente ambiente
1907813267579285630,"@abysschainz @WILD0UTL4W Se a bactéria já tiver células resistentes dentro da composição dela,as que não são resistentes vão morrer e as outras vão continuar vivas e criar mais resistência,por isso é necessário recomendar antibiótico que mate tudo que tá te afetando","April 3, 2025 at 03:11 PM", se a bactéria já tiver células resistentes dentro da composição dela as que não são resistentes vão morrer e as outras vão continuar vivas e criar mais resistência por isso é necessário recomendar antibiótico que mate tudo que tá te afetando,pt,bactéria ter célula resistente composição de ela resistente morrer continuar viva criar resistência necessário recomendar antibiótico mater afetar
1907327547034980410,"El portal de notícies @TheObjective_es es fa ressò sobre el recent estudi de l’#hbellvitge i l’@idibell_cat que demostra un augment de casos de la bactèria Streptococcus disgalactiae subespecie equisimilis (SDSE) i el problema de la resistència antibiótica.
👇👇👇
https://t.co/1NRRQ1f9TI
#BellvitgeInvestiga #SocialmentResponsables","April 2, 2025 at 07:01 AM",el portal de notícies es fa ressò sobre el recent estudi de l i l que demostra un augment de casos de la bactèria streptococcus disgalactiae subespecie equisimilis sdse i el problema de la resistència antibiótica ,ca,portal notícies ressò recent estudi demostrar augment caso bactèria streptococcus disgalactiae subespecie equisimilis sdse problema resistència antibiótico
1907053508328624214,"“Antibiótico fraco não pega nada.”
Errado. Antibiótico não é “forte” ou “fraco” — ele é adequado ou inadequado. Quanto mais específico o espectro, melhor. Usar “canhão” pra bactéria sensível é ineficaz, tóxico e ajuda a selecionar resistência. Terapia dirigida é sinal de inteligência, não de covardia.","April 1, 2025 at 12:52 PM",“antibiótico fraco não pega nada errado antibiótico não é “forte ou “fraco — ele é adequado ou inadequado quanto mais específico o espectro melhor usar “canhão pra bactéria sensível é ineficaz tóxico e ajuda a selecionar resistência terapia dirigida é sinal de inteligência não de covardia ,pt,antibiótico fraco pegar errar antibiótico forte fraco adequado inadequar específico espectro melhor canhão bactéria sensível ineficaz tóxico ajudar selecionar resistência terapia dirigir sinal inteligência covardia
1907053494269272279,"“Infecção urinária assintomática tem que tratar.”
Não tem. Bacteriúria assintomática só deve ser tratada em gestantes ou antes de procedimentos urológicos invasivos. Em outros casos, tratar só gera resistência e não traz benefício. Encontrar bactéria na urina não significa que ela esteja causando doença.","April 1, 2025 at 12:52 PM",“infecção urinária assintomática tem que tratar não tem bacteriúria assintomática só deve ser tratada em gestantes ou antes de procedimentos urológicos invasivos em outros casos tratar só gera resistência e não traz benefício encontrar bactéria na urina não significa que ela esteja causando doença ,pt,infecção urinário assintomático tratar bacteriúrio assintomático tratar gestante procedimento urológico invasivo caso tratar gerar resistência trazer benefício encontrar bactéria urina significar estar causar doença
1906461270775407034,"Resultados principais: 6 dos 56 estudos mostraram que os antibióticos bacteriostáticos foram mais eficazes que os bactericidas, especialmente quando ajustados para o perfil de resistência da bactéria e a dose adequada do antimicrobiano.","March 30, 2025 at 09:39 PM",resultados principais  dos  estudos mostraram que os antibióticos bacteriostáticos foram mais eficazes que os bactericidas especialmente quando ajustados para o perfil de resistência da bactéria e a dose adequada do antimicrobiano ,pt,resultado principal estudo mostrar antibiótico bacteriostático eficaz bactericida especialmente ajustado perfil resistência bactéria dose adequado antimicrobiano
1906382651667210586,"Tratamento não se abandona! 💊

O remédio é gratuito pelo SUS e deve
ser tomado até o final para evitar a
a resistência da bactéria.🫁","March 30, 2025 at 04:26 PM",tratamento não se abandona o remédio é gratuito pelo sus e deve ser tomado até o final para evitar a a resistência da bactéria ,pt,tratamento abandonar remédio gratuito sus tomar evitar resistência bactéria
1906169309858009423,"@Umcaradadireit @Kurosaw81874485 @brainletbr Exemplo: Quando você ""evolui"" uma bactéria em laboratório, ela pode adquirir resistência a antibióticos em apenas algumas semanas, mostrando como a evolução pode ser um processo rápido","March 30, 2025 at 02:19 AM"," exemplo quando você ""evolui"" uma bactéria em laboratório ela pode adquirir resistência a antibióticos em apenas algumas semanas mostrando como a evolução pode ser um processo rápido",pt,evoluir bactéria laboratório adquirir resistência antibiótico semana mostrar evolução processo rápido
1906127283447795750,e dai se eu posso criar resistência bacteriana e uma super bacteria? vou beber https://t.co/CWebk8dVZf,"March 29, 2025 at 11:32 PM",e dai se eu posso criar resistência bacteriana e uma super bacteria vou beber ,pt,dai criar resistência bacteriano super bacteria ir beber
1905931996091564178,i a bactéria q tô nos olhos que tá c resistência 😀 o q quer q jogaram p mim espero q volte 50x pior,"March 29, 2025 at 10:36 AM", a bactéria q tô nos olhos que tá c resistência o q quer q jogaram p mim espero q volte x pior,pt,bactéria olho resistência jogar eu esperar voltar mau
1905330978341421100,"@VivianeCambui Alegre, dançarina, amiga de todos, contraiu uma bactéria nesse verão, não houve resistência do organismo, gangrena e amputação dos membros.
Complicado demais.","March 27, 2025 at 06:47 PM", alegre dançarina amiga de todos contraiu uma bactéria nesse verão não houve resistência do organismo gangrena e amputação dos membros complicado demais ,pt,alegre dançarinar amigo contrair bactéria verão haver resistência organismo gangrena amputação membro complicar
1904348054750163335,"O bom de ser tonta é que eu choro tudo que tenho que chorar, e quando acordo no outro dia já perdoei tudo e criei resistência igual bactéria com antibiótico","March 25, 2025 at 01:42 AM",o bom de ser tonta é que eu choro tudo que tenho que chorar e quando acordo no outro dia já perdoei tudo e criei resistência igual bactéria com antibiótico,pt,tonto chorar chorar acordo outro perdoeir criei resistência igual bactéria antibiótico
1904284373530165732,@brunolicismo E é com esses dois banhos que sua pele vai virando um saco plástico e recebendo qualquer bactéria sem resistência nenhuma,"March 24, 2025 at 09:29 PM", e é com esses dois banhos que sua pele vai virando um saco plástico e recebendo qualquer bactéria sem resistência nenhuma,pt,banho pele virar saco plástico receber bactéria resistência
1903727249922142497,"@chaoticboom__ @naldoqs @womanvenus__ @vmbpaula Já começa errado q quem tem resistência é bactéria, a pessoa não. Vc primeiro tenta um atb q pega as bactérias que mais comumente causam aquele tipo de doença e, em caso de falha, aí vc vai se preocupar com resistência. Se tivesse estudado clínica, raciocínio e epidemio, saberia.","March 23, 2025 at 08:35 AM", já começa errado q quem tem resistência é bactéria a pessoa não vc primeiro tenta um atb q pega as bactérias que mais comumente causam aquele tipo de doença e em caso de falha aí vc vai se preocupar com resistência se tivesse estudado clínica raciocínio e epidemio saberia ,pt,começar errar resistência bactério pessoa tentar atb pegar bactéria comumente causar doença caso falha preocupar resistência ter estudar clínica raciocínio epidemio saber
1903649280931270663,"De forma grosseira e simplificada, quanto mais próxima do disco, maior a capacidade da bactéria em sobreviver em contato com aquele antibiótico, portanto, maior a resistência. Pois bem, esse é o princípio do antibiograma.
O ponto é o seguinte: ISSO DEMORA. DIAS.","March 23, 2025 at 03:25 AM",de forma grosseira e simplificada quanto mais próxima do disco maior a capacidade da bactéria em sobreviver em contato com aquele antibiótico portanto maior a resistência pois bem esse é o princípio do antibiograma o ponto é o seguinte isso demora dias ,pt,grosseiro simplificar disco capacidade bactéria sobreviver contato antibiótico resistência princípio antibiograma seguinte demora dia
1903313725739749653,"@khalilcordoba @Mr_Hyde1866 Estou do lado dos farmacêuticos mas alegar que o antibiótico virou controlado para gerar lucro não faz sentido 
Quando utilizado com mt frequência e de forma inadequada a bactéria que está causando a patologia cria resistência ao medicamento, não surtindo efeito ao tratamento","March 22, 2025 at 05:12 AM", estou do lado dos farmacêuticos mas alegar que o antibiótico virou controlado para gerar lucro não faz sentido quando utilizado com mt frequência e de forma inadequada a bactéria que está causando a patologia cria resistência ao medicamento não surtindo efeito ao tratamento,pt,farmacêutico alegar antibiótico virar controlar gerar lucro sentido utilizar frequência inadequar bactéria causar patologia criar resistência medicamento surtir efeito tratamento
1903115522360652142,"@bizzledear @jaovitu789 A questão é justamente essa, a indicação, uma pielonefrite é uma infecção confirmada em que o Bactrim vai ter serventia. Uma intoxicação alimentar provavelmente causada por toxinas ou um quadro viral, a função dele vai ser só matar bactéria boa e fomentar resistência 🤷🏻‍♂️","March 21, 2025 at 04:04 PM", a questão é justamente essa a indicação uma pielonefrite é uma infecção confirmada em que o bactrim vai ter serventia uma intoxicação alimentar provavelmente causada por toxinas ou um quadro viral a função dele vai ser só matar bactéria boa e fomentar resistência ‍️,pt,justamente indicação pielonefrite infecção confirmar bactrim serventer intoxicação alimentar provavelmente causar toxina quadro viral função de ele matar bactéria fomentar resistência
1903093520535019948,"ah pq se farmacêutico prescrever ele vai querer lucrar e encher o próprio bolso, aí mas resistência bactéria, aí mas vai vender prescrição 

como se todas essas coisas já não acontecessem com médicos prescrevendo","March 21, 2025 at 02:37 PM",ah pq se farmacêutico prescrever ele vai querer lucrar e encher o próprio bolso aí mas resistência bactéria aí mas vai vender prescrição como se todas essas coisas já não acontecessem com médicos prescrevendo,pt,farmacêutico prescrever querer lucrar encher bolso resistência bactéria vender prescrição coisa acontecer médico prescrever
1903052511650697638,"@g1 bactéria X, ele poderia intervir, até pq farmacêuticos tem o total conhecimento disso, inclusive, a preocupação e o cuidado de saber que tipo de medicamento oferecer para evitar questão da resistência bacteriana.","March 21, 2025 at 11:54 AM", bactéria x ele poderia intervir até pq farmacêuticos tem o total conhecimento disso inclusive a preocupação e o cuidado de saber que tipo de medicamento oferecer para evitar questão da resistência bacteriana ,pt,bactéria poder intervir farmacêutico total conhecimento preocupação cuidado medicamento oferecer evitar resistência bacteriano
1902103484146565472,"O tratamento da tuberculose é oferecido exclusivamente pelo SUS, dura no mínimo seis meses e deve ser seguido até o fim. Interromper o tratamento antes de completá-lo pode levar à resistência da bactéria, tornando a doença mais grave.","March 18, 2025 at 09:03 PM",o tratamento da tuberculose é oferecido exclusivamente pelo sus dura no mínimo seis meses e deve ser seguido até o fim interromper o tratamento antes de completá lo pode levar à resistência da bactéria tornando a doença mais grave ,pt,tratamento tuberculose oferecer exclusivamente sus dura pequeno seguir interromper tratamento completá levar resistência bactéria tornar doença grave
1902091058466713614,O mundo acabando em multi resistência bacteriana e a médica me perguntando o porquê de não ter testado Vancomicina sendo que a bactéria tá sensível a todos os outros antibióticos,"March 18, 2025 at 08:13 PM",o mundo acabando em multi resistência bacteriana e a médica me perguntando o porquê de não ter testado vancomicina sendo que a bactéria tá sensível a todos os outros antibióticos,pt,mundo acabar multi resistência bacteriano médica perguntar testar vancomicino ser bactéria sensível antibiótico
