Tweet ID,URL,Content,Likes,Retweets,Replies,Quotes,Views,Date
1929632981972668738,https://x.com/Mostrencxs/status/1929632981972668738,"@EnsedeCiencia Bueno, el bióxido de carbono de la soda matará a la mayor parte de los bichos, espero que no haya ahí ninguna bacteria resistente a los antibióticos",0,0,0,0,64,"June 2, 2025 at 08:15 PM"
1929631714588111076,https://x.com/SrCAGT/status/1929631714588111076,"Sobre gente que maneja bodegas... Hay bacterias comensales, bacterias mutualistas y bacterias patogenas. Si a una persona se le da un antibiotico, dependiendo de cual, puede morir de una infeccion por C.difficile, una bacteria patogena resistente a antibioticos.",0,0,1,0,9,"June 2, 2025 at 08:10 PM"
1929583445413396913,https://x.com/mengueche08/status/1929583445413396913,"@OrtunoEdgardo de las playas contaminadas d Montevideo con una bacteria resistente hasta a la Vancomicina, nada?🤔😡
Se q sos muy limitado, si alguien se infecta con esa bacteria no existe ningún atb.conocido que sea efectivo!⚰️⚰️
No estás capacitado para nada, chanta!!🦧🦧",0,0,0,0,12,"June 2, 2025 at 04:58 PM"
1929553323322998843,https://x.com/TeodoroLeda/status/1929553323322998843,"@vivianebsv @PedroRonchi2 📌 E sobre “obrigação por causa da coletividade”:
Você já viu governo obrigar todo mundo a tomar antibiótico quando há um surto de bactéria resistente?

Não. Porque o foco é tratar e educar — não controlar por decreto",0,0,0,0,8,"June 2, 2025 at 02:58 PM"
1929545750809096453,https://x.com/brunakaiserin/status/1929545750809096453,"@OLucas___ É uma bactéria que causa morte de 24h-48h (hiperaguda/aguda). Ela é aeróbica (sobrevive na presença de oxigênio) e da pra você espalhar ela pelo ar (tem esporos), por isso é usada como arma biológica, além dela ser resistente a antibiótico e se você der a vacina+",0,0,1,0,25,"June 2, 2025 at 02:28 PM"
1929511678133027114,https://x.com/vivianebsv/status/1929511678133027114,"@TeodoroLeda @PedroRonchi2 Quando se condiciona o uso correto de antibiótico é porque  a bactéria acabam criando resistência, mas a bactéria se tornar resistente em VOCÊ e prejudicar apenas a UMA PESSOA, faz com que não se tenha a necessidade de obrigar você a tomar antibiótico. Percebeu a diferença?",0,0,1,0,25,"June 2, 2025 at 12:13 PM"
1929416064737141074,https://x.com/luizguilherwe/status/1929416064737141074,Minha insônia parece uma bactéria em constante luta para sobreviver aos antibióticos e agora se tornou resistente ao barulho de chuva,1,0,0,0,55,"June 2, 2025 at 05:53 AM"
1929297149885383013,https://x.com/L_Duarte/status/1929297149885383013,"@vanessa1freitas É mesmo o melhor, é uma bactéria muito resistente, que dá muitos transtornos a nossa saúde e tem de ser bem medicada por médicos experientes",1,0,0,0,22,"June 1, 2025 at 10:00 PM"
1929269455806136473,https://x.com/karinayehan/status/1929269455806136473,"@Romi_44Wuachona La bacteria es desconocida , ahora llevará su nombre y es resistente a antibióticos 🤣🤦‍♀️",1,0,0,0,34,"June 1, 2025 at 08:10 PM"
1929221731849232818,https://x.com/RicardoSzalai/status/1929221731849232818,"Esa bacteria si que debe ser resistente, para afectar a esa indecente de mierda",0,0,0,0,70,"June 1, 2025 at 05:01 PM"
1929211563560284373,https://x.com/ElaineCandles/status/1929211563560284373,"Uf está mujer, estuviera grave imposible hacer videos o tiktok a mi padre lo he tenido en la UCI con 2 sepsis x bacteria multi resistente que lo ha tenido 5 veces hospitalizado, al borde de la muerte. 22 transfusiónes y por infec al riñón ! Con hemodiálisis, eso es grave!!!!",2,0,1,0,216,"June 1, 2025 at 04:20 PM"
1929207744998891684,https://x.com/IreHartmann/status/1929207744998891684,"Acá 👇 provincias con #fentanilo de HLB contaminado. Además, el Malbrán detectó en esa droga una 3ra bacteria resistente a los antibióticos.
👉Fuentes judiciales advierten un temita: si la familia cremó al paciente fallecido, chau prueba.
@gallegodebesa
https://t.co/8E0bdS2i04",3,2,0,0,98,"June 1, 2025 at 04:05 PM"
1929029243322671311,https://x.com/auz1en/status/1929029243322671311,"@VinnyCharleaux @MgsItj @eu_garcia_2000 @profanegra Não é consenso. Já li sobre milhares de cientistas em todo mundo q assinaram contra esta teoria-ideologia.

Bactéria não evolui ela muda pelo efeito de reação e por isso se torna mais resistente.

Vc só acredita nisso pq vc não pensa e sim segue a ideia de manada. Gado. NPC.",0,0,1,0,26,"June 1, 2025 at 04:16 AM"
1929003426752410019,https://x.com/Pequenaquenga/status/1929003426752410019,"@vanessa1freitas Chato é, muito. Eu passei muito mal! Depende sempre do esquema de tratamento. Arrisco a dizer que vai ter que repetir o antibiótico. O importante é não desistir do tratamento a meio pq a bactéria fica mais resistente e mais difícil de erradicar.",0,0,1,0,29,"June 1, 2025 at 02:33 AM"
1928852329345798354,https://x.com/OliveiraCavalc8/status/1928852329345798354,"** As vacinas atuam no organismo por meio da imunização, um processo que o torna resistente a doenças. A vacina estimula o sistema imunitário a reconhecer e combater um patógeno específico, como um vírus ou bactéria, sem que a pessoa contraia a doença. https://t.co/zQ6uugpYUn",1,0,0,0,23,"May 31, 2025 at 04:33 PM"
1928729822424944871,https://x.com/annituti/status/1928729822424944871,La ultraderecha es la bacteria más resistente.,23,17,1,0,336,"May 31, 2025 at 08:26 AM"
1928542999136424160,https://x.com/Felipillo530733/status/1928542999136424160,@rusosnith Una bacteria resistente lo es en  Calamuchita y en el Garraham. No seas idiota.,0,0,0,0,16,"May 30, 2025 at 08:04 PM"
1928533851908788274,https://x.com/medicoqualquer/status/1928533851908788274,"Em casos de outros antibióticos, a resistência pode ser induzida.

Imagina uma pele só tem bactéria sensível. Quando você usa certos antibióticos, você INDUZ a bactéria a sofrer uma mutação e ficar resistente àquele antibiótico.

Se usar amoxicilina, já entendeu...

(13/16) https://t.co/22U1KNhXYd",0,0,1,0,16,"May 30, 2025 at 07:27 PM"
1928533843012661607,https://x.com/medicoqualquer/status/1928533843012661607,"Agora imagina que você, erroneamente (apenas por uma febre), se automedicou com amoxicilina.

Agora todas as outras bactérias morreram e ficou apenas a resistente.

A bactéria vai se proliferar e, logo, sua pele estará tomada por bactérias resistentes.

(9/16) https://t.co/cV7Vfifu39",0,0,1,0,16,"May 30, 2025 at 07:27 PM"
1928533840814895150,https://x.com/medicoqualquer/status/1928533840814895150,"Veja que na imagem, quem entrou na ferida foi uma bactéria que não era resistente.

Foi aleatório, mas como tem muito mais bactéria sensível, a probabilidade disso é maior.

Em caso de infeccionar, poderemos usar a amoxicilina tranquilamente e curar a infecção

(8/16)",0,0,1,0,17,"May 30, 2025 at 07:27 PM"
1928533835655897191,https://x.com/medicoqualquer/status/1928533835655897191,"Pra ficar mais fácil, trouxe imagens:

Nessa imagem, temos uma pele normal. Nela, moram bactérias de vários tipos. Vamos imaginar que, naturalmente, temos uma bactéria resistente à amoxicilina (e isso acontece na prática).

(6/16) https://t.co/eq4yTmsCeN",0,0,1,0,18,"May 30, 2025 at 07:27 PM"
1928269964441509916,https://x.com/ramosvieira15/status/1928269964441509916,"@lailafel69 @nicolemonteeiro E digo mais!!! Quem em sã consciência vai ter inveja da letra E? Mulher tu deve ser tão feia que não e capaz de botar a cara pra jogo, tu deve ser umaa bactéria resistente a amoxicilina https://t.co/2OLrMENNDu",1,0,2,0,18,"May 30, 2025 at 01:59 AM"
1928100330169860311,https://x.com/rusosnith/status/1928100330169860311,"Cuando a tu pibe le agarra una bacteria desconocida resistente a los antibióticos, vas a ir al Garraham aunque tengas Osde 870 premium gold, eh?

Y no es ciencia ficción, pasa cada vez mas seguido",13321,1731,118,25,292227,"May 29, 2025 at 02:45 PM"
1927983680422588560,https://x.com/SMMCmicromadrid/status/1927983680422588560,Validan una combinación terapéutica contra una bacteria habitual y resistente a antibióticos https://t.co/ZDxmCTifWn https://t.co/KsRo4yzVuh,1,2,0,0,134,"May 29, 2025 at 07:01 AM"
1927541769572696337,https://x.com/stranger_user2/status/1927541769572696337,"@renatacxc Simón we, pero no sabían con que tratarme, mis síntomas estaban complicados como para saber si era alergia, virus o bacteria, pero todo culminó en qué tengo una bacteria resistente, ya con el antibiótico ya me estoy sintiendo mejor, pero que martirio ayer en la noche la vea",2,0,1,0,28,"May 28, 2025 at 01:45 AM"
1927478259832508690,https://x.com/mintmintyg/status/1927478259832508690,"@TeLoMandoXWpp @ccsafics Depende que enfermedad, por ejemplo el VPH es súper resistente o el riesgo de hepatitis también es alto e incluso la bacteria de la colitis también dura demasiado (no sabemos dónde se puso ese strap)",318,3,0,0,5474,"May 27, 2025 at 09:33 PM"
1927254763801805272,https://x.com/ResumenRandom/status/1927254763801805272,"Roche pasa a fase 3 su antibiótico zosurabalpin contra la bacteria hospitalaria Acinetobacter baumannii, altamente resistente.

https://t.co/Sf5ckL5Ue6

#Salud #Antibióticos #resumenrandom https://t.co/IW2a5W795o",0,0,0,0,13,"May 27, 2025 at 06:45 AM"
1927118239026332086,https://x.com/candee_cs/status/1927118239026332086,"⚔️🛡️El microorganismo más resistente del planeta no es un virus… es una BACTERIA!!
Se llama ""Deinococcus radiodurans"", también conocida como ""Conan la bacteria"".
#microC2425 https://t.co/qxztkf5LKz",2,1,1,0,88,"May 26, 2025 at 09:42 PM"
1927040439237877973,https://x.com/miriambermudez/status/1927040439237877973,"@Funado_Catnip “Las élites” saben que existe una bacteria en la carne cruda, resistente a los antibióticos que se llama Escherichia coli que produce la toxina Shiga y que mata gente.

Hay demasiados estúpidos con internet, que la selección natural haga lo suyo.",62,3,2,0,594,"May 26, 2025 at 04:33 PM"
1926852155819848141,https://x.com/grok/status/1926852155819848141,"@weplash @juankks357 La bacteria Niallia tiangongensis, hallada en la estación espacial Tiangong, es una especie nueva identificada en mayo de 2023. Es resistente a la radiación, descompone gelatina y forma biofilms, lo que sugiere adaptación al espacio. Podría ofrecer pistas sobre la evolución microbiana y aplicaciones biotecnológicas, como reciclaje de desechos. Sin embargo, su relación con bacterias patógenas y la formación de biofilms plantean riesgos para la salud de los astronautas y el equipo de la estación. No está claro si evolucionó en el espacio o vino de la Tierra. Se necesita más investigación para evaluar su impacto.",2,0,0,0,39,"May 26, 2025 at 04:05 AM"
1926778512783880485,https://x.com/anotherbsides/status/1926778512783880485,"@ajulialacerda eh uma bactéria resistente a antibióticos (superbactéria) e ela é oportunista, so se manifesta qndo o sistema imunológico ta veipodi, ela cria um muco mt dificil de mandar embora, oq a torna mais resistente tb",0,0,0,0,19,"May 25, 2025 at 11:12 PM"
1926717988079583493,https://x.com/analuverso/status/1926717988079583493,"@ptolomeuquarto é uma urocultura
quando o paciente tem infecção de urina e a gnt quer saber qual a bactéria que tá causando e quais antibióticos podem ser usados pra tratar

esse da foto é uma super bactéria resistente a todos os antibióticos, até os mais potentes usados em uti",1,0,1,0,35,"May 25, 2025 at 07:12 PM"
1926714888392695974,https://x.com/infosalus_com/status/1926714888392695974,"Validan una combinación terapéutica contra una bacteria habitual y resistente a antibióticos

https://t.co/bkuWirs62Z",0,1,0,0,342,"May 25, 2025 at 07:00 PM"
